date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,19.84,19.91,19.77,19.782,227313.0
2018-02-16,09:32:00,19.8024,20.14,19.75,20.14,274890.0
2018-02-16,09:33:00,20.1334,20.2,20.03,20.16,227128.0
2018-02-16,09:34:00,20.1648,20.25,20.07,20.17,166833.0
2018-02-16,09:35:00,20.165,20.22,20.13,20.1899,125599.0
2018-02-16,09:36:00,20.18,20.22,20.08,20.15,139323.0
2018-02-16,09:37:00,20.15,20.2,20.1301,20.17,197897.0
2018-02-16,09:38:00,20.165,20.165,20.07,20.13,174937.0
2018-02-16,09:39:00,20.125,20.2,20.1,20.1993,88952.0
2018-02-16,09:40:00,20.195,20.2,20.13,20.14,60393.0
2018-02-16,09:41:00,20.1333,20.15,20.05,20.06,150688.0
2018-02-16,09:42:00,20.05,20.15,20.05,20.15,118429.0
2018-02-16,09:43:00,20.1461,20.18,20.125,20.165,189390.0
2018-02-16,09:44:00,20.17,20.23,20.13,20.14,186082.0
2018-02-16,09:45:00,20.14,20.17,20.12,20.13,62374.0
2018-02-16,09:46:00,20.1367,20.19,20.125,20.19,51968.0
2018-02-16,09:47:00,20.19,20.2999,20.19,20.28,142245.0
2018-02-16,09:48:00,20.29,20.39,20.28,20.3655,254881.0
2018-02-16,09:49:00,20.365,20.37,20.3,20.35,179276.0
2018-02-16,09:50:00,20.36,20.48,20.35,20.43,197071.0
2018-02-16,09:51:00,20.4274,20.46,20.3699,20.405,156796.0
2018-02-16,09:52:00,20.405,20.47,20.39,20.41,162163.0
2018-02-16,09:53:00,20.4007,20.4804,20.4007,20.4804,175752.0
2018-02-16,09:54:00,20.485,20.54,20.46,20.54,543301.0
2018-02-16,09:55:00,20.54,20.56,20.445,20.49,297119.0
2018-02-16,09:56:00,20.485,20.5,20.45,20.45,85850.0
2018-02-16,09:57:00,20.46,20.5,20.4,20.4098,138047.0
2018-02-16,09:58:00,20.4001,20.5,20.4,20.5,190566.0
2018-02-16,09:59:00,20.5,20.53,20.45,20.4964,165512.0
2018-02-16,10:00:00,20.495,20.5,20.42,20.46,87393.0
2018-02-16,10:01:00,20.4465,20.5,20.44,20.49,87158.0
2018-02-16,10:02:00,20.49,20.55,20.47,20.545,152752.0
2018-02-16,10:03:00,20.54,20.58,20.47,20.4845,368182.0
2018-02-16,10:04:00,20.485,20.53,20.4207,20.53,171701.0
2018-02-16,10:05:00,20.54,20.64,20.5315,20.6362,309434.0
2018-02-16,10:06:00,20.64,20.7,20.61,20.7,324062.0
2018-02-16,10:07:00,20.69,20.75,20.64,20.68,458643.0
2018-02-16,10:08:00,20.68,20.74,20.63,20.6307,327739.0
2018-02-16,10:09:00,20.6345,20.65,20.5238,20.6138,358669.0
2018-02-16,10:10:00,20.63,20.63,20.55,20.59,109757.0
2018-02-16,10:11:00,20.5894,20.6301,20.58,20.62,148559.0
2018-02-16,10:12:00,20.62,20.62,20.57,20.6,76954.0
2018-02-16,10:13:00,20.59,20.64,20.57,20.635,114167.0
2018-02-16,10:14:00,20.634,20.64,20.57,20.6,83686.0
2018-02-16,10:15:00,20.6,20.605,20.55,20.565,98190.0
2018-02-16,10:16:00,20.56,20.6,20.545,20.595,138523.0
2018-02-16,10:17:00,20.5901,20.6,20.52,20.55,283998.0
2018-02-16,10:18:00,20.545,20.55,20.5,20.521,122555.0
2018-02-16,10:19:00,20.51,20.53,20.46,20.48,137601.0
2018-02-16,10:20:00,20.474,20.539,20.4738,20.5137,513737.0
2018-02-16,10:21:00,20.51,20.59,20.5,20.58,90416.0
2018-02-16,10:22:00,20.5866,20.6,20.54,20.5601,60920.0
2018-02-16,10:23:00,20.56,20.59,20.53,20.57,62309.0
2018-02-16,10:24:00,20.57,20.59,20.56,20.565,39790.0
2018-02-16,10:25:00,20.5634,20.59,20.55,20.5636,62104.0
2018-02-16,10:26:00,20.5601,20.59,20.56,20.5675,83519.0
2018-02-16,10:27:00,20.565,20.57,20.48,20.5,89588.0
2018-02-16,10:28:00,20.495,20.57,20.49,20.57,82505.0
2018-02-16,10:29:00,20.5623,20.61,20.5,20.53,244851.0
2018-02-16,10:30:00,20.525,20.55,20.52,20.536,50917.0
2018-02-16,10:31:00,20.535,20.56,20.53,20.54,46573.0
2018-02-16,10:32:00,20.53,20.55,20.5,20.51,153176.0
2018-02-16,10:33:00,20.51,20.52,20.5,20.5101,68928.0
2018-02-16,10:34:00,20.515,20.5152,20.36,20.38,240038.0
2018-02-16,10:35:00,20.39,20.46,20.375,20.4201,114241.0
2018-02-16,10:36:00,20.42,20.47,20.41,20.44,82590.0
2018-02-16,10:37:00,20.45,20.4618,20.415,20.459,155964.0
2018-02-16,10:38:00,20.4575,20.46,20.41,20.4163,119029.0
2018-02-16,10:39:00,20.41,20.415,20.36,20.3734,112827.0
2018-02-16,10:40:00,20.37,20.42,20.37,20.4037,83577.0
2018-02-16,10:41:00,20.4,20.415,20.32,20.3364,108947.0
2018-02-16,10:42:00,20.3349,20.34,20.3,20.3399,83701.0
2018-02-16,10:43:00,20.3366,20.3366,20.275,20.285,144683.0
2018-02-16,10:44:00,20.29,20.33,20.28,20.3,119120.0
2018-02-16,10:45:00,20.3,20.33,20.2657,20.3207,88635.0
2018-02-16,10:46:00,20.32,20.35,20.3,20.34,132470.0
2018-02-16,10:47:00,20.34,20.42,20.3399,20.41,97131.0
2018-02-16,10:48:00,20.42,20.42,20.375,20.3833,68550.0
2018-02-16,10:49:00,20.38,20.46,20.38,20.455,93832.0
2018-02-16,10:50:00,20.4504,20.46,20.38,20.395,75533.0
2018-02-16,10:51:00,20.395,20.405,20.36,20.37,28892.0
2018-02-16,10:52:00,20.3701,20.3761,20.33,20.335,27360.0
2018-02-16,10:53:00,20.33,20.3577,20.32,20.355,39025.0
2018-02-16,10:54:00,20.355,20.375,20.31,20.31,57214.0
2018-02-16,10:55:00,20.3143,20.32,20.29,20.32,56838.0
2018-02-16,10:56:00,20.32,20.33,20.25,20.275,120780.0
2018-02-16,10:57:00,20.27,20.2762,20.22,20.24,57392.0
2018-02-16,10:58:00,20.2499,20.275,20.22,20.225,144869.0
2018-02-16,10:59:00,20.22,20.25,20.22,20.24,84960.0
2018-02-16,11:00:00,20.245,20.25,20.22,20.226,34105.0
2018-02-16,11:01:00,20.221,20.24,20.2,20.224,74100.0
2018-02-16,11:02:00,20.2225,20.25,20.22,20.2299,58008.0
2018-02-16,11:03:00,20.2264,20.2299,20.13,20.17,182208.0
2018-02-16,11:04:00,20.18,20.19,20.15,20.18,229920.0
2018-02-16,11:05:00,20.18,20.2,20.105,20.1092,131709.0
2018-02-16,11:06:00,20.1099,20.13,20.03,20.0601,235211.0
2018-02-16,11:07:00,20.07,20.1055,20.05,20.065,71442.0
2018-02-16,11:08:00,20.0661,20.11,20.03,20.0999,99386.0
2018-02-16,11:09:00,20.105,20.19,20.0999,20.19,196396.0
2018-02-16,11:10:00,20.19,20.19,20.13,20.1401,125026.0
2018-02-16,11:11:00,20.15,20.155,20.12,20.12,75567.0
2018-02-16,11:12:00,20.1299,20.13,20.11,20.12,68914.0
2018-02-16,11:13:00,20.1214,20.14,20.1,20.1299,104019.0
2018-02-16,11:14:00,20.1299,20.1311,20.1,20.12,157163.0
2018-02-16,11:15:00,20.115,20.12,20.04,20.0565,78173.0
2018-02-16,11:16:00,20.0554,20.08,20.05,20.065,80203.0
2018-02-16,11:17:00,20.069,20.075,20.06,20.0699,94208.0
2018-02-16,11:18:00,20.061,20.075,20.06,20.07,165080.0
2018-02-16,11:19:00,20.065,20.09,20.05,20.085,83412.0
2018-02-16,11:20:00,20.0867,20.12,20.0854,20.1058,91215.0
2018-02-16,11:21:00,20.11,20.16,20.11,20.1549,123896.0
2018-02-16,11:22:00,20.16,20.1901,20.15,20.19,180949.0
2018-02-16,11:23:00,20.185,20.19,20.17,20.189,56265.0
2018-02-16,11:24:00,20.1899,20.2,20.16,20.18,124839.0
2018-02-16,11:25:00,20.17,20.17,20.13,20.135,34549.0
2018-02-16,11:26:00,20.1328,20.15,20.1,20.15,108938.0
2018-02-16,11:27:00,20.1525,20.2,20.13,20.184,72973.0
2018-02-16,11:28:00,20.18,20.3,20.17,20.27,231617.0
2018-02-16,11:29:00,20.2742,20.2782,20.19,20.2,161674.0
2018-02-16,11:30:00,20.2,20.24,20.2,20.21,74403.0
2018-02-16,11:31:00,20.215,20.24,20.2,20.209,72547.0
2018-02-16,11:32:00,20.2099,20.2099,20.15,20.1773,90785.0
2018-02-16,11:33:00,20.175,20.22,20.17,20.205,41133.0
2018-02-16,11:34:00,20.21,20.2103,20.2,20.2092,45475.0
2018-02-16,11:35:00,20.2,20.22,20.2,20.2027,41643.0
2018-02-16,11:36:00,20.2077,20.22,20.19,20.2001,40815.0
2018-02-16,11:37:00,20.2036,20.22,20.2,20.205,27569.0
2018-02-16,11:38:00,20.205,20.23,20.2,20.22,30845.0
2018-02-16,11:39:00,20.22,20.235,20.215,20.23,46538.0
2018-02-16,11:40:00,20.23,20.27,20.23,20.27,42525.0
2018-02-16,11:41:00,20.265,20.29,20.26,20.28,52210.0
2018-02-16,11:42:00,20.2799,20.29,20.27,20.27,35874.0
2018-02-16,11:43:00,20.27,20.28,20.26,20.265,29801.0
2018-02-16,11:44:00,20.2667,20.27,20.25,20.255,28776.0
2018-02-16,11:45:00,20.255,20.255,20.18,20.21,152608.0
2018-02-16,11:46:00,20.21,20.2211,20.195,20.2,43074.0
2018-02-16,11:47:00,20.19,20.2111,20.19,20.21,30163.0
2018-02-16,11:48:00,20.21,20.21,20.15,20.1564,67577.0
2018-02-16,11:49:00,20.151,20.17,20.1402,20.15,37801.0
2018-02-16,11:50:00,20.156,20.16,20.15,20.15,5505.0
2018-02-16,11:51:00,20.16,20.1667,20.13,20.165,143146.0
2018-02-16,11:52:00,20.165,20.189,20.16,20.175,31154.0
2018-02-16,11:53:00,20.175,20.22,20.16,20.2102,75718.0
2018-02-16,11:54:00,20.23,20.2362,20.17,20.19,41063.0
2018-02-16,11:55:00,20.1999,20.21,20.18,20.19,42836.0
2018-02-16,11:56:00,20.189,20.23,20.189,20.22,51989.0
2018-02-16,11:57:00,20.2261,20.245,20.21,20.22,47963.0
2018-02-16,11:58:00,20.22,20.2311,20.2,20.21,43892.0
2018-02-16,11:59:00,20.2,20.215,20.19,20.205,37030.0
2018-02-16,12:00:00,20.201,20.22,20.201,20.21,26857.0
2018-02-16,12:01:00,20.2,20.2311,20.2,20.2164,30587.0
2018-02-16,12:02:00,20.21,20.24,20.21,20.2348,24783.0
2018-02-16,12:03:00,20.235,20.27,20.235,20.2572,39556.0
2018-02-16,12:04:00,20.25,20.29,20.25,20.28,38854.0
2018-02-16,12:05:00,20.2838,20.3,20.28,20.3,55226.0
2018-02-16,12:06:00,20.3,20.33,20.28,20.3,133267.0
2018-02-16,12:07:00,20.31,20.315,20.27,20.28,41049.0
2018-02-16,12:08:00,20.2732,20.275,20.22,20.2466,64166.0
2018-02-16,12:09:00,20.24,20.24,20.23,20.2348,11461.0
2018-02-16,12:10:00,20.24,20.2507,20.23,20.24,20488.0
2018-02-16,12:11:00,20.248,20.27,20.2436,20.27,23368.0
2018-02-16,12:12:00,20.28,20.305,20.2599,20.265,62089.0
2018-02-16,12:13:00,20.27,20.27,20.25,20.2534,29097.0
2018-02-16,12:14:00,20.2501,20.26,20.23,20.25,46609.0
2018-02-16,12:15:00,20.255,20.255,20.235,20.2466,34579.0
2018-02-16,12:16:00,20.24,20.2499,20.23,20.23,46820.0
2018-02-16,12:17:00,20.235,20.24,20.2,20.221,58104.0
2018-02-16,12:18:00,20.23,20.235,20.2052,20.2101,58575.0
2018-02-16,12:19:00,20.215,20.2311,20.2137,20.225,203264.0
2018-02-16,12:20:00,20.2236,20.26,20.22,20.25,37534.0
2018-02-16,12:21:00,20.2494,20.26,20.24,20.251,43572.0
2018-02-16,12:22:00,20.2567,20.29,20.25,20.27,45115.0
2018-02-16,12:23:00,20.2699,20.2711,20.25,20.27,44892.0
2018-02-16,12:24:00,20.27,20.2701,20.25,20.26,46006.0
2018-02-16,12:25:00,20.26,20.27,20.23,20.244,99140.0
2018-02-16,12:26:00,20.245,20.3,20.24,20.295,123184.0
2018-02-16,12:27:00,20.295,20.295,20.25,20.2739,80990.0
2018-02-16,12:28:00,20.27,20.27,20.25,20.265,17345.0
2018-02-16,12:29:00,20.265,20.275,20.26,20.26,17223.0
2018-02-16,12:30:00,20.27,20.275,20.25,20.275,41900.0
2018-02-16,12:31:00,20.275,20.2983,20.27,20.29,41380.0
2018-02-16,12:32:00,20.289,20.289,20.2693,20.27,40138.0
2018-02-16,12:33:00,20.26,20.275,20.235,20.24,37634.0
2018-02-16,12:34:00,20.2358,20.25,20.23,20.249,18013.0
2018-02-16,12:35:00,20.245,20.255,20.24,20.2436,23651.0
2018-02-16,12:36:00,20.24,20.24,20.145,20.145,100877.0
2018-02-16,12:37:00,20.15,20.16,20.13,20.15,63290.0
2018-02-16,12:38:00,20.1533,20.1533,20.11,20.14,103141.0
2018-02-16,12:39:00,20.1351,20.16,20.135,20.155,40461.0
2018-02-16,12:40:00,20.1538,20.19,20.15,20.18,53306.0
2018-02-16,12:41:00,20.185,20.205,20.1801,20.2,40893.0
2018-02-16,12:42:00,20.21,20.23,20.2,20.22,52113.0
2018-02-16,12:43:00,20.23,20.25,20.2,20.21,100765.0
2018-02-16,12:44:00,20.2,20.22,20.18,20.18,127761.0
2018-02-16,12:45:00,20.18,20.2275,20.175,20.22,240864.0
2018-02-16,12:46:00,20.22,20.24,20.195,20.2,140156.0
2018-02-16,12:47:00,20.19,20.2011,20.16,20.195,96069.0
2018-02-16,12:48:00,20.1938,20.2111,20.18,20.19,44283.0
2018-02-16,12:49:00,20.195,20.205,20.19,20.19,11383.0
2018-02-16,12:50:00,20.19,20.2,20.18,20.2,30792.0
2018-02-16,12:51:00,20.19,20.21,20.185,20.199,50044.0
2018-02-16,12:52:00,20.2,20.2,20.18,20.185,38616.0
2018-02-16,12:53:00,20.19,20.19,20.095,20.105,112238.0
2018-02-16,12:54:00,20.11,20.12,20.05,20.0531,113691.0
2018-02-16,12:55:00,20.0535,20.06,20.04,20.05,132579.0
2018-02-16,12:56:00,20.05,20.1,20.02,20.0856,126221.0
2018-02-16,12:57:00,20.09,20.168,20.09,20.168,77816.0
2018-02-16,12:58:00,20.1648,20.165,20.135,20.15,70446.0
2018-02-16,12:59:00,20.15,20.18,20.145,20.18,65779.0
2018-02-16,13:00:00,20.1786,20.18,20.145,20.15,23705.0
2018-02-16,13:01:00,20.16,20.195,20.16,20.195,38634.0
2018-02-16,13:02:00,20.2,20.205,20.15,20.155,44663.0
2018-02-16,13:03:00,20.1507,20.18,20.15,20.17,25224.0
2018-02-16,13:04:00,20.16,20.17,20.15,20.16,19374.0
2018-02-16,13:05:00,20.155,20.2059,20.15,20.19,45317.0
2018-02-16,13:06:00,20.18,20.1949,20.15,20.15,12658.0
2018-02-16,13:07:00,20.155,20.185,20.14,20.15,85086.0
2018-02-16,13:08:00,20.15,20.19,20.145,20.18,32809.0
2018-02-16,13:09:00,20.18,20.22,20.18,20.215,42911.0
2018-02-16,13:10:00,20.2128,20.23,20.19,20.19,37410.0
2018-02-16,13:11:00,20.2,20.2,20.18,20.1948,22466.0
2018-02-16,13:12:00,20.1969,20.205,20.18,20.193,36115.0
2018-02-16,13:13:00,20.1901,20.2283,20.19,20.2283,27206.0
2018-02-16,13:14:00,20.225,20.229,20.21,20.215,22321.0
2018-02-16,13:15:00,20.215,20.24,20.215,20.235,17963.0
2018-02-16,13:16:00,20.2359,20.25,20.23,20.24,49745.0
2018-02-16,13:17:00,20.239,20.24,20.225,20.23,27715.0
2018-02-16,13:18:00,20.233,20.245,20.23,20.24,48265.0
2018-02-16,13:19:00,20.2441,20.2441,20.21,20.22,47168.0
2018-02-16,13:20:00,20.21,20.21,20.13,20.15,130896.0
2018-02-16,13:21:00,20.155,20.1711,20.131,20.17,64903.0
2018-02-16,13:22:00,20.18,20.22,20.18,20.18,62116.0
2018-02-16,13:23:00,20.1738,20.1899,20.16,20.18,52882.0
2018-02-16,13:24:00,20.18,20.19,20.16,20.19,11484.0
2018-02-16,13:25:00,20.2,20.2,20.15,20.155,25134.0
2018-02-16,13:26:00,20.1501,20.16,20.1399,20.15,31900.0
2018-02-16,13:27:00,20.14,20.14,20.1,20.13,51872.0
2018-02-16,13:28:00,20.12,20.13,20.11,20.1101,16270.0
2018-02-16,13:29:00,20.11,20.12,20.06,20.0899,103903.0
2018-02-16,13:30:00,20.08,20.1,20.08,20.09,44840.0
2018-02-16,13:31:00,20.09,20.09,20.04,20.05,39591.0
2018-02-16,13:32:00,20.0536,20.079,20.05,20.06,41660.0
2018-02-16,13:33:00,20.0551,20.1,20.05,20.09,56080.0
2018-02-16,13:34:00,20.0864,20.0958,20.07,20.09,22708.0
2018-02-16,13:35:00,20.0999,20.11,20.06,20.09,36469.0
2018-02-16,13:36:00,20.095,20.12,20.09,20.1151,33760.0
2018-02-16,13:37:00,20.11,20.1393,20.105,20.13,32923.0
2018-02-16,13:38:00,20.1362,20.16,20.135,20.16,65832.0
2018-02-16,13:39:00,20.17,20.18,20.15,20.16,49960.0
2018-02-16,13:40:00,20.15,20.17,20.15,20.15,51630.0
2018-02-16,13:41:00,20.15,20.19,20.15,20.1851,53652.0
2018-02-16,13:42:00,20.18,20.19,20.175,20.1835,21689.0
2018-02-16,13:43:00,20.1893,20.2,20.16,20.18,43604.0
2018-02-16,13:44:00,20.18,20.187,20.17,20.18,42093.0
2018-02-16,13:45:00,20.185,20.19,20.18,20.1811,22360.0
2018-02-16,13:46:00,20.1848,20.19,20.18,20.19,2754.0
2018-02-16,13:47:00,20.181,20.23,20.18,20.229,154515.0
2018-02-16,13:48:00,20.2251,20.25,20.2251,20.2444,64454.0
2018-02-16,13:49:00,20.24,20.24,20.19,20.205,51250.0
2018-02-16,13:50:00,20.2,20.22,20.18,20.1975,35297.0
2018-02-16,13:51:00,20.2,20.22,20.19,20.21,83892.0
2018-02-16,13:52:00,20.2151,20.2151,20.2,20.2014,14157.0
2018-02-16,13:53:00,20.195,20.2167,20.19,20.21,27903.0
2018-02-16,13:54:00,20.21,20.2162,20.19,20.19,32472.0
2018-02-16,13:55:00,20.19,20.1963,20.185,20.1936,13889.0
2018-02-16,13:56:00,20.19,20.1901,20.16,20.16,25236.0
2018-02-16,13:57:00,20.16,20.18,20.16,20.18,21682.0
2018-02-16,13:58:00,20.1801,20.1801,20.17,20.17,7459.0
2018-02-16,13:59:00,20.1733,20.19,20.17,20.18,9400.0
2018-02-16,14:00:00,20.18,20.18,20.15,20.17,21320.0
2018-02-16,14:01:00,20.16,20.19,20.16,20.185,9281.0
2018-02-16,14:02:00,20.19,20.2152,20.19,20.21,14974.0
2018-02-16,14:03:00,20.215,20.229,20.2,20.225,29873.0
2018-02-16,14:04:00,20.22,20.28,20.22,20.265,129989.0
2018-02-16,14:05:00,20.26,20.2693,20.25,20.2548,29539.0
