date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,44.03,44.08,43.9005,44.077,189552.0
2018-02-16,09:32:00,44.08,44.29,44.07,44.26,63337.0
2018-02-16,09:33:00,44.26,44.28,44.1,44.28,108722.0
2018-02-16,09:34:00,44.28,44.59,44.2,44.52,89808.0
2018-02-16,09:35:00,44.52,44.73,44.4,44.73,95236.0
2018-02-16,09:36:00,44.74,44.78,44.38,44.44,120933.0
2018-02-16,09:37:00,44.41,44.5585,44.4,44.46,44071.0
2018-02-16,09:38:00,44.49,44.65,44.45,44.6,71772.0
2018-02-16,09:39:00,44.58,44.72,44.54,44.71,97346.0
2018-02-16,09:40:00,44.7,44.99,44.69,44.97,162735.0
2018-02-16,09:41:00,44.94,44.99,44.82,44.82,76863.0
2018-02-16,09:42:00,44.835,44.94,44.76,44.82,107951.0
2018-02-16,09:43:00,44.82,44.94,44.81,44.92,47976.0
2018-02-16,09:44:00,44.9148,45.19,44.9148,44.98,153436.0
2018-02-16,09:45:00,44.96,45.15,44.87,44.989,81877.0
2018-02-16,09:46:00,44.989,45.02,44.86,44.95,70095.0
2018-02-16,09:47:00,44.95,44.98,44.81,44.9257,44345.0
2018-02-16,09:48:00,44.88,44.91,44.65,44.65,65354.0
2018-02-16,09:49:00,44.65,44.875,44.63,44.79,67388.0
2018-02-16,09:50:00,44.81,44.87,44.78,44.835,26752.0
2018-02-16,09:51:00,44.82,44.91,44.75,44.91,61635.0
2018-02-16,09:52:00,44.87,44.8892,44.81,44.82,10783.0
2018-02-16,09:53:00,44.81,44.84,44.71,44.7759,34376.0
2018-02-16,09:54:00,44.766,44.766,44.66,44.7,14615.0
2018-02-16,09:55:00,44.72,44.7699,44.65,44.6708,13109.0
2018-02-16,09:56:00,44.68,44.75,44.57,44.6025,48331.0
2018-02-16,09:57:00,44.5892,44.5892,44.431,44.52,28272.0
2018-02-16,09:58:00,44.51,44.6,44.45,44.559,28352.0
2018-02-16,09:59:00,44.531,44.56,44.45,44.4501,23074.0
2018-02-16,10:00:00,44.47,44.5,44.31,44.33,43566.0
2018-02-16,10:01:00,44.3704,44.43,44.3,44.3946,46602.0
2018-02-16,10:02:00,44.42,44.5,44.37,44.4821,30220.0
2018-02-16,10:03:00,44.48,44.58,44.48,44.5601,17434.0
2018-02-16,10:04:00,44.57,44.57,44.4,44.42,25346.0
2018-02-16,10:05:00,44.4028,44.57,44.36,44.48,59681.0
2018-02-16,10:06:00,44.4814,44.6,44.44,44.48,79080.0
2018-02-16,10:07:00,44.47,44.505,44.35,44.38,56360.0
2018-02-16,10:08:00,44.384,44.44,44.35,44.43,58667.0
2018-02-16,10:09:00,44.4348,44.51,44.37,44.44,74639.0
2018-02-16,10:10:00,44.44,44.582,44.44,44.5539,19015.0
2018-02-16,10:11:00,44.55,44.55,44.43,44.47,14294.0
2018-02-16,10:12:00,44.4706,44.48,44.3,44.3001,44775.0
2018-02-16,10:13:00,44.3,44.38,44.3,44.35,52199.0
2018-02-16,10:14:00,44.32,44.4,44.31,44.38,70540.0
2018-02-16,10:15:00,44.4,44.49,44.37,44.39,80986.0
2018-02-16,10:16:00,44.39,44.44,44.36,44.411,53723.0
2018-02-16,10:17:00,44.43,44.54,44.43,44.5101,24698.0
2018-02-16,10:18:00,44.51,44.53,44.45,44.53,14615.0
2018-02-16,10:19:00,44.54,44.57,44.49,44.51,20746.0
2018-02-16,10:20:00,44.5,44.54,44.49,44.49,8127.0
2018-02-16,10:21:00,44.48,44.53,44.47,44.53,51428.0
2018-02-16,10:22:00,44.55,44.685,44.55,44.56,95262.0
2018-02-16,10:23:00,44.56,44.6699,44.55,44.6699,62566.0
2018-02-16,10:24:00,44.63,44.65,44.56,44.61,38025.0
2018-02-16,10:25:00,44.62,44.63,44.55,44.58,53305.0
2018-02-16,10:26:00,44.58,44.73,44.57,44.65,54993.0
2018-02-16,10:27:00,44.67,44.68,44.61,44.65,19168.0
2018-02-16,10:28:00,44.67,44.71,44.66,44.7,15734.0
2018-02-16,10:29:00,44.7,44.83,44.7,44.76,40746.0
2018-02-16,10:30:00,44.75,44.88,44.74,44.86,53094.0
2018-02-16,10:31:00,44.859,44.93,44.81,44.9082,25694.0
2018-02-16,10:32:00,44.919,44.92,44.75,44.78,46134.0
2018-02-16,10:33:00,44.79,44.79,44.71,44.75,34720.0
