date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,9.05,9.1,9.05,9.05,36219.0
2018-02-16,09:31:00,9.0,9.15,9.0,9.1,34641.0
2018-02-16,09:32:00,9.1,9.1,9.06,9.075,7250.0
2018-02-16,09:33:00,9.09,9.15,9.05,9.15,6350.0
2018-02-16,09:34:00,9.15,9.2,9.05,9.1,65387.0
2018-02-16,09:35:00,9.05,9.15,9.05,9.15,23836.0
2018-02-16,09:36:00,9.105,9.105,8.9,8.95,36445.0
2018-02-16,09:37:00,8.95,8.955,8.95,8.955,2560.0
2018-02-16,09:38:00,8.969,9.1,8.969,9.025,33340.0
2018-02-16,09:39:00,9.0,9.05,8.85,8.9721,94703.0
2018-02-16,09:40:00,9.0,9.05,8.86,8.95,37564.0
2018-02-16,09:41:00,9.0,9.0,8.95,9.0,14326.0
2018-02-16,09:42:00,9.0,9.025,8.95,9.0,17544.0
2018-02-16,09:43:00,9.05,9.15,9.0,9.1,86292.0
2018-02-16,09:44:00,9.1,9.2,9.05,9.175,42263.0
2018-02-16,09:45:00,9.15,9.15,9.05,9.075,23957.0
2018-02-16,09:46:00,9.075,9.125,9.05,9.075,41510.0
2018-02-16,09:47:00,9.1,9.15,9.05,9.15,37908.0
2018-02-16,09:48:00,9.15,9.15,9.1,9.15,5869.0
2018-02-16,09:49:00,9.175,9.225,9.1,9.15,42049.0
2018-02-16,09:50:00,9.175,9.2,9.075,9.0947,17560.0
2018-02-16,09:51:00,9.0755,9.1,9.05,9.075,2786.0
2018-02-16,09:52:00,9.1,9.1,9.1,9.1,231.0
2018-02-16,09:53:00,9.1,9.1,9.075,9.1,1597.0
2018-02-16,09:54:00,9.075,9.1,9.05,9.075,1531.0
2018-02-16,09:55:00,9.075,9.075,8.975,8.975,37158.0
2018-02-16,09:56:00,9.0,9.0,8.955,8.975,6358.0
2018-02-16,09:57:00,8.975,9.0,8.975,8.9821,20392.0
2018-02-16,09:58:00,8.975,9.0,8.95,8.975,1414.0
2018-02-16,09:59:00,8.975,8.995,8.975,8.975,2875.0
2018-02-16,10:00:00,9.0,9.0,8.9625,8.975,2806.0
2018-02-16,10:01:00,9.0,9.0,8.99,8.995,5503.0
2018-02-16,10:02:00,9.0,9.0,8.975,8.975,3636.0
2018-02-16,10:03:00,8.99,9.0,8.975,8.9758,2971.0
2018-02-16,10:04:00,8.975,9.0,8.975,9.0,1400.0
2018-02-16,10:05:00,9.0,9.0,8.96,8.96,1300.0
2018-02-16,10:06:00,9.0,9.0,8.981,8.981,1160.0
2018-02-16,10:07:00,8.9841,9.0,8.975,8.975,4480.0
2018-02-16,10:08:00,8.975,8.975,8.975,8.975,600.0
2018-02-16,10:09:00,8.975,8.9999,8.975,8.9999,800.0
2018-02-16,10:10:00,8.95,9.0,8.95,9.0,1930.0
