date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,22.48,22.51,22.48,22.5,12111.0
2018-02-16,09:32:00,22.51,22.535,22.51,22.53,5877.0
2018-02-16,09:33:00,22.52,22.52,22.51,22.51,1400.0
2018-02-16,09:34:00,22.52,22.52,22.49,22.51,55156.0
2018-02-16,09:35:00,22.49,22.52,22.49,22.52,22185.0
2018-02-16,09:36:00,22.52,22.565,22.52,22.56,31878.0
2018-02-16,09:37:00,22.57,22.57,22.57,22.57,900.0
2018-02-16,09:38:00,22.59,22.63,22.59,22.6294,100939.0
2018-02-16,09:39:00,22.62,22.63,22.6,22.6,32930.0
2018-02-16,09:40:00,22.6,22.62,22.59,22.6,4100.0
2018-02-16,09:41:00,22.595,22.6,22.5852,22.5852,4000.0
2018-02-16,09:42:00,22.58,22.58,22.58,22.58,100.0
2018-02-16,09:43:00,22.57,22.585,22.565,22.565,1875.0
2018-02-16,09:44:00,22.57,22.58,22.56,22.56,700.0
2018-02-16,09:45:00,22.5499,22.55,22.51,22.51,7053.0
2018-02-16,09:46:00,22.5099,22.56,22.5,22.55,12600.0
2018-02-16,09:47:00,22.55,22.555,22.545,22.555,2500.0
2018-02-16,09:48:00,22.55,22.57,22.55,22.57,12181.0
2018-02-16,09:49:00,22.56,22.5999,22.56,22.5999,2600.0
2018-02-16,09:50:00,22.6,22.619,22.595,22.6,3392.0
2018-02-16,09:51:00,22.59,22.62,22.58,22.62,20629.0
2018-02-16,09:52:00,22.615,22.62,22.6,22.61,13500.0
2018-02-16,09:53:00,22.605,22.605,22.59,22.6,8241.0
2018-02-16,09:54:00,22.59,22.61,22.58,22.61,3800.0
2018-02-16,09:55:00,22.61,22.61,22.59,22.59,6000.0
2018-02-16,09:56:00,22.59,22.6,22.57,22.59,4900.0
2018-02-16,09:57:00,22.58,22.59,22.5701,22.58,2798.0
2018-02-16,09:58:00,22.585,22.585,22.58,22.58,300.0
2018-02-16,09:59:00,22.57,22.57,22.56,22.56,1700.0
2018-02-16,10:00:00,22.55,22.55,22.527,22.53,2700.0
2018-02-16,10:01:00,22.53,22.54,22.5141,22.5141,11680.0
2018-02-16,10:02:00,22.51,22.535,22.51,22.52,5000.0
2018-02-16,10:03:00,22.5162,22.52,22.51,22.51,3365.0
2018-02-16,10:04:00,22.5097,22.52,22.49,22.5,16970.0
2018-02-16,10:05:00,22.51,22.51,22.49,22.49,4773.0
2018-02-16,10:06:00,22.48,22.5,22.47,22.495,5551.0
2018-02-16,10:07:00,22.49,22.49,22.47,22.4799,3000.0
2018-02-16,10:08:00,22.47,22.47,22.465,22.47,1800.0
2018-02-16,10:09:00,22.47,22.4968,22.4652,22.4968,6124.0
2018-02-16,10:10:00,22.5,22.52,22.5,22.52,1300.0
2018-02-16,10:11:00,22.5101,22.55,22.5101,22.55,8245.0
2018-02-16,10:12:00,22.55,22.55,22.53,22.53,8100.0
2018-02-16,10:13:00,22.53,22.54,22.515,22.54,9610.0
2018-02-16,10:14:00,22.54,22.545,22.53,22.53,1291.0
2018-02-16,10:15:00,22.54,22.54,22.53,22.53,6500.0
2018-02-16,10:16:00,22.53,22.555,22.53,22.555,1800.0
2018-02-16,10:17:00,22.56,22.595,22.56,22.58,18846.0
