date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,216.69,216.69,216.63,216.63,43991.0
2018-02-16,09:31:00,216.48,217.23,216.48,216.72,4514.0
2018-02-16,09:32:00,216.98,217.13,216.87,216.925,2016.0
2018-02-16,09:33:00,217.07,217.07,217.07,217.07,100.0
2018-02-16,09:34:00,217.07,217.07,216.69,216.76,1800.0
2018-02-16,09:35:00,216.5779,216.77,216.55,216.71,700.0
2018-02-16,09:36:00,216.9999,217.4,216.96,217.2092,1685.0
2018-02-16,09:37:00,217.2764,217.45,217.27,217.2928,2771.0
2018-02-16,09:38:00,217.45,217.6,217.315,217.5799,3780.0
2018-02-16,09:39:00,217.63,217.735,217.48,217.505,3440.0
2018-02-16,09:40:00,217.51,217.54,217.31,217.54,1810.0
2018-02-16,09:41:00,217.63,217.63,217.47,217.57,500.0
2018-02-16,09:42:00,217.41,217.6499,217.17,217.32,2308.0
2018-02-16,09:43:00,217.3919,217.3919,217.3919,217.3919,100.0
2018-02-16,09:44:00,217.52,217.7199,217.33,217.7199,1200.0
2018-02-16,09:45:00,217.36,217.36,217.2,217.32,1200.0
2018-02-16,09:46:00,217.09,217.6,217.03,217.6,6785.0
2018-02-16,09:47:00,217.4001,217.77,217.23,217.34,2252.0
2018-02-16,09:48:00,217.17,217.17,217.1,217.1,216.0
2018-02-16,09:49:00,217.07,217.14,216.95,216.9804,2510.0
2018-02-16,09:50:00,217.22,217.345,217.0,217.0,1000.0
2018-02-16,09:52:00,217.249,217.249,216.92,217.08,500.0
2018-02-16,09:53:00,216.95,217.02,216.86,217.02,1200.0
2018-02-16,09:54:00,216.99,217.22,216.99,217.21,2200.0
2018-02-16,09:55:00,217.25,217.35,217.15,217.3199,4850.0
2018-02-16,09:56:00,217.3,217.3,217.3,217.3,1100.0
2018-02-16,09:57:00,217.145,217.145,217.02,217.135,400.0
2018-02-16,09:58:00,217.23,217.3,217.1423,217.3,523.0
2018-02-16,09:59:00,217.3,217.3,217.05,217.14,700.0
2018-02-16,10:00:00,217.24,217.25,217.14,217.24,829.0
2018-02-16,10:01:00,217.14,217.23,217.135,217.135,300.0
2018-02-16,10:02:00,217.2,217.22,217.145,217.21,700.0
2018-02-16,10:03:00,217.14,217.36,217.07,217.3,3000.0
2018-02-16,10:04:00,217.224,217.224,217.11,217.11,2400.0
2018-02-16,10:06:00,217.11,217.18,217.1,217.1,1000.0
2018-02-16,10:07:00,217.21,217.21,217.14,217.14,700.0
2018-02-16,10:08:00,217.174,217.174,217.174,217.174,165.0
2018-02-16,10:09:00,217.1,217.25,217.1,217.25,533.0
2018-02-16,10:10:00,217.36,217.41,217.36,217.41,500.0
2018-02-16,10:11:00,217.27,217.34,217.27,217.34,200.0
