date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,33.78,33.81,33.78,33.81,21470.0
2018-02-16,09:31:00,33.8,33.88,33.8,33.85,4700.0
2018-02-16,09:32:00,33.87,33.87,33.81,33.87,4300.0
2018-02-16,09:33:00,33.91,33.97,33.91,33.97,7700.0
2018-02-16,09:34:00,33.97,33.98,33.91,33.94,12928.0
2018-02-16,09:35:00,33.935,34.0,33.935,33.99,8433.0
2018-02-16,09:36:00,33.99,34.02,33.94,33.95,14790.0
2018-02-16,09:37:00,33.94,34.0,33.94,34.0,12089.0
2018-02-16,09:38:00,33.99,34.09,33.99,34.09,17338.0
2018-02-16,09:39:00,34.09,34.11,34.08,34.09,6200.0
2018-02-16,09:40:00,34.09,34.11,34.09,34.1,4888.0
2018-02-16,09:41:00,34.105,34.105,34.07,34.07,2800.0
2018-02-16,09:42:00,34.08,34.09,34.0376,34.09,5700.0
2018-02-16,09:43:00,34.11,34.15,34.11,34.15,4100.0
2018-02-16,09:44:00,34.15,34.15,34.08,34.08,5210.0
2018-02-16,09:45:00,34.075,34.075,34.03,34.03,6197.0
2018-02-16,09:46:00,34.02,34.04,33.98,34.04,12687.0
2018-02-16,09:47:00,34.05,34.07,34.03,34.07,7059.0
2018-02-16,09:48:00,34.06,34.125,34.06,34.125,4290.0
2018-02-16,09:49:00,34.125,34.16,34.11,34.16,12100.0
2018-02-16,09:50:00,34.15,34.15,34.13,34.15,9314.0
2018-02-16,09:51:00,34.16,34.24,34.159,34.24,19257.0
2018-02-16,09:52:00,34.23,34.24,34.215,34.24,12447.0
2018-02-16,09:53:00,34.235,34.26,34.225,34.24,26454.0
2018-02-16,09:54:00,34.23,34.235,34.16,34.17,8300.0
2018-02-16,09:55:00,34.17,34.19,34.16,34.17,3059.0
2018-02-16,09:56:00,34.17,34.1741,34.09,34.09,17936.0
2018-02-16,09:57:00,34.09,34.11,34.08,34.1,9428.0
2018-02-16,09:58:00,34.09,34.1,34.07,34.1,2900.0
2018-02-16,09:59:00,34.1,34.1,34.03,34.03,4600.0
2018-02-16,10:00:00,34.04,34.08,34.04,34.07,4100.0
2018-02-16,10:01:00,34.08,34.095,34.05,34.06,4807.0
2018-02-16,10:02:00,34.03,34.03,34.0,34.0,4303.0
2018-02-16,10:03:00,34.01,34.04,34.01,34.02,2945.0
2018-02-16,10:04:00,34.02,34.02,33.98,34.005,9157.0
2018-02-16,10:05:00,34.01,34.0167,33.96,33.96,4575.0
2018-02-16,10:06:00,33.97,33.97,33.93,33.93,2893.0
2018-02-16,10:07:00,33.92,33.93,33.92,33.92,3100.0
2018-02-16,10:08:00,33.92,33.9252,33.9,33.9,2601.0
2018-02-16,10:09:00,33.9,33.93,33.895,33.93,3825.0
2018-02-16,10:10:00,33.94,33.96,33.93,33.95,8656.0
2018-02-16,10:11:00,33.935,33.941,33.92,33.92,4198.0
