date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,21.04,21.09,21.04,21.09,374554.0
2018-02-16,09:31:00,21.05,21.1,21.01,21.04,131449.0
2018-02-16,09:32:00,21.02,21.05,21.0,21.04,328235.0
2018-02-16,09:33:00,21.045,21.05,20.9,20.975,147683.0
2018-02-16,09:34:00,20.97,21.0,20.92,20.94,88371.0
2018-02-16,09:35:00,20.9235,20.94,20.9,20.925,66561.0
2018-02-16,09:36:00,20.925,20.93,20.75,20.83,203160.0
2018-02-16,09:37:00,20.83,20.8566,20.803,20.8399,56664.0
2018-02-16,09:38:00,20.83,20.91,20.805,20.82,83107.0
2018-02-16,09:39:00,20.83,20.85,20.77,20.84,91086.0
2018-02-16,09:40:00,20.84,20.969,20.84,20.87,76631.0
2018-02-16,09:41:00,20.85,20.865,20.79,20.84,103422.0
2018-02-16,09:42:00,20.845,20.8459,20.81,20.815,29844.0
2018-02-16,09:43:00,20.815,20.91,20.81,20.8991,63250.0
2018-02-16,09:44:00,20.895,20.97,20.88,20.9441,100532.0
2018-02-16,09:45:00,20.94,20.95,20.87,20.8899,79529.0
2018-02-16,09:46:00,20.89,20.97,20.87,20.96,47460.0
2018-02-16,09:47:00,20.96,20.98,20.94,20.98,87286.0
2018-02-16,09:48:00,20.98,21.0,20.95,20.99,53652.0
2018-02-16,09:49:00,21.0,21.0,20.97,20.9964,124452.0
2018-02-16,09:50:00,20.995,21.005,20.9199,20.93,88452.0
2018-02-16,09:51:00,20.92,20.95,20.9,20.95,65294.0
2018-02-16,09:52:00,20.95,20.95,20.94,20.95,28061.0
2018-02-16,09:53:00,20.95,20.97,20.925,20.9352,65854.0
2018-02-16,09:54:00,20.93,20.93,20.87,20.875,68857.0
2018-02-16,09:55:00,20.88,20.94,20.87,20.93,38211.0
2018-02-16,09:56:00,20.94,20.9759,20.91,20.9434,27103.0
2018-02-16,09:57:00,20.93,20.99,20.93,20.96,34773.0
2018-02-16,09:58:00,20.9599,20.9599,20.94,20.94,13289.0
2018-02-16,09:59:00,20.95,20.9759,20.92,20.93,47862.0
2018-02-16,10:00:00,20.94,20.95,20.88,20.89,49344.0
2018-02-16,10:01:00,20.89,20.935,20.87,20.935,55271.0
2018-02-16,10:02:00,20.94,20.9499,20.88,20.88,40701.0
2018-02-16,10:03:00,20.885,20.9,20.87,20.8799,65594.0
2018-02-16,10:04:00,20.875,20.89,20.84,20.87,88461.0
2018-02-16,10:05:00,20.86,20.9,20.86,20.87,38011.0
2018-02-16,10:06:00,20.8762,20.88,20.82,20.8599,45822.0
2018-02-16,10:07:00,20.86,20.86,20.83,20.83,22961.0
2018-02-16,10:08:00,20.84,20.8801,20.83,20.87,33776.0
2018-02-16,10:09:00,20.8666,20.9149,20.8666,20.91,32446.0
2018-02-16,10:10:00,20.9056,20.9402,20.896,20.9065,70289.0
2018-02-16,10:11:00,20.9,20.92,20.87,20.8863,59971.0
2018-02-16,10:12:00,20.89,20.93,20.88,20.89,84902.0
2018-02-16,10:13:00,20.88,20.88,20.83,20.8462,79470.0
2018-02-16,10:14:00,20.84,20.9099,20.8399,20.9094,29826.0
2018-02-16,10:15:00,20.91,20.94,20.9,20.91,46204.0
2018-02-16,10:16:00,20.915,20.935,20.9,20.9223,37439.0
2018-02-16,10:17:00,20.92,20.95,20.92,20.9262,20513.0
2018-02-16,10:18:00,20.9201,20.939,20.9,20.91,55887.0
2018-02-16,10:19:00,20.905,20.93,20.9,20.9248,10694.0
2018-02-16,10:20:00,20.9207,20.94,20.91,20.9134,19632.0
2018-02-16,10:21:00,20.915,20.93,20.9147,20.93,38240.0
2018-02-16,10:22:00,20.93,20.97,20.93,20.969,23984.0
2018-02-16,10:23:00,20.9625,20.9625,20.93,20.95,29206.0
2018-02-16,10:24:00,20.94,20.96,20.93,20.96,47279.0
2018-02-16,10:25:00,20.955,20.96,20.9262,20.9275,22317.0
2018-02-16,10:26:00,20.93,20.95,20.92,20.94,16584.0
2018-02-16,10:27:00,20.93,20.95,20.93,20.9448,28170.0
2018-02-16,10:28:00,20.945,20.96,20.935,20.96,9282.0
2018-02-16,10:29:00,20.96,21.0,20.95,20.96,136428.0
2018-02-16,10:30:00,20.97,21.0,20.97,20.99,124039.0
2018-02-16,10:31:00,20.995,21.02,20.98,20.989,78956.0
2018-02-16,10:32:00,20.985,20.9866,20.96,20.96,28240.0
2018-02-16,10:33:00,20.97,21.0,20.965,20.97,51456.0
2018-02-16,10:34:00,20.97,20.99,20.9693,20.975,12400.0
2018-02-16,10:35:00,20.979,21.0,20.95,20.97,60600.0
2018-02-16,10:36:00,20.97,21.01,20.97,21.005,35672.0
2018-02-16,10:37:00,21.0192,21.02,20.98,20.99,40546.0
2018-02-16,10:38:00,20.99,21.01,20.98,20.9899,13567.0
2018-02-16,10:39:00,20.985,21.0,20.985,20.985,17458.0
2018-02-16,10:40:00,20.9845,20.99,20.97,20.98,11757.0
2018-02-16,10:41:00,20.97,20.995,20.97,20.985,22573.0
2018-02-16,10:42:00,20.99,21.01,20.9794,21.0,19133.0
2018-02-16,10:43:00,20.9999,21.01,20.96,20.96,31882.0
2018-02-16,10:44:00,20.955,20.965,20.86,20.8662,130158.0
2018-02-16,10:45:00,20.8666,20.88,20.86,20.871,44785.0
2018-02-16,10:46:00,20.88,20.895,20.87,20.89,32740.0
2018-02-16,10:47:00,20.9,20.92,20.8999,20.9099,17443.0
2018-02-16,10:48:00,20.91,20.92,20.89,20.8949,26560.0
2018-02-16,10:49:00,20.895,20.8974,20.8707,20.895,23174.0
2018-02-16,10:50:00,20.895,20.9099,20.8849,20.895,16929.0
2018-02-16,10:51:00,20.895,20.9,20.88,20.895,53644.0
2018-02-16,10:52:00,20.895,20.8966,20.86,20.86,56933.0
2018-02-16,10:53:00,20.865,20.87,20.841,20.87,36360.0
2018-02-16,10:54:00,20.875,20.91,20.8749,20.91,22146.0
2018-02-16,10:55:00,20.9035,20.94,20.9035,20.9135,22494.0
2018-02-16,10:56:00,20.9159,20.93,20.91,20.93,11906.0
2018-02-16,10:57:00,20.94,20.94,20.91,20.91,32359.0
2018-02-16,10:58:00,20.915,20.915,20.88,20.89,11310.0
2018-02-16,10:59:00,20.89,20.9,20.87,20.891,13942.0
2018-02-16,11:00:00,20.89,20.8977,20.876,20.89,16426.0
2018-02-16,11:01:00,20.89,20.91,20.89,20.905,23402.0
2018-02-16,11:02:00,20.9,20.925,20.8968,20.925,14698.0
2018-02-16,11:03:00,20.93,20.94,20.89,20.9,42741.0
2018-02-16,11:04:00,20.9,20.9,20.87,20.8773,13330.0
2018-02-16,11:05:00,20.8746,20.91,20.8746,20.89,19077.0
2018-02-16,11:06:00,20.8845,20.895,20.879,20.89,52124.0
2018-02-16,11:07:00,20.8952,20.8952,20.87,20.889,30072.0
2018-02-16,11:08:00,20.885,20.89,20.8742,20.89,18848.0
2018-02-16,11:09:00,20.89,20.9,20.8854,20.9,23512.0
2018-02-16,11:10:00,20.9,20.92,20.89,20.91,50910.0
2018-02-16,11:11:00,20.9,20.91,20.8948,20.91,2500.0
2018-02-16,11:12:00,20.9062,20.945,20.9062,20.94,39922.0
2018-02-16,11:13:00,20.95,20.99,20.95,20.98,44166.0
2018-02-16,11:14:00,20.975,20.9766,20.96,20.9699,12866.0
2018-02-16,11:15:00,20.965,21.0,20.965,20.9999,34974.0
2018-02-16,11:16:00,20.99,20.99,20.96,20.975,42614.0
2018-02-16,11:17:00,20.9751,20.9999,20.97,20.9899,28675.0
2018-02-16,11:18:00,20.99,21.0,20.95,20.955,52271.0
2018-02-16,11:19:00,20.95,20.9666,20.935,20.935,26124.0
2018-02-16,11:20:00,20.94,20.96,20.93,20.94,14110.0
2018-02-16,11:21:00,20.935,20.9699,20.93,20.9679,14197.0
2018-02-16,11:22:00,20.965,20.98,20.96,20.96,15176.0
2018-02-16,11:23:00,20.97,20.98,20.95,20.975,12000.0
2018-02-16,11:24:00,20.98,21.0,20.97,20.9734,17749.0
2018-02-16,11:25:00,20.97,20.99,20.96,20.98,25801.0
2018-02-16,11:26:00,20.975,20.98,20.96,20.961,29070.0
2018-02-16,11:27:00,20.965,20.965,20.95,20.965,9873.0
2018-02-16,11:28:00,20.96,20.965,20.9445,20.9477,22536.0
2018-02-16,11:29:00,20.945,20.955,20.93,20.9392,16672.0
2018-02-16,11:30:00,20.94,20.9451,20.93,20.935,23422.0
2018-02-16,11:31:00,20.94,20.945,20.93,20.94,19330.0
2018-02-16,11:32:00,20.9341,20.935,20.91,20.915,35345.0
2018-02-16,11:33:00,20.915,20.93,20.905,20.9066,17630.0
2018-02-16,11:34:00,20.91,20.9158,20.9,20.9107,13660.0
2018-02-16,11:35:00,20.92,20.92,20.9,20.915,22587.0
2018-02-16,11:36:00,20.915,20.9294,20.9,20.915,21934.0
2018-02-16,11:37:00,20.92,20.92,20.91,20.915,7918.0
2018-02-16,11:38:00,20.92,20.93,20.91,20.925,16930.0
2018-02-16,11:39:00,20.93,20.94,20.925,20.935,18350.0
2018-02-16,11:40:00,20.9362,20.965,20.935,20.96,33880.0
2018-02-16,11:41:00,20.96,20.995,20.96,20.9831,22836.0
2018-02-16,11:42:00,20.9859,20.99,20.96,20.9699,26708.0
2018-02-16,11:43:00,20.965,20.99,20.96,20.96,33853.0
2018-02-16,11:44:00,20.9667,20.98,20.95,20.955,15321.0
2018-02-16,11:45:00,20.955,20.97,20.95,20.95,19241.0
2018-02-16,11:46:00,20.9584,20.98,20.9564,20.98,26239.0
2018-02-16,11:47:00,20.98,20.98,20.95,20.95,14800.0
2018-02-16,11:48:00,20.9533,20.9599,20.9301,20.945,21350.0
2018-02-16,11:49:00,20.95,20.98,20.94,20.98,31508.0
2018-02-16,11:50:00,20.9764,21.0,20.97,20.99,25140.0
2018-02-16,11:51:00,20.99,21.01,20.98,20.99,51303.0
2018-02-16,11:52:00,20.99,21.0,20.98,20.98,19989.0
2018-02-16,11:53:00,20.97,21.005,20.97,21.005,25422.0
2018-02-16,11:54:00,21.005,21.01,21.0,21.0,17332.0
2018-02-16,11:55:00,20.996,21.0,20.97,20.995,28856.0
2018-02-16,11:56:00,21.0,21.03,20.99,21.025,92495.0
2018-02-16,11:57:00,21.02,21.035,21.01,21.01,24049.0
2018-02-16,11:58:00,21.02,21.05,21.02,21.025,70341.0
2018-02-16,11:59:00,21.02,21.03,21.02,21.02,22626.0
2018-02-16,12:00:00,21.0236,21.035,21.0166,21.0166,13980.0
2018-02-16,12:01:00,21.02,21.02,21.01,21.01,12186.0
2018-02-16,12:02:00,21.015,21.02,20.945,20.95,73782.0
2018-02-16,12:03:00,20.9507,20.9565,20.9407,20.945,19633.0
2018-02-16,12:04:00,20.9472,20.96,20.94,20.95,24670.0
2018-02-16,12:05:00,20.95,20.98,20.94,20.97,11187.0
2018-02-16,12:06:00,20.9763,20.9799,20.95,20.95,8259.0
2018-02-16,12:07:00,20.9549,20.975,20.9547,20.975,10753.0
2018-02-16,12:08:00,20.97,20.97,20.9364,20.955,16958.0
2018-02-16,12:09:00,20.95,20.96,20.94,20.94,14163.0
2018-02-16,12:10:00,20.94,20.95,20.93,20.935,10918.0
2018-02-16,12:11:00,20.9348,20.95,20.9307,20.95,31089.0
2018-02-16,12:12:00,20.95,20.97,20.9464,20.97,14059.0
2018-02-16,12:13:00,20.98,20.99,20.96,20.985,41274.0
2018-02-16,12:14:00,20.985,21.005,20.985,21.005,18807.0
2018-02-16,12:15:00,21.01,21.01,20.9847,20.99,38797.0
2018-02-16,12:16:00,20.9999,21.01,20.99,21.0,50643.0
