date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,76.14,76.18,76.14,76.18,1700.0
2018-02-16,09:31:00,76.01,76.1,76.0,76.1,167454.0
2018-02-16,09:32:00,76.15,76.41,76.12,76.26,7800.0
2018-02-16,09:33:00,76.28,76.4428,76.26,76.42,4718.0
2018-02-16,09:34:00,76.415,76.415,76.33,76.35,7001.0
2018-02-16,09:35:00,76.3602,76.55,76.35,76.5199,5904.0
2018-02-16,09:36:00,76.4501,76.54,76.2459,76.33,6085.0
2018-02-16,09:37:00,76.28,76.37,76.2286,76.37,4290.0
2018-02-16,09:38:00,76.345,76.42,76.34,76.42,4500.0
2018-02-16,09:39:00,76.47,76.49,76.43,76.49,1230.0
2018-02-16,09:40:00,76.49,76.54,76.32,76.32,4204.0
2018-02-16,09:41:00,76.3,76.34,76.16,76.24,8684.0
2018-02-16,09:42:00,76.21,76.21,76.1,76.1601,4400.0
2018-02-16,09:43:00,76.18,76.27,76.16,76.27,1586.0
2018-02-16,09:44:00,76.29,76.32,76.16,76.16,3726.0
2018-02-16,09:45:00,76.16,76.29,76.12,76.29,5886.0
2018-02-16,09:46:00,76.275,76.36,76.16,76.3,5089.0
2018-02-16,09:47:00,76.335,76.365,76.29,76.365,4271.0
2018-02-16,09:48:00,76.38,76.425,76.2954,76.39,5986.0
2018-02-16,09:49:00,76.4,76.49,76.39,76.49,4100.0
2018-02-16,09:50:00,76.5,76.55,76.45,76.45,14430.0
2018-02-16,09:51:00,76.43,76.43,76.26,76.37,8141.0
2018-02-16,09:52:00,76.37,76.42,76.33,76.42,8199.0
2018-02-16,09:53:00,76.42,76.439,76.27,76.35,9949.0
2018-02-16,09:54:00,76.35,76.35,76.29,76.33,2400.0
2018-02-16,09:55:00,76.3497,76.36,76.29,76.33,1900.0
2018-02-16,09:56:00,76.33,76.44,76.33,76.34,3800.0
2018-02-16,09:57:00,76.36,76.36,76.28,76.28,1587.0
2018-02-16,09:58:00,76.295,76.3,76.1667,76.1899,2894.0
2018-02-16,09:59:00,76.15,76.17,76.11,76.11,2112.0
2018-02-16,10:00:00,76.11,76.17,76.09,76.12,4087.0
2018-02-16,10:01:00,76.17,76.23,76.11,76.1725,4393.0
2018-02-16,10:02:00,76.16,76.2,76.11,76.19,4274.0
2018-02-16,10:03:00,76.2,76.25,76.17,76.2325,4541.0
2018-02-16,10:04:00,76.22,76.22,76.099,76.14,3161.0
2018-02-16,10:05:00,76.14,76.175,76.12,76.1375,4017.0
2018-02-16,10:06:00,76.13,76.13,76.07,76.12,3042.0
2018-02-16,10:07:00,76.1,76.11,76.08,76.08,900.0
2018-02-16,10:08:00,76.07,76.16,76.06,76.16,1900.0
2018-02-16,10:09:00,76.1401,76.2,76.14,76.195,6900.0
2018-02-16,10:10:00,76.21,76.26,76.16,76.21,4500.0
2018-02-16,10:11:00,76.19,76.21,76.13,76.14,4828.0
