date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,60.63,60.63,60.63,60.63,98606.0
2018-02-16,09:31:00,60.514,60.68,60.514,60.64,3987.0
2018-02-16,09:32:00,60.64,60.64,60.51,60.51,800.0
2018-02-16,09:33:00,60.51,60.52,60.37,60.46,5272.0
2018-02-16,09:34:00,60.47,60.53,60.44,60.46,10400.0
2018-02-16,09:35:00,60.43,60.4894,60.4,60.44,3552.0
2018-02-16,09:36:00,60.44,60.4872,60.36,60.4466,13340.0
2018-02-16,09:37:00,60.44,60.46,60.37,60.44,5800.0
2018-02-16,09:38:00,60.41,60.42,60.3634,60.3634,11441.0
2018-02-16,09:39:00,60.38,60.46,60.38,60.38,4615.0
2018-02-16,09:40:00,60.39,60.42,60.31,60.37,13267.0
2018-02-16,09:41:00,60.39,60.44,60.38,60.42,14154.0
2018-02-16,09:42:00,60.42,60.44,60.4,60.435,6166.0
2018-02-16,09:43:00,60.44,60.52,60.44,60.5,25765.0
2018-02-16,09:44:00,60.495,60.505,60.47,60.495,14816.0
2018-02-16,09:45:00,60.49,60.49,60.3,60.34,19275.0
2018-02-16,09:46:00,60.32,60.3522,60.3,60.335,34494.0
2018-02-16,09:47:00,60.335,60.39,60.29,60.39,29038.0
2018-02-16,09:48:00,60.39,60.39,60.33,60.34,3200.0
2018-02-16,09:49:00,60.34,60.37,60.3,60.36,9100.0
2018-02-16,09:50:00,60.36,60.41,60.33,60.35,10264.0
2018-02-16,09:51:00,60.35,60.39,60.33,60.39,7600.0
2018-02-16,09:52:00,60.38,60.405,60.38,60.405,2858.0
2018-02-16,09:53:00,60.41,60.46,60.4,60.46,15894.0
2018-02-16,09:54:00,60.45,60.54,60.44,60.52,9600.0
2018-02-16,09:55:00,60.52,60.52,60.495,60.495,24025.0
2018-02-16,09:56:00,60.51,60.57,60.5,60.56,10639.0
2018-02-16,09:57:00,60.57,60.57,60.55,60.5599,4169.0
2018-02-16,09:58:00,60.55,60.57,60.49,60.5,7100.0
2018-02-16,09:59:00,60.51,60.51,60.41,60.44,8866.0
2018-02-16,10:00:00,60.44,60.49,60.37,60.37,11485.0
2018-02-16,10:01:00,60.385,60.405,60.35,60.405,17210.0
2018-02-16,10:02:00,60.4,60.415,60.36,60.38,11498.0
2018-02-16,10:03:00,60.36,60.36,60.34,60.35,7400.0
2018-02-16,10:04:00,60.3482,60.3482,60.28,60.31,6565.0
2018-02-16,10:05:00,60.33,60.33,60.28,60.2875,3520.0
2018-02-16,10:06:00,60.29,60.3,60.23,60.29,11972.0
2018-02-16,10:07:00,60.29,60.29,60.25,60.26,9294.0
2018-02-16,10:08:00,60.25,60.29,60.25,60.28,7604.0
2018-02-16,10:09:00,60.28,60.32,60.28,60.32,6000.0
2018-02-16,10:10:00,60.32,60.4,60.32,60.375,7973.0
2018-02-16,10:11:00,60.37,60.37,60.3,60.32,7600.0
2018-02-16,10:12:00,60.32,60.32,60.25,60.26,7692.0
2018-02-16,10:13:00,60.25,60.33,60.24,60.33,15100.0
2018-02-16,10:14:00,60.33,60.38,60.33,60.34,51200.0
2018-02-16,10:15:00,60.35,60.38,60.33,60.36,9645.0
2018-02-16,10:16:00,60.365,60.365,60.33,60.36,7799.0
2018-02-16,10:17:00,60.355,60.42,60.355,60.42,11509.0
2018-02-16,10:18:00,60.42,60.45,60.39,60.43,11662.0
2018-02-16,10:19:00,60.42,60.45,60.4,60.44,7830.0
2018-02-16,10:20:00,60.42,60.43,60.39,60.39,7218.0
2018-02-16,10:21:00,60.39,60.42,60.39,60.42,2500.0
2018-02-16,10:22:00,60.405,60.43,60.39,60.41,14900.0
2018-02-16,10:23:00,60.44,60.46,60.44,60.46,2500.0
2018-02-16,10:24:00,60.46,60.4799,60.45,60.46,6955.0
2018-02-16,10:25:00,60.47,60.495,60.46,60.47,5490.0
2018-02-16,10:26:00,60.47,60.51,60.47,60.5,5449.0
2018-02-16,10:27:00,60.51,60.51,60.46,60.51,7836.0
2018-02-16,10:28:00,60.53,60.57,60.49,60.57,8442.0
2018-02-16,10:29:00,60.56,60.565,60.5,60.52,3986.0
2018-02-16,10:30:00,60.52,60.56,60.52,60.54,2600.0
2018-02-16,10:31:00,60.53,60.53,60.5,60.52,6563.0
2018-02-16,10:32:00,60.52,60.55,60.49,60.49,5169.0
2018-02-16,10:33:00,60.49,60.52,60.4725,60.495,7531.0
2018-02-16,10:34:00,60.51,60.51,60.48,60.48,3297.0
2018-02-16,10:35:00,60.48,60.53,60.45,60.505,7884.0
2018-02-16,10:36:00,60.5094,60.56,60.5,60.56,5920.0
2018-02-16,10:37:00,60.56,60.59,60.55,60.585,5000.0
2018-02-16,10:38:00,60.59,60.6,60.56,60.57,6895.0
2018-02-16,10:39:00,60.57,60.58,60.55,60.57,4800.0
2018-02-16,10:40:00,60.59,60.59,60.57,60.57,2600.0
2018-02-16,10:41:00,60.58,60.61,60.56,60.6,4717.0
2018-02-16,10:42:00,60.6,60.6,60.57,60.58,5050.0
2018-02-16,10:43:00,60.57,60.57,60.49,60.49,10064.0
2018-02-16,10:44:00,60.485,60.485,60.42,60.44,3400.0
2018-02-16,10:45:00,60.44,60.44,60.42,60.42,3100.0
2018-02-16,10:46:00,60.42,60.43,60.41,60.42,4200.0
2018-02-16,10:47:00,60.41,60.47,60.385,60.47,5312.0
2018-02-16,10:48:00,60.48,60.485,60.46,60.465,5940.0
2018-02-16,10:49:00,60.465,60.465,60.43,60.43,3068.0
2018-02-16,10:50:00,60.45,60.465,60.44,60.44,2300.0
2018-02-16,10:51:00,60.44,60.46,60.43,60.455,3300.0
2018-02-16,10:52:00,60.455,60.455,60.39,60.42,13016.0
2018-02-16,10:53:00,60.42,60.4238,60.375,60.375,7200.0
2018-02-16,10:54:00,60.365,60.365,60.3308,60.3308,3067.0
2018-02-16,10:55:00,60.33,60.37,60.31,60.37,4800.0
2018-02-16,10:56:00,60.37,60.38,60.35,60.38,8200.0
2018-02-16,10:57:00,60.39,60.43,60.39,60.43,1100.0
2018-02-16,10:58:00,60.44,60.44,60.41,60.43,5489.0
2018-02-16,10:59:00,60.41,60.445,60.41,60.43,4700.0
2018-02-16,11:00:00,60.43,60.46,60.42,60.46,11563.0
2018-02-16,11:01:00,60.45,60.55,60.45,60.53,10349.0
2018-02-16,11:02:00,60.52,60.55,60.5,60.51,4500.0
2018-02-16,11:03:00,60.5,60.5,60.455,60.49,13500.0
2018-02-16,11:04:00,60.5,60.505,60.48,60.5,18508.0
2018-02-16,11:05:00,60.51,60.53,60.5,60.52,4933.0
2018-02-16,11:06:00,60.5,60.5,60.46,60.47,2221.0
2018-02-16,11:07:00,60.4798,60.48,60.43,60.43,2850.0
2018-02-16,11:08:00,60.4282,60.4899,60.41,60.4899,21200.0
2018-02-16,11:09:00,60.4826,60.53,60.4826,60.53,3671.0
2018-02-16,11:10:00,60.52,60.52,60.49,60.49,2500.0
2018-02-16,11:11:00,60.49,60.75,60.49,60.62,28833.0
2018-02-16,11:12:00,60.62,60.69,60.6199,60.6358,8200.0
2018-02-16,11:13:00,60.64,60.65,60.61,60.625,2200.0
2018-02-16,11:14:00,60.64,60.655,60.62,60.6409,3550.0
