date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,332.5,332.65,332.5,332.65,45366.0
2018-02-16,09:31:00,332.0,332.88,332.0,332.5495,16587.0
2018-02-16,09:32:00,332.58,333.21,332.35,332.46,21697.0
2018-02-16,09:33:00,332.61,332.72,331.75,332.0589,31651.0
2018-02-16,09:34:00,332.24,332.37,331.64,332.01,17324.0
2018-02-16,09:35:00,332.0,333.28,331.97,333.15,93532.0
2018-02-16,09:36:00,333.0848,335.201,333.0848,334.95,42064.0
2018-02-16,09:37:00,334.81,335.8,334.626,335.54,38626.0
2018-02-16,09:38:00,335.5033,335.75,335.24,335.669,15668.0
2018-02-16,09:39:00,335.5148,336.485,335.5148,336.0432,40804.0
2018-02-16,09:40:00,336.01,336.05,335.2575,335.83,20603.0
2018-02-16,09:41:00,335.6,335.94,335.36,335.5,6818.0
2018-02-16,09:42:00,335.5,335.739,335.12,335.29,22560.0
2018-02-16,09:43:00,335.29,335.8,335.29,335.36,6897.0
2018-02-16,09:44:00,335.44,335.68,335.0,335.1288,13138.0
2018-02-16,09:45:00,335.01,335.16,334.32,334.51,16959.0
2018-02-16,09:46:00,334.462,335.9825,334.462,335.82,22521.0
2018-02-16,09:47:00,335.93,336.07,335.61,335.98,16511.0
2018-02-16,09:48:00,335.82,335.9,335.21,335.785,7765.0
2018-02-16,09:49:00,335.705,336.27,335.52,336.18,11851.0
2018-02-16,09:50:00,336.17,336.3999,336.0,336.04,11150.0
2018-02-16,09:51:00,336.045,336.87,335.75,336.87,12326.0
2018-02-16,09:52:00,336.853,338.0,336.7211,337.96,45352.0
2018-02-16,09:53:00,337.83,338.22,337.04,337.27,19992.0
2018-02-16,09:54:00,337.3599,337.635,337.21,337.3902,11952.0
2018-02-16,09:55:00,337.4738,337.75,337.2,337.4944,21391.0
2018-02-16,09:56:00,337.4645,337.94,337.29,337.7626,12684.0
2018-02-16,09:57:00,337.68,338.3,337.5,337.8975,19027.0
2018-02-16,09:58:00,337.9,338.16,337.12,337.42,26321.0
2018-02-16,09:59:00,337.38,337.49,336.88,337.0605,11448.0
2018-02-16,10:00:00,336.94,337.48,336.5,336.96,19108.0
2018-02-16,10:01:00,336.888,336.888,336.0,336.5994,23425.0
2018-02-16,10:02:00,336.425,336.88,336.18,336.44,10358.0
2018-02-16,10:03:00,336.44,336.701,336.27,336.46,9625.0
2018-02-16,10:04:00,336.0701,336.23,335.91,336.095,9866.0
2018-02-16,10:05:00,336.17,336.29,335.6519,335.6582,18696.0
2018-02-16,10:06:00,335.65,335.73,334.5,334.9895,39640.0
2018-02-16,10:07:00,334.8,334.9599,334.53,334.7442,18875.0
2018-02-16,10:08:00,334.67,334.98,334.43,334.7218,16548.0
2018-02-16,10:09:00,334.79,334.85,333.85,334.85,24957.0
2018-02-16,10:10:00,334.795,336.41,334.795,336.41,19983.0
2018-02-16,10:11:00,336.07,336.6,336.07,336.57,22899.0
2018-02-16,10:12:00,336.69,336.74,335.64,335.68,11636.0
2018-02-16,10:13:00,335.81,336.07,335.331,335.66,11702.0
2018-02-16,10:14:00,335.67,336.04,335.27,335.34,8237.0
2018-02-16,10:15:00,335.42,335.93,335.42,335.9,3260.0
2018-02-16,10:16:00,336.0,336.89,336.0,336.41,18697.0
2018-02-16,10:17:00,336.57,337.0,336.53,336.99,14098.0
2018-02-16,10:18:00,336.7436,336.83,336.5101,336.795,8274.0
2018-02-16,10:19:00,336.68,337.19,336.64,336.96,17101.0
2018-02-16,10:20:00,336.83,336.96,336.64,336.77,3951.0
2018-02-16,10:21:00,336.7626,337.3763,336.64,337.14,20644.0
2018-02-16,10:22:00,337.21,337.32,337.0,337.19,4525.0
2018-02-16,10:23:00,337.31,337.75,337.15,337.5,4729.0
2018-02-16,10:24:00,337.49,337.55,336.58,336.8772,11610.0
2018-02-16,10:25:00,336.89,337.14,336.735,336.81,17495.0
2018-02-16,10:26:00,336.89,337.5,336.89,337.17,8132.0
2018-02-16,10:27:00,337.195,337.52,337.11,337.4389,3630.0
2018-02-16,10:28:00,337.39,337.75,337.381,337.51,10975.0
2018-02-16,10:29:00,337.4926,338.01,337.441,337.94,16310.0
2018-02-16,10:30:00,337.89,337.94,337.45,337.88,11799.0
2018-02-16,10:31:00,337.81,338.39,337.76,338.3658,17609.0
2018-02-16,10:32:00,338.3112,338.91,338.31,338.86,17762.0
2018-02-16,10:33:00,338.79,339.1,338.74,338.8,24973.0
2018-02-16,10:34:00,338.66,338.77,338.33,338.6628,10694.0
2018-02-16,10:35:00,338.61,338.905,338.33,338.7728,11049.0
2018-02-16,10:36:00,338.9,339.665,338.76,339.555,23482.0
2018-02-16,10:37:00,339.66,339.66,339.15,339.15,15158.0
2018-02-16,10:38:00,339.0119,339.5,338.93,339.4062,22248.0
2018-02-16,10:39:00,339.3895,339.5979,339.0,339.0,13168.0
2018-02-16,10:40:00,338.955,339.0157,338.5001,338.8085,13284.0
2018-02-16,10:41:00,338.8209,339.09,338.753,338.944,17928.0
2018-02-16,10:42:00,338.9452,339.25,338.84,339.25,7863.0
2018-02-16,10:43:00,339.25,339.48,338.91,339.01,15070.0
