date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,31.55,31.77,30.89,31.166,315852.0
2018-02-16,09:32:00,31.09,31.43,31.09,31.43,23518.0
2018-02-16,09:33:00,31.4,31.68,31.4,31.6,17814.0
2018-02-16,09:34:00,31.555,31.61,31.31,31.31,22810.0
2018-02-16,09:35:00,31.4,31.67,31.38,31.65,11480.0
2018-02-16,09:36:00,31.65,31.95,31.65,31.93,34188.0
2018-02-16,09:37:00,31.85,31.95,31.81,31.9406,22994.0
2018-02-16,09:38:00,31.96,32.1,31.88,31.8901,105009.0
2018-02-16,09:39:00,31.9804,32.25,31.9804,32.23,20725.0
2018-02-16,09:40:00,32.17,32.1888,32.05,32.14,14712.0
2018-02-16,09:41:00,32.15,32.34,32.15,32.29,15081.0
2018-02-16,09:42:00,32.25,32.29,32.1201,32.146,10272.0
2018-02-16,09:43:00,32.23,32.23,32.13,32.229,3755.0
2018-02-16,09:44:00,32.18,32.19,32.01,32.01,4712.0
2018-02-16,09:45:00,32.06,32.08,31.88,31.9366,13755.0
2018-02-16,09:46:00,31.94,32.2,31.9,32.2,9316.0
2018-02-16,09:47:00,32.21,32.32,32.17,32.299,6035.0
2018-02-16,09:48:00,32.2731,32.34,32.18,32.23,12376.0
2018-02-16,09:49:00,32.245,32.25,32.13,32.19,10289.0
2018-02-16,09:50:00,32.2,32.33,32.18,32.33,3793.0
2018-02-16,09:51:00,32.29,32.375,32.29,32.375,4973.0
2018-02-16,09:52:00,32.4,32.45,32.36,32.4399,8732.0
2018-02-16,09:53:00,32.432,32.4858,32.32,32.34,24274.0
2018-02-16,09:54:00,32.34,32.365,32.25,32.34,8520.0
2018-02-16,09:55:00,32.35,32.4,32.33,32.375,18519.0
2018-02-16,09:56:00,32.39,32.49,32.39,32.455,3532.0
2018-02-16,09:57:00,32.48,32.48,32.39,32.4,14975.0
2018-02-16,09:58:00,32.4101,32.49,32.4,32.48,9680.0
2018-02-16,09:59:00,32.489,32.489,32.33,32.33,9445.0
2018-02-16,10:00:00,32.34,32.36,32.3,32.336,8418.0
2018-02-16,10:01:00,32.3144,32.42,32.3144,32.42,3008.0
2018-02-16,10:02:00,32.42,32.43,32.27,32.275,12982.0
2018-02-16,10:03:00,32.27,32.33,32.2,32.33,8028.0
2018-02-16,10:04:00,32.305,32.35,32.29,32.29,2747.0
2018-02-16,10:05:00,32.33,32.42,32.28,32.4,14871.0
2018-02-16,10:06:00,32.4,32.4,32.29,32.29,24570.0
2018-02-16,10:07:00,32.29,32.36,32.26,32.33,24881.0
2018-02-16,10:08:00,32.3565,32.42,32.35,32.41,8022.0
2018-02-16,10:09:00,32.4183,32.49,32.41,32.48,10291.0
2018-02-16,10:10:00,32.4827,32.6,32.48,32.59,35699.0
2018-02-16,10:11:00,32.6,32.83,32.59,32.822,56908.0
2018-02-16,10:12:00,32.84,32.9,32.81,32.8752,37124.0
2018-02-16,10:13:00,32.8802,32.95,32.87,32.88,25222.0
2018-02-16,10:14:00,32.87,32.8766,32.79,32.8,8587.0
2018-02-16,10:15:00,32.83,32.83,32.59,32.6,32475.0
2018-02-16,10:16:00,32.66,32.73,32.57,32.65,17603.0
2018-02-16,10:17:00,32.6608,32.83,32.6608,32.77,14185.0
2018-02-16,10:18:00,32.75,32.82,32.6808,32.78,7065.0
2018-02-16,10:19:00,32.8002,32.925,32.8002,32.91,6420.0
2018-02-16,10:20:00,32.9,32.95,32.88,32.91,16993.0
2018-02-16,10:21:00,32.9109,32.93,32.9,32.93,2358.0
2018-02-16,10:22:00,32.95,33.0,32.91,33.0,55041.0
2018-02-16,10:23:00,32.9601,33.0,32.9152,32.985,38501.0
2018-02-16,10:24:00,32.99,33.0,32.97,32.99,31911.0
2018-02-16,10:25:00,32.9942,33.09,32.97,32.99,50389.0
2018-02-16,10:26:00,32.985,33.02,32.83,32.87,15555.0
2018-02-16,10:27:00,32.9,32.96,32.88,32.91,3459.0
2018-02-16,10:28:00,32.9185,32.96,32.91,32.96,1900.0
2018-02-16,10:29:00,32.969,33.025,32.94,33.0,10400.0
2018-02-16,10:30:00,33.0351,33.12,32.992,33.119,26951.0
2018-02-16,10:31:00,33.11,33.11,33.06,33.06,15817.0
2018-02-16,10:32:00,33.08,33.12,33.07,33.11,10318.0
2018-02-16,10:33:00,33.11,33.12,33.08,33.1013,12224.0
2018-02-16,10:34:00,33.1,33.129,33.08,33.09,11000.0
2018-02-16,10:35:00,33.08,33.08,32.81,32.86,23723.0
2018-02-16,10:36:00,32.87,32.99,32.869,32.95,21023.0
2018-02-16,10:37:00,32.9633,33.0,32.95,32.9701,4190.0
2018-02-16,10:38:00,32.97,32.99,32.87,32.87,8550.0
2018-02-16,10:39:00,32.9,32.98,32.9,32.98,9416.0
2018-02-16,10:40:00,32.98,32.999,32.86,32.89,9800.0
