date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,33.37,33.43,33.31,33.33,179492.0
2018-02-16,09:31:00,33.355,33.355,33.12,33.2601,143680.0
2018-02-16,09:32:00,33.27,33.5,33.21,33.5,165209.0
2018-02-16,09:33:00,33.5,33.5,33.33,33.4228,143228.0
2018-02-16,09:34:00,33.43,33.43,33.28,33.355,161211.0
2018-02-16,09:35:00,33.36,33.36,33.13,33.23,253621.0
2018-02-16,09:36:00,33.22,33.25,33.08,33.14,199901.0
2018-02-16,09:37:00,33.16,33.19,33.07,33.1822,137981.0
2018-02-16,09:38:00,33.18,33.35,33.16,33.27,105577.0
2018-02-16,09:39:00,33.28,33.39,33.27,33.33,71865.0
2018-02-16,09:40:00,33.35,33.35,33.27,33.27,65510.0
2018-02-16,09:41:00,33.27,33.31,33.25,33.27,50232.0
2018-02-16,09:42:00,33.2549,33.2549,33.13,33.16,112766.0
2018-02-16,09:43:00,33.16,33.2501,33.14,33.25,67239.0
2018-02-16,09:44:00,33.235,33.235,33.12,33.14,98619.0
2018-02-16,09:45:00,33.15,33.23,33.11,33.13,191609.0
2018-02-16,09:46:00,33.135,33.29,33.135,33.28,77449.0
2018-02-16,09:47:00,33.2805,33.315,33.23,33.25,82733.0
2018-02-16,09:48:00,33.255,33.255,33.16,33.19,75045.0
2018-02-16,09:49:00,33.19,33.249,33.15,33.22,50555.0
2018-02-16,09:50:00,33.22,33.27,33.19,33.2657,95368.0
2018-02-16,09:51:00,33.26,33.37,33.2299,33.325,129061.0
2018-02-16,09:52:00,33.32,33.32,33.27,33.28,66154.0
2018-02-16,09:53:00,33.28,33.34,33.22,33.295,95298.0
2018-02-16,09:54:00,33.29,33.3,33.2,33.3,128528.0
2018-02-16,09:55:00,33.3,33.32,33.17,33.19,183806.0
2018-02-16,09:56:00,33.19,33.25,33.15,33.16,116208.0
2018-02-16,09:57:00,33.1644,33.21,33.12,33.21,115731.0
2018-02-16,09:58:00,33.21,33.24,33.16,33.16,113127.0
2018-02-16,09:59:00,33.16,33.1856,33.08,33.13,173405.0
2018-02-16,10:00:00,33.13,33.16,33.122,33.122,45317.0
2018-02-16,10:01:00,33.14,33.16,33.11,33.14,83146.0
2018-02-16,10:02:00,33.13,33.15,33.0201,33.05,141606.0
2018-02-16,10:03:00,33.05,33.07,32.91,32.96,358310.0
2018-02-16,10:04:00,32.96,33.03,32.9244,32.96,140723.0
2018-02-16,10:05:00,32.96,32.98,32.9,32.91,184021.0
2018-02-16,10:06:00,32.91,33.0,32.905,32.975,97910.0
2018-02-16,10:07:00,32.9764,32.98,32.89,32.95,154170.0
2018-02-16,10:08:00,32.945,32.97,32.88,32.895,129430.0
2018-02-16,10:09:00,32.89,32.9801,32.86,32.98,204391.0
2018-02-16,10:10:00,32.98,33.05,32.951,33.02,208362.0
2018-02-16,10:11:00,33.02,33.0638,33.02,33.04,84667.0
2018-02-16,10:12:00,33.04,33.05,32.98,33.02,138560.0
2018-02-16,10:13:00,33.01,33.05,32.97,33.045,63896.0
2018-02-16,10:14:00,33.05,33.14,33.0401,33.045,113720.0
2018-02-16,10:15:00,33.05,33.085,33.01,33.065,62001.0
2018-02-16,10:16:00,33.07,33.1135,33.04,33.0958,41313.0
2018-02-16,10:17:00,33.09,33.19,33.09,33.18,114757.0
2018-02-16,10:18:00,33.18,33.18,33.12,33.15,66140.0
