date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,18.25,18.25,18.08,18.1,203121.0
2018-02-16,09:32:00,18.12,18.28,18.05,18.24,84645.0
2018-02-16,09:33:00,18.26,18.33,18.18,18.32,46596.0
2018-02-16,09:34:00,18.32,18.41,18.32,18.3701,43266.0
2018-02-16,09:35:00,18.35,18.39,18.29,18.37,20073.0
2018-02-16,09:36:00,18.37,18.45,18.33,18.34,53217.0
2018-02-16,09:37:00,18.33,18.4223,18.28,18.4223,55471.0
2018-02-16,09:38:00,18.42,18.5,18.41,18.49,36004.0
2018-02-16,09:39:00,18.5,18.58,18.395,18.45,145299.0
2018-02-16,09:40:00,18.35,18.52,18.35,18.5,39483.0
2018-02-16,09:41:00,18.49,18.49,18.42,18.46,67129.0
2018-02-16,09:42:00,18.46,18.55,18.4399,18.55,66588.0
2018-02-16,09:43:00,18.55,18.64,18.54,18.64,47850.0
2018-02-16,09:44:00,18.64,18.74,18.56,18.58,102604.0
2018-02-16,09:45:00,18.58,18.69,18.5799,18.61,33776.0
2018-02-16,09:46:00,18.6,18.695,18.54,18.685,69491.0
2018-02-16,09:47:00,18.69,18.72,18.65,18.6745,38418.0
2018-02-16,09:48:00,18.68,18.685,18.6339,18.67,34178.0
2018-02-16,09:49:00,18.675,18.75,18.675,18.7299,36282.0
2018-02-16,09:50:00,18.73,18.73,18.58,18.6,32774.0
2018-02-16,09:51:00,18.59,18.6,18.54,18.5931,80057.0
2018-02-16,09:52:00,18.59,18.62,18.55,18.61,50697.0
2018-02-16,09:53:00,18.6,18.63,18.5935,18.6,18332.0
2018-02-16,09:54:00,18.595,18.595,18.555,18.56,24520.0
2018-02-16,09:55:00,18.56,18.57,18.48,18.52,55133.0
2018-02-16,09:56:00,18.52,18.54,18.4699,18.47,29718.0
2018-02-16,09:57:00,18.46,18.495,18.44,18.49,20726.0
2018-02-16,09:58:00,18.49,18.49,18.43,18.435,12959.0
2018-02-16,09:59:00,18.43,18.44,18.35,18.35,21641.0
2018-02-16,10:00:00,18.35,18.3853,18.31,18.34,35934.0
2018-02-16,10:01:00,18.33,18.35,18.29,18.33,36387.0
2018-02-16,10:02:00,18.33,18.37,18.3188,18.365,46224.0
2018-02-16,10:03:00,18.355,18.38,18.34,18.38,26922.0
2018-02-16,10:04:00,18.38,18.38,18.31,18.32,24832.0
2018-02-16,10:05:00,18.32,18.335,18.27,18.275,40564.0
2018-02-16,10:06:00,18.27,18.275,18.2,18.24,43319.0
2018-02-16,10:07:00,18.24,18.24,18.18,18.22,34101.0
2018-02-16,10:08:00,18.215,18.23,18.205,18.21,26500.0
2018-02-16,10:09:00,18.21,18.31,18.2064,18.29,45640.0
2018-02-16,10:10:00,18.295,18.31,18.26,18.27,31000.0
2018-02-16,10:11:00,18.26,18.3,18.2499,18.25,38932.0
2018-02-16,10:12:00,18.245,18.245,18.14,18.145,44592.0
2018-02-16,10:13:00,18.14,18.17,18.14,18.17,68082.0
2018-02-16,10:14:00,18.17,18.175,18.13,18.15,41949.0
2018-02-16,10:15:00,18.15,18.22,18.14,18.2,39981.0
2018-02-16,10:16:00,18.2,18.22,18.18,18.18,17419.0
2018-02-16,10:17:00,18.18,18.25,18.1699,18.21,70537.0
2018-02-16,10:18:00,18.21,18.215,18.14,18.16,99772.0
2018-02-16,10:19:00,18.1599,18.16,18.12,18.15,33550.0
2018-02-16,10:20:00,18.15,18.15,18.11,18.14,22599.0
2018-02-16,10:21:00,18.14,18.16,18.13,18.16,20644.0
2018-02-16,10:22:00,18.165,18.165,18.1221,18.135,151055.0
2018-02-16,10:23:00,18.135,18.16,18.105,18.16,22074.0
2018-02-16,10:24:00,18.165,18.165,18.12,18.13,9783.0
2018-02-16,10:25:00,18.135,18.17,18.135,18.15,20376.0
2018-02-16,10:26:00,18.15,18.17,18.14,18.14,15782.0
2018-02-16,10:27:00,18.14,18.15,18.13,18.1452,9294.0
2018-02-16,10:28:00,18.15,18.16,18.145,18.15,7021.0
2018-02-16,10:29:00,18.1499,18.1499,18.12,18.145,20822.0
2018-02-16,10:30:00,18.145,18.16,18.14,18.14,14312.0
2018-02-16,10:31:00,18.14,18.14,18.1,18.13,40334.0
2018-02-16,10:32:00,18.13,18.135,18.105,18.13,33681.0
2018-02-16,10:33:00,18.14,18.1686,18.135,18.155,23075.0
2018-02-16,10:34:00,18.155,18.16,18.14,18.14,9694.0
2018-02-16,10:35:00,18.15,18.17,18.15,18.15,18150.0
2018-02-16,10:36:00,18.15,18.16,18.14,18.16,18055.0
2018-02-16,10:37:00,18.15,18.155,18.12,18.135,19847.0
2018-02-16,10:38:00,18.13,18.14,18.125,18.13,9789.0
2018-02-16,10:39:00,18.12,18.13,18.11,18.11,12395.0
2018-02-16,10:40:00,18.11,18.11,18.1,18.11,8498.0
2018-02-16,10:41:00,18.11,18.14,18.11,18.14,36441.0
2018-02-16,10:42:00,18.14,18.18,18.1229,18.17,22972.0
2018-02-16,10:43:00,18.1699,18.1752,18.14,18.15,124628.0
2018-02-16,10:44:00,18.15,18.17,18.145,18.155,47269.0
2018-02-16,10:45:00,18.155,18.185,18.1523,18.1825,79642.0
2018-02-16,10:46:00,18.18,18.245,18.18,18.225,71046.0
2018-02-16,10:47:00,18.22,18.225,18.205,18.215,23550.0
