date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,117.97,117.97,117.97,117.97,24684.0
2018-02-16,09:31:00,118.425,118.425,118.425,118.425,100.0
2018-02-16,09:32:00,118.07,118.66,118.07,118.64,1300.0
2018-02-16,09:33:00,118.19,118.19,118.19,118.19,100.0
2018-02-16,09:34:00,118.2,118.2,118.12,118.12,300.0
2018-02-16,09:35:00,118.38,118.65,118.13,118.38,900.0
2018-02-16,09:36:00,118.17,118.17,118.17,118.17,100.0
2018-02-16,09:37:00,118.17,118.35,117.98,118.14,1900.0
2018-02-16,09:38:00,118.325,118.35,118.14,118.14,10136.0
2018-02-16,09:39:00,118.0,118.39,118.0,118.33,3700.0
2018-02-16,09:40:00,118.37,118.42,118.365,118.39,900.0
2018-02-16,09:41:00,118.465,118.465,118.16,118.16,600.0
2018-02-16,09:42:00,118.265,118.415,118.265,118.415,200.0
2018-02-16,09:44:00,118.09,118.14,118.09,118.14,200.0
2018-02-16,09:45:00,118.03,118.03,118.03,118.03,100.0
2018-02-16,09:46:00,117.875,117.97,117.76,117.76,4200.0
2018-02-16,09:47:00,117.73,117.73,117.69,117.715,1000.0
2018-02-16,09:48:00,117.71,117.84,117.62,117.84,1700.0
2018-02-16,09:49:00,117.87,118.01,117.87,118.01,1300.0
2018-02-16,09:51:00,117.84,117.89,117.66,117.795,4400.0
2018-02-16,09:52:00,117.805,118.03,117.805,118.03,2100.0
2018-02-16,09:53:00,117.95,117.95,117.94,117.94,500.0
2018-02-16,09:55:00,117.94,118.05,117.85,117.85,4100.0
2018-02-16,09:56:00,118.05,118.05,117.72,117.72,1700.0
2018-02-16,09:57:00,117.86,117.86,117.72,117.72,300.0
2018-02-16,09:58:00,117.87,117.87,117.68,117.69,1600.0
2018-02-16,10:00:00,117.68,117.68,117.68,117.68,100.0
2018-02-16,10:01:00,117.55,117.55,117.55,117.55,200.0
2018-02-16,10:02:00,117.55,117.67,117.44,117.44,400.0
2018-02-16,10:03:00,117.64,117.73,117.53,117.73,3300.0
2018-02-16,10:04:00,117.54,117.64,117.5,117.6,12000.0
2018-02-16,10:05:00,117.58,117.69,117.49,117.645,5696.0
2018-02-16,10:06:00,117.6046,117.62,117.51,117.585,1150.0
