date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,204.45,204.45,204.45,204.45,21510.0
2018-02-16,09:31:00,204.12,204.2,204.12,204.2,300.0
2018-02-16,09:32:00,204.6,204.6,204.48,204.5,1800.0
2018-02-16,09:33:00,204.89,205.0,204.89,205.0,800.0
2018-02-16,09:34:00,205.2994,205.44,205.19,205.19,1900.0
2018-02-16,09:35:00,205.16,205.7305,204.29,204.7,5210.0
2018-02-16,09:36:00,204.74,205.13,204.52,204.69,2150.0
2018-02-16,09:38:00,204.695,204.695,204.67,204.67,2300.0
2018-02-16,09:39:00,204.67,204.69,204.65,204.69,1000.0
2018-02-16,09:40:00,204.465,205.1,204.25,205.1,1000.0
2018-02-16,09:41:00,204.9901,204.9901,204.364,204.364,1684.0
2018-02-16,09:42:00,204.66,204.66,204.1,204.475,2764.0
2018-02-16,09:43:00,204.475,204.73,204.3861,204.67,600.0
2018-02-16,09:45:00,204.52,204.5568,204.29,204.48,4065.0
2018-02-16,09:46:00,204.53,204.56,204.2,204.56,2101.0
2018-02-16,09:47:00,204.715,204.715,204.715,204.715,300.0
2018-02-16,09:48:00,204.8175,204.8175,204.54,204.55,12900.0
2018-02-16,09:49:00,204.735,205.395,204.735,204.82,7687.0
2018-02-16,09:50:00,205.135,205.33,204.84,205.33,800.0
2018-02-16,09:51:00,204.91,205.16,204.53,204.885,7060.0
2018-02-16,09:52:00,204.97,204.97,204.97,204.97,300.0
2018-02-16,09:53:00,204.985,204.985,204.985,204.985,100.0
2018-02-16,09:54:00,204.53,204.54,204.53,204.53,400.0
2018-02-16,09:55:00,204.53,205.13,204.35,204.45,10400.0
2018-02-16,09:56:00,204.83,204.83,204.12,204.12,1252.0
2018-02-16,09:57:00,204.5225,204.5225,204.02,204.13,1635.0
2018-02-16,09:58:00,204.375,204.375,204.18,204.18,400.0
2018-02-16,09:59:00,204.09,204.09,204.09,204.09,100.0
2018-02-16,10:00:00,204.07,204.07,203.97,204.02,1335.0
2018-02-16,10:01:00,204.4536,204.64,204.03,204.38,2275.0
2018-02-16,10:02:00,204.375,204.375,204.15,204.19,300.0
2018-02-16,10:03:00,204.4996,204.4996,204.21,204.4652,500.0
2018-02-16,10:04:00,204.58,204.58,204.31,204.31,700.0
2018-02-16,10:05:00,204.42,204.51,204.26,204.51,2734.0
2018-02-16,10:06:00,204.3,204.4308,204.26,204.32,2750.0
2018-02-16,10:07:00,204.4975,204.4975,204.11,204.11,2400.0
2018-02-16,10:08:00,204.23,204.29,204.12,204.215,2100.0
2018-02-16,10:09:00,204.34,204.57,204.27,204.5,2100.0
2018-02-16,10:10:00,204.57,204.57,204.48,204.515,991.0
2018-02-16,10:11:00,204.33,204.48,204.33,204.48,1100.0
2018-02-16,10:12:00,204.395,204.395,204.165,204.37,4450.0
2018-02-16,10:13:00,204.37,204.5,204.37,204.5,2600.0
2018-02-16,10:14:00,204.52,204.59,204.52,204.59,300.0
2018-02-16,10:15:00,204.62,204.82,204.53,204.66,1700.0
2018-02-16,10:16:00,204.665,205.03,204.66,204.82,3700.0
2018-02-16,10:17:00,204.945,205.07,204.945,205.05,300.0
2018-02-16,10:18:00,204.84,204.84,204.53,204.54,1913.0
2018-02-16,10:19:00,204.77,204.77,204.48,204.51,1900.0
2018-02-16,10:20:00,204.55,204.6145,204.38,204.38,3700.0
2018-02-16,10:21:00,204.575,204.745,204.53,204.565,3600.0
2018-02-16,10:22:00,204.6735,204.76,204.22,204.5,9700.0
2018-02-16,10:23:00,204.5,204.5,204.22,204.425,1500.0
2018-02-16,10:25:00,204.27,204.465,204.27,204.44,512.0
2018-02-16,10:26:00,204.44,204.46,204.365,204.4,3667.0
2018-02-16,10:27:00,204.31,204.45,204.19,204.45,2100.0
2018-02-16,10:29:00,204.27,204.3755,204.27,204.3755,702.0
2018-02-16,10:30:00,204.3,204.3,204.3,204.3,100.0
2018-02-16,10:31:00,204.2872,204.3725,204.1175,204.15,2400.0
2018-02-16,10:32:00,204.195,204.33,204.195,204.29,4929.0
2018-02-16,10:33:00,204.26,204.26,204.04,204.145,4100.0
2018-02-16,10:35:00,204.03,204.03,203.92,203.92,1300.0
2018-02-16,10:36:00,203.99,204.11,203.895,204.04,2400.0
2018-02-16,10:37:00,204.04,204.135,204.04,204.135,2200.0
2018-02-16,10:38:00,204.14,204.14,204.05,204.05,850.0
2018-02-16,10:39:00,204.05,204.05,204.05,204.05,1000.0
2018-02-16,10:40:00,203.99,204.1,203.93,204.02,1900.0
2018-02-16,10:41:00,203.97,203.97,203.97,203.97,100.0
2018-02-16,10:42:00,203.97,204.02,203.97,204.0,496.0
2018-02-16,10:43:00,204.0,204.03,203.77,203.77,1800.0
2018-02-16,10:44:00,203.75,203.75,203.59,203.59,900.0
2018-02-16,10:46:00,203.68,203.68,203.68,203.68,100.0
2018-02-16,10:47:00,203.84,203.89,203.72,203.72,5624.0
2018-02-16,10:48:00,203.78,203.91,203.78,203.91,500.0
2018-02-16,10:49:00,203.91,203.91,203.74,203.7795,2450.0
2018-02-16,10:50:00,203.805,203.805,203.7977,203.7977,730.0
2018-02-16,10:51:00,203.87,203.88,203.7832,203.8433,3600.0
2018-02-16,10:52:00,203.88,204.06,203.88,204.0,1400.0
2018-02-16,10:53:00,204.005,204.07,204.0,204.0,500.0
2018-02-16,10:54:00,204.1,204.3,204.08,204.3,600.0
2018-02-16,10:55:00,204.3,204.445,204.17,204.445,750.0
2018-02-16,10:56:00,204.34,204.4,204.23,204.23,3500.0
2018-02-16,10:57:00,204.3,204.31,204.26,204.26,400.0
2018-02-16,10:58:00,204.3,204.355,204.245,204.27,1901.0
2018-02-16,10:59:00,204.3288,204.355,204.1,204.1,1400.0
2018-02-16,11:00:00,204.25,204.25,204.1,204.16,1004.0
2018-02-16,11:01:00,204.185,204.33,204.185,204.316,2400.0
2018-02-16,11:02:00,204.4,204.4699,204.28,204.28,4640.0
2018-02-16,11:03:00,204.3531,204.3531,204.185,204.185,1300.0
2018-02-16,11:04:00,204.185,204.32,204.07,204.2,1938.0
2018-02-16,11:05:00,204.19,204.47,204.185,204.2201,6842.0
2018-02-16,11:06:00,204.08,204.1,204.08,204.08,400.0
2018-02-16,11:07:00,204.13,204.15,204.08,204.14,500.0
2018-02-16,11:08:00,204.35,204.35,204.35,204.35,100.0
2018-02-16,11:09:00,204.455,204.47,204.25,204.32,3073.0
2018-02-16,11:10:00,204.47,204.5,204.31,204.37,5950.0
2018-02-16,11:11:00,204.355,204.355,204.355,204.355,100.0
2018-02-16,11:12:00,204.42,204.46,204.355,204.42,2798.0
2018-02-16,11:13:00,204.515,204.585,204.39,204.585,700.0
2018-02-16,11:15:00,204.43,204.43,204.43,204.43,100.0
2018-02-16,11:16:00,204.4,204.47,204.38,204.46,1400.0
2018-02-16,11:17:00,204.49,204.565,204.37,204.49,1300.0
2018-02-16,11:18:00,204.51,204.54,204.37,204.54,1600.0
2018-02-16,11:19:00,204.38,204.38,204.37,204.37,700.0
2018-02-16,11:20:00,204.34,204.52,204.34,204.38,1200.0
2018-02-16,11:21:00,204.46,204.53,204.4,204.4,2200.0
2018-02-16,11:22:00,204.4,204.4,204.29,204.29,1300.0
2018-02-16,11:23:00,204.1,204.17,204.07,204.07,743.0
2018-02-16,11:24:00,204.0749,204.17,204.03,204.03,1287.0
2018-02-16,11:25:00,204.03,204.03,203.84,203.84,1200.0
2018-02-16,11:26:00,203.855,203.855,203.855,203.855,100.0
2018-02-16,11:27:00,203.94,203.96,203.91,203.95,600.0
