date,ToD,open,high,low,close,volume
2018-02-16,09:32:00,225.99,226.74,225.84,226.49,234477.0
2018-02-16,09:33:00,226.36,226.58,226.2,226.39,5200.0
2018-02-16,09:34:00,226.385,226.385,226.08,226.205,2045.0
2018-02-16,09:35:00,226.1376,226.36,226.07,226.35,4600.0
2018-02-16,09:36:00,226.34,226.82,226.19,226.81,9942.0
2018-02-16,09:37:00,226.9142,227.37,226.875,227.37,4955.0
2018-02-16,09:38:00,227.27,227.46,227.18,227.412,14257.0
2018-02-16,09:39:00,227.51,227.919,227.43,227.919,10808.0
2018-02-16,09:40:00,227.79,228.12,227.71,227.91,12936.0
2018-02-16,09:41:00,227.81,227.81,227.39,227.665,3786.0
2018-02-16,09:42:00,227.53,227.6,227.238,227.33,3810.0
2018-02-16,09:43:00,227.355,227.37,227.24,227.27,2990.0
2018-02-16,09:44:00,227.33,227.47,226.91,226.91,7957.0
2018-02-16,09:45:00,226.82,226.91,226.4,226.55,6972.0
2018-02-16,09:46:00,226.6499,227.0374,226.28,226.905,11296.0
2018-02-16,09:47:00,226.905,226.905,226.37,226.3901,4830.0
2018-02-16,09:48:00,226.4,226.705,226.3001,226.3501,3868.0
2018-02-16,09:49:00,226.49,226.7175,226.38,226.68,2700.0
2018-02-16,09:50:00,226.77,226.96,226.61,226.61,3472.0
2018-02-16,09:51:00,226.71,226.71,226.16,226.37,6490.0
2018-02-16,09:52:00,226.36,226.44,226.28,226.44,1900.0
2018-02-16,09:53:00,226.49,226.67,226.47,226.67,2000.0
2018-02-16,09:54:00,226.89,226.89,226.49,226.86,2117.0
2018-02-16,09:55:00,226.73,226.7502,226.46,226.58,2639.0
2018-02-16,09:56:00,226.56,226.71,226.39,226.45,4849.0
2018-02-16,09:57:00,226.41,226.507,226.39,226.42,9900.0
2018-02-16,09:58:00,226.41,226.4534,226.25,226.2506,5491.0
2018-02-16,09:59:00,226.25,226.2948,226.21,226.21,11925.0
2018-02-16,10:00:00,226.16,226.192,226.1,226.13,12343.0
2018-02-16,10:01:00,226.07,226.11,225.93,225.93,12826.0
2018-02-16,10:02:00,225.99,226.31,225.99,226.2999,8603.0
2018-02-16,10:03:00,226.215,226.215,226.0,226.0,5243.0
2018-02-16,10:04:00,226.1,226.13,226.0,226.05,7373.0
2018-02-16,10:05:00,226.05,226.11,226.0,226.06,11264.0
2018-02-16,10:06:00,226.06,226.1,226.01,226.1,13904.0
