date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,166.41,166.5,166.41,166.5,24882.0
2018-02-16,09:32:00,166.96,167.38,166.95,167.16,1100.0
2018-02-16,09:33:00,167.13,167.18,166.68,166.8,1700.0
2018-02-16,09:34:00,167.015,167.72,166.85,167.35,3200.0
2018-02-16,09:35:00,167.52,167.57,167.52,167.57,500.0
2018-02-16,09:36:00,167.64,167.71,167.34,167.34,600.0
2018-02-16,09:37:00,167.6399,167.6399,167.37,167.37,500.0
2018-02-16,09:38:00,167.19,167.325,167.05,167.325,600.0
2018-02-16,09:39:00,167.1475,167.46,167.1475,167.34,2666.0
2018-02-16,09:40:00,167.51,167.55,166.98,166.98,2300.0
2018-02-16,09:41:00,167.1708,167.1708,167.1708,167.1708,110.0
2018-02-16,09:42:00,166.85,166.85,166.6,166.6947,720.0
2018-02-16,09:43:00,166.695,167.0,166.68,167.0,1200.0
2018-02-16,09:44:00,166.875,166.875,166.47,166.79,2150.0
2018-02-16,09:45:00,166.79,166.83,166.54,166.738,2450.0
2018-02-16,09:46:00,166.535,167.1,166.5,167.1,2300.0
2018-02-16,09:47:00,167.2413,167.335,166.795,166.795,2975.0
2018-02-16,09:48:00,166.76,167.07,166.68,167.005,1500.0
2018-02-16,09:50:00,166.96,167.1371,166.92,166.92,1300.0
2018-02-16,09:51:00,166.9,167.0,166.68,166.82,4200.0
2018-02-16,09:52:00,167.03,167.41,167.0,167.2161,1333.0
2018-02-16,09:53:00,167.28,167.95,167.27,167.95,2728.0
2018-02-16,09:54:00,167.62,167.62,167.48,167.61,612.0
2018-02-16,09:55:00,167.4992,167.74,167.39,167.74,1377.0
2018-02-16,09:57:00,167.5429,167.73,167.43,167.43,2006.0
2018-02-16,09:58:00,167.5,167.5,167.2,167.26,2500.0
2018-02-16,09:59:00,167.16,167.25,167.0,167.0,1275.0
2018-02-16,10:00:00,166.955,167.28,166.955,167.28,1918.0
2018-02-16,10:01:00,167.075,167.3,167.075,167.1759,449.0
2018-02-16,10:02:00,167.27,167.53,167.15,167.53,2950.0
2018-02-16,10:03:00,167.7,167.82,167.695,167.7506,1410.0
2018-02-16,10:04:00,167.695,167.76,167.4846,167.4846,2250.0
2018-02-16,10:05:00,167.56,167.57,167.34,167.34,800.0
2018-02-16,10:06:00,167.31,167.31,167.3,167.3,200.0
2018-02-16,10:07:00,167.02,167.08,166.99,167.0,1900.0
2018-02-16,10:08:00,166.9914,167.18,166.8826,166.8826,1670.0
2018-02-16,10:09:00,167.044,167.4,167.005,167.4,1999.0
2018-02-16,10:10:00,167.54,167.6,167.45,167.45,1528.0
2018-02-16,10:11:00,167.6037,167.71,167.36,167.56,10712.0
2018-02-16,10:13:00,167.24,167.24,166.96,167.01,1607.0
2018-02-16,10:14:00,166.84,166.84,166.735,166.735,900.0
2018-02-16,10:15:00,166.78,167.0,166.78,167.0,500.0
2018-02-16,10:17:00,167.18,167.25,167.18,167.25,300.0
2018-02-16,10:18:00,167.4271,167.4969,167.37,167.4969,740.0
2018-02-16,10:19:00,167.57,167.74,167.39,167.63,776.0
2018-02-16,10:20:00,167.54,167.54,167.33,167.385,1900.0
2018-02-16,10:21:00,167.414,167.414,167.414,167.414,100.0
2018-02-16,10:22:00,167.42,167.52,167.42,167.52,400.0
