date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,129.94,130.33,129.9,130.19,165592.0
2018-02-16,09:32:00,130.03,130.37,130.03,130.15,7182.0
2018-02-16,09:33:00,130.16,130.16,129.91,130.12,5300.0
2018-02-16,09:34:00,130.17,130.21,130.05,130.0982,3339.0
2018-02-16,09:35:00,130.1,130.36,129.995,130.23,7518.0
2018-02-16,09:36:00,130.246,130.37,130.18,130.305,5100.0
2018-02-16,09:37:00,130.27,130.39,130.25,130.39,5767.0
2018-02-16,09:38:00,130.28,130.34,130.16,130.24,5658.0
2018-02-16,09:39:00,130.22,130.37,130.22,130.25,1180.0
2018-02-16,09:40:00,130.22,130.43,130.19,130.23,4200.0
2018-02-16,09:41:00,130.18,130.25,130.14,130.25,1235.0
2018-02-16,09:42:00,130.29,130.29,130.08,130.12,4744.0
2018-02-16,09:43:00,130.14,130.17,130.08,130.15,6402.0
2018-02-16,09:44:00,130.17,130.18,130.04,130.04,5279.0
2018-02-16,09:45:00,130.01,130.01,129.84,129.84,17830.0
2018-02-16,09:46:00,129.74,130.2,129.675,130.2,7114.0
2018-02-16,09:47:00,130.19,130.19,130.0425,130.045,4815.0
2018-02-16,09:48:00,130.045,130.045,129.93,129.93,1700.0
2018-02-16,09:49:00,129.89,130.02,129.82,129.955,11483.0
2018-02-16,09:50:00,129.9552,129.9552,129.75,129.75,5071.0
2018-02-16,09:51:00,129.73,129.78,129.58,129.78,9333.0
2018-02-16,09:52:00,129.7748,129.7748,129.7748,129.7748,100.0
2018-02-16,09:53:00,129.81,129.84,129.77,129.83,2700.0
2018-02-16,09:54:00,129.78,129.87,129.73,129.835,5422.0
2018-02-16,09:55:00,129.81,129.86,129.67,129.719,2012.0
2018-02-16,09:56:00,129.73,129.77,129.64,129.7,12439.0
2018-02-16,09:57:00,129.66,129.72,129.58,129.64,5894.0
2018-02-16,09:58:00,129.6044,129.615,129.49,129.53,4978.0
2018-02-16,09:59:00,129.525,129.525,129.38,129.39,7129.0
2018-02-16,10:00:00,129.39,129.435,129.33,129.39,5113.0
2018-02-16,10:01:00,129.43,129.64,129.43,129.54,8685.0
2018-02-16,10:02:00,129.5,129.59,129.47,129.52,6465.0
2018-02-16,10:03:00,129.539,129.56,129.46,129.53,6550.0
2018-02-16,10:04:00,129.55,129.61,129.52,129.53,6301.0
2018-02-16,10:05:00,129.5134,129.55,129.5,129.5,2667.0
2018-02-16,10:06:00,129.46,129.5,129.39,129.45,3215.0
2018-02-16,10:07:00,129.39,129.39,129.32,129.32,3000.0
2018-02-16,10:08:00,129.31,129.42,129.29,129.395,4692.0
2018-02-16,10:09:00,129.42,129.46,129.39,129.46,6594.0
2018-02-16,10:10:00,129.47,129.54,129.47,129.5,10379.0
2018-02-16,10:11:00,129.5,129.5,129.28,129.33,6505.0
2018-02-16,10:12:00,129.33,129.3599,129.22,129.28,4487.0
2018-02-16,10:13:00,129.28,129.385,129.264,129.385,3568.0
2018-02-16,10:14:00,129.365,129.425,129.28,129.28,3813.0
2018-02-16,10:15:00,129.29,129.36,129.29,129.29,2322.0
2018-02-16,10:16:00,129.29,129.45,129.28,129.43,4904.0
2018-02-16,10:17:00,129.43,129.58,129.4001,129.58,2426.0
2018-02-16,10:18:00,129.58,129.65,129.56,129.65,3600.0
2018-02-16,10:19:00,129.66,129.67,129.56,129.67,3800.0
2018-02-16,10:20:00,129.62,129.72,129.6,129.68,3200.0
2018-02-16,10:21:00,129.6,129.67,129.6,129.66,3402.0
2018-02-16,10:22:00,129.66,129.76,129.66,129.73,4409.0
2018-02-16,10:23:00,129.72,129.82,129.72,129.7792,1407.0
2018-02-16,10:24:00,129.81,129.81,129.71,129.73,3843.0
2018-02-16,10:25:00,129.71,129.82,129.69,129.77,5182.0
2018-02-16,10:26:00,129.74,129.7939,129.65,129.65,5946.0
2018-02-16,10:27:00,129.62,129.73,129.55,129.64,9529.0
2018-02-16,10:28:00,129.66,129.73,129.63,129.73,2508.0
2018-02-16,10:29:00,129.69,129.75,129.68,129.75,3674.0
2018-02-16,10:30:00,129.74,129.88,129.71,129.88,3884.0
2018-02-16,10:31:00,129.9,130.07,129.845,130.04,8217.0
2018-02-16,10:32:00,130.02,130.02,129.96,130.01,2600.0
2018-02-16,10:33:00,129.99,130.05,129.99,130.045,1810.0
2018-02-16,10:34:00,130.06,130.125,130.06,130.12,4248.0
2018-02-16,10:35:00,130.1,130.1,129.97,130.0,6069.0
2018-02-16,10:36:00,130.02,130.135,130.02,130.135,5891.0
2018-02-16,10:37:00,130.13,130.16,130.0901,130.15,13571.0
2018-02-16,10:38:00,130.16,130.19,130.12,130.12,12464.0
2018-02-16,10:39:00,130.125,130.22,130.125,130.21,9510.0
2018-02-16,10:40:00,130.2,130.305,130.2,130.215,26095.0
2018-02-16,10:41:00,130.22,130.26,130.2111,130.26,1994.0
2018-02-16,10:42:00,130.28,130.35,130.27,130.34,5212.0
