date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,121.63,121.63,121.57,121.57,200.0
2018-02-16,09:31:00,121.96,122.06,121.57,122.04,445097.0
2018-02-16,09:32:00,122.09,122.208,121.84,121.87,9981.0
2018-02-16,09:33:00,121.8852,122.05,121.77,121.9099,15963.0
2018-02-16,09:34:00,121.91,121.93,121.679,121.715,36139.0
2018-02-16,09:35:00,121.67,121.79,121.58,121.75,17548.0
2018-02-16,09:36:00,121.7375,121.91,121.71,121.83,12484.0
2018-02-16,09:37:00,121.87,122.09,121.8384,122.04,8780.0
2018-02-16,09:38:00,122.04,122.097,122.01,122.03,4660.0
2018-02-16,09:39:00,122.01,122.24,122.01,122.12,11477.0
2018-02-16,09:40:00,122.05,122.09,122.01,122.08,8100.0
2018-02-16,09:41:00,122.055,122.08,121.98,122.0372,13739.0
2018-02-16,09:42:00,122.0336,122.09,121.98,122.09,8421.0
2018-02-16,09:43:00,122.1,122.17,122.06,122.13,12788.0
2018-02-16,09:44:00,122.129,122.1565,122.01,122.01,10318.0
2018-02-16,09:45:00,122.05,122.17,122.0,122.1,20364.0
2018-02-16,09:46:00,122.12,122.22,122.04,122.22,14378.0
2018-02-16,09:47:00,122.22,122.22,122.06,122.1064,9106.0
2018-02-16,09:48:00,122.1,122.1205,122.05,122.1205,14303.0
2018-02-16,09:49:00,122.08,122.16,122.07,122.12,14666.0
2018-02-16,09:50:00,122.14,122.25,122.1399,122.185,9859.0
2018-02-16,09:51:00,122.2,122.25,122.129,122.25,10014.0
2018-02-16,09:52:00,122.27,122.27,122.18,122.25,6897.0
2018-02-16,09:53:00,122.25,122.25,122.14,122.24,10768.0
2018-02-16,09:54:00,122.22,122.28,122.1645,122.27,7260.0
2018-02-16,09:55:00,122.26,122.302,122.13,122.13,7318.0
2018-02-16,09:56:00,122.16,122.26,122.15,122.2,9599.0
2018-02-16,09:57:00,122.22,122.23,122.13,122.15,8781.0
2018-02-16,09:58:00,122.15,122.2709,122.14,122.24,28830.0
2018-02-16,09:59:00,122.2,122.25,122.16,122.198,21163.0
2018-02-16,10:00:00,122.19,122.22,122.16,122.2,13481.0
2018-02-16,10:01:00,122.23,122.29,122.21,122.25,21106.0
2018-02-16,10:02:00,122.21,122.3,122.19,122.27,11437.0
2018-02-16,10:03:00,122.26,122.26,122.22,122.25,4780.0
2018-02-16,10:04:00,122.28,122.28,122.22,122.25,9245.0
2018-02-16,10:05:00,122.2,122.26,122.15,122.15,3188.0
2018-02-16,10:06:00,122.168,122.168,122.07,122.11,6550.0
2018-02-16,10:07:00,122.08,122.0999,121.9906,122.01,22252.0
2018-02-16,10:08:00,122.04,122.04,121.88,121.91,12740.0
2018-02-16,10:09:00,121.92,122.06,121.92,122.06,12726.0
2018-02-16,10:10:00,122.09,122.1,122.0,122.05,27064.0
2018-02-16,10:11:00,122.07,122.12,122.04,122.04,6291.0
2018-02-16,10:12:00,122.05,122.08,121.93,121.94,7057.0
2018-02-16,10:13:00,121.95,122.03,121.92,122.03,10325.0
2018-02-16,10:14:00,122.03,122.15,122.02,122.09,15101.0
2018-02-16,10:15:00,122.09,122.15,122.05,122.0532,5308.0
2018-02-16,10:16:00,122.08,122.27,122.07,122.22,10956.0
2018-02-16,10:17:00,122.21,122.36,122.21,122.32,14198.0
2018-02-16,10:18:00,122.31,122.39,122.27,122.29,7401.0
2018-02-16,10:19:00,122.3279,122.35,122.28,122.28,5194.0
2018-02-16,10:20:00,122.26,122.32,122.2,122.24,3376.0
2018-02-16,10:21:00,122.23,122.3,122.2295,122.23,3531.0
2018-02-16,10:22:00,122.27,122.34,122.25,122.3,4448.0
2018-02-16,10:23:00,122.3,122.37,122.28,122.37,6454.0
2018-02-16,10:24:00,122.37,122.38,122.28,122.29,5957.0
2018-02-16,10:25:00,122.28,122.39,122.27,122.39,9176.0
2018-02-16,10:26:00,122.4,122.57,122.4,122.42,23247.0
2018-02-16,10:27:00,122.42,122.51,122.35,122.51,9528.0
2018-02-16,10:28:00,122.5,122.58,122.47,122.51,8106.0
2018-02-16,10:29:00,122.49,122.63,122.49,122.59,9070.0
2018-02-16,10:30:00,122.58,122.67,122.56,122.63,10320.0
2018-02-16,10:31:00,122.61,122.67,122.57,122.64,16635.0
2018-02-16,10:32:00,122.62,122.66,122.57,122.6,10496.0
2018-02-16,10:33:00,122.64,122.69,122.58,122.5865,15867.0
2018-02-16,10:34:00,122.58,122.61,122.51,122.54,22869.0
2018-02-16,10:35:00,122.53,122.59,122.51,122.55,6792.0
2018-02-16,10:36:00,122.58,122.68,122.56,122.6,14201.0
2018-02-16,10:37:00,122.62,122.67,122.58,122.64,5991.0
2018-02-16,10:38:00,122.61,122.63,122.5,122.5,18597.0
2018-02-16,10:39:00,122.5299,122.55,122.4,122.4,15724.0
2018-02-16,10:40:00,122.38,122.44,122.365,122.4288,10860.0
