date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,14.04,14.08,14.04,14.05,153412.0
2018-02-16,09:32:00,14.055,14.08,14.05,14.07,22501.0
2018-02-16,09:33:00,14.07,14.07,14.04,14.055,136573.0
2018-02-16,09:34:00,14.055,14.06,14.02,14.04,158716.0
2018-02-16,09:35:00,14.04,14.095,14.03,14.095,118157.0
2018-02-16,09:36:00,14.09,14.105,14.05,14.07,110640.0
2018-02-16,09:37:00,14.07,14.07,14.045,14.06,95300.0
2018-02-16,09:38:00,14.055,14.0763,14.05,14.0763,130103.0
2018-02-16,09:39:00,14.075,14.09,14.07,14.09,17165.0
2018-02-16,09:40:00,14.085,14.105,14.085,14.085,49196.0
2018-02-16,09:41:00,14.085,14.09,14.065,14.07,151692.0
2018-02-16,09:42:00,14.07,14.07,14.03,14.04,357234.0
2018-02-16,09:43:00,14.05,14.06,14.045,14.05,32000.0
2018-02-16,09:44:00,14.05,14.055,14.03,14.03,69769.0
2018-02-16,09:45:00,14.035,14.04,14.015,14.02,139721.0
2018-02-16,09:46:00,14.02,14.045,14.01,14.045,115790.0
2018-02-16,09:47:00,14.05,14.055,14.02,14.03,139303.0
2018-02-16,09:48:00,14.02,14.065,14.02,14.06,154996.0
2018-02-16,09:49:00,14.05,14.055,14.04,14.05,166608.0
2018-02-16,09:50:00,14.0459,14.06,14.04,14.04,243904.0
2018-02-16,09:51:00,14.045,14.05,14.035,14.05,153431.0
2018-02-16,09:52:00,14.055,14.055,14.0404,14.05,43852.0
2018-02-16,09:53:00,14.05,14.065,14.04,14.04,92788.0
2018-02-16,09:54:00,14.04,14.05,14.0301,14.045,39099.0
2018-02-16,09:55:00,14.05,14.05,14.01,14.025,77203.0
2018-02-16,09:56:00,14.03,14.04,14.02,14.02,45078.0
2018-02-16,09:57:00,14.02,14.03,14.0,14.02,40892.0
2018-02-16,09:58:00,14.03,14.04,14.025,14.0301,41060.0
2018-02-16,09:59:00,14.04,14.04,14.015,14.015,40316.0
2018-02-16,10:00:00,14.02,14.02,14.0001,14.01,159271.0
2018-02-16,10:01:00,14.01,14.01,13.98,13.995,165742.0
2018-02-16,10:02:00,14.0,14.0,13.965,13.97,66802.0
2018-02-16,10:03:00,13.98,13.98,13.955,13.96,98163.0
2018-02-16,10:04:00,13.97,13.99,13.96,13.98,84837.0
2018-02-16,10:05:00,13.98,13.99,13.98,13.99,34960.0
2018-02-16,10:06:00,13.99,13.99,13.97,13.975,48535.0
2018-02-16,10:07:00,13.98,13.98,13.965,13.965,31806.0
2018-02-16,10:08:00,13.965,13.97,13.95,13.955,47822.0
2018-02-16,10:09:00,13.9566,13.97,13.95,13.97,20756.0
2018-02-16,10:10:00,13.97,13.98,13.96,13.98,67137.0
2018-02-16,10:11:00,13.975,14.0,13.975,13.99,34536.0
2018-02-16,10:12:00,13.9962,13.9962,13.98,13.98,17223.0
2018-02-16,10:13:00,13.98,13.985,13.96,13.98,29580.0
2018-02-16,10:14:00,13.98,13.985,13.965,13.97,12758.0
2018-02-16,10:15:00,13.98,13.988,13.97,13.988,92552.0
2018-02-16,10:16:00,13.985,14.0,13.985,13.995,48652.0
2018-02-16,10:17:00,13.995,14.01,13.99,13.995,110586.0
2018-02-16,10:18:00,13.995,14.02,13.9939,14.019,92351.0
2018-02-16,10:19:00,14.015,14.02,14.01,14.01,28563.0
2018-02-16,10:20:00,14.01,14.015,14.0,14.0,15797.0
2018-02-16,10:21:00,14.0,14.0,13.99,13.995,39114.0
2018-02-16,10:22:00,13.995,14.02,13.9939,14.015,94441.0
2018-02-16,10:23:00,14.0188,14.03,14.01,14.025,92872.0
2018-02-16,10:24:00,14.025,14.025,14.005,14.02,40727.0
2018-02-16,10:25:00,14.02,14.02,14.005,14.005,9750.0
