date,ToD,open,high,low,close,volume
2018-02-16,09:33:00,18.11,18.23,18.11,18.205,66946.0
2018-02-16,09:34:00,18.19,18.2199,18.1,18.13,56141.0
2018-02-16,09:35:00,18.1084,18.13,18.1,18.12,55289.0
2018-02-16,09:36:00,18.1001,18.13,18.1,18.1,100910.0
2018-02-16,09:37:00,18.105,18.13,18.1,18.13,17578.0
2018-02-16,09:38:00,18.125,18.16,18.12,18.15,4930.0
2018-02-16,09:39:00,18.1599,18.235,18.1599,18.19,22265.0
2018-02-16,09:40:00,18.19,18.25,18.19,18.24,35993.0
2018-02-16,09:41:00,18.2345,18.25,18.22,18.2264,24907.0
2018-02-16,09:42:00,18.23,18.25,18.22,18.22,38680.0
2018-02-16,09:43:00,18.22,18.24,18.21,18.24,13936.0
2018-02-16,09:44:00,18.24,18.25,18.2,18.2,17759.0
2018-02-16,09:45:00,18.19,18.2,18.14,18.15,25037.0
2018-02-16,09:46:00,18.16,18.19,18.11,18.1886,40239.0
2018-02-16,09:47:00,18.1915,18.1915,18.16,18.165,16475.0
2018-02-16,09:48:00,18.165,18.23,18.155,18.23,16619.0
2018-02-16,09:49:00,18.22,18.26,18.22,18.26,31113.0
2018-02-16,09:50:00,18.26,18.27,18.25,18.26,66995.0
2018-02-16,09:51:00,18.25,18.26,18.22,18.26,35684.0
2018-02-16,09:52:00,18.27,18.27,18.25,18.26,34597.0
2018-02-16,09:53:00,18.265,18.27,18.24,18.25,18520.0
2018-02-16,09:54:00,18.25,18.2582,18.23,18.24,24925.0
2018-02-16,09:55:00,18.25,18.27,18.245,18.27,34473.0
2018-02-16,09:56:00,18.265,18.28,18.25,18.2506,33865.0
2018-02-16,09:57:00,18.25,18.28,18.25,18.28,27098.0
2018-02-16,09:58:00,18.28,18.29,18.26,18.27,25981.0
2018-02-16,09:59:00,18.27,18.27,18.2,18.2075,46174.0
2018-02-16,10:00:00,18.201,18.22,18.17,18.1848,31847.0
2018-02-16,10:01:00,18.185,18.215,18.185,18.19,14100.0
2018-02-16,10:02:00,18.19,18.205,18.185,18.205,17989.0
2018-02-16,10:03:00,18.2007,18.22,18.2007,18.22,10377.0
2018-02-16,10:04:00,18.215,18.23,18.21,18.22,24066.0
2018-02-16,10:05:00,18.224,18.24,18.22,18.23,11323.0
2018-02-16,10:06:00,18.24,18.25,18.22,18.23,23046.0
2018-02-16,10:07:00,18.23,18.2301,18.2,18.21,28684.0
2018-02-16,10:08:00,18.2006,18.23,18.2006,18.22,18666.0
2018-02-16,10:09:00,18.23,18.26,18.2201,18.255,20653.0
2018-02-16,10:10:00,18.255,18.3,18.25,18.29,57334.0
2018-02-16,10:11:00,18.295,18.3,18.275,18.285,42294.0
2018-02-16,10:12:00,18.28,18.3,18.275,18.275,29494.0
2018-02-16,10:13:00,18.275,18.28,18.26,18.28,27236.0
2018-02-16,10:14:00,18.275,18.285,18.27,18.28,15124.0
2018-02-16,10:15:00,18.28,18.3,18.28,18.29,12800.0
2018-02-16,10:16:00,18.3,18.3,18.28,18.29,84931.0
2018-02-16,10:17:00,18.29,18.3,18.285,18.3,14539.0
2018-02-16,10:18:00,18.29,18.3,18.28,18.29,21535.0
2018-02-16,10:19:00,18.29,18.3,18.281,18.3,10216.0
2018-02-16,10:20:00,18.3,18.3,18.285,18.285,10558.0
2018-02-16,10:21:00,18.285,18.295,18.28,18.285,26911.0
2018-02-16,10:22:00,18.29,18.3,18.285,18.29,19483.0
2018-02-16,10:23:00,18.285,18.285,18.2445,18.25,23604.0
2018-02-16,10:24:00,18.25,18.2558,18.225,18.235,29228.0
2018-02-16,10:25:00,18.24,18.26,18.24,18.255,19366.0
2018-02-16,10:26:00,18.26,18.27,18.25,18.255,48086.0
2018-02-16,10:27:00,18.255,18.255,18.24,18.24,26712.0
2018-02-16,10:28:00,18.24,18.25,18.24,18.24,9125.0
2018-02-16,10:29:00,18.25,18.25,18.23,18.235,32650.0
2018-02-16,10:30:00,18.235,18.26,18.23,18.245,30950.0
2018-02-16,10:31:00,18.24,18.24,18.2,18.23,21585.0
2018-02-16,10:32:00,18.22,18.23,18.2,18.22,35699.0
2018-02-16,10:33:00,18.21,18.215,18.15,18.17,39879.0
2018-02-16,10:34:00,18.17,18.17,18.16,18.165,14937.0
2018-02-16,10:35:00,18.165,18.17,18.11,18.12,32878.0
2018-02-16,10:36:00,18.13,18.15,18.125,18.145,7637.0
2018-02-16,10:37:00,18.145,18.155,18.1399,18.15,25336.0
2018-02-16,10:38:00,18.14,18.15,18.13,18.13,6419.0
2018-02-16,10:39:00,18.125,18.13,18.11,18.12,29777.0
2018-02-16,10:40:00,18.115,18.12,18.1,18.1048,36395.0
2018-02-16,10:41:00,18.1,18.11,18.1,18.1,21057.0
2018-02-16,10:42:00,18.1,18.11,18.1,18.105,28003.0
2018-02-16,10:43:00,18.105,18.149,18.105,18.125,28071.0
2018-02-16,10:44:00,18.1201,18.1201,18.1,18.1,15993.0
2018-02-16,10:45:00,18.1,18.12,18.1,18.11,20756.0
2018-02-16,10:46:00,18.1,18.1301,18.1,18.125,33119.0
2018-02-16,10:47:00,18.125,18.145,18.12,18.14,4100.0
2018-02-16,10:48:00,18.145,18.17,18.14,18.17,11321.0
2018-02-16,10:49:00,18.16,18.16,18.14,18.14,6686.0
