date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,122.84,122.84,122.84,122.84,1600.0
2018-02-16,09:31:00,122.44,122.73,122.1,122.73,26789.0
2018-02-16,09:32:00,122.5,122.896,122.48,122.49,2850.0
2018-02-16,09:33:00,122.745,122.75,122.52,122.56,400.0
2018-02-16,09:34:00,122.86,123.29,122.715,123.2247,2900.0
2018-02-16,09:35:00,123.15,123.32,123.0836,123.32,500.0
2018-02-16,09:36:00,123.3107,123.41,123.3107,123.405,4300.0
2018-02-16,09:37:00,123.25,123.53,123.19,123.27,1950.0
2018-02-16,09:38:00,123.24,123.81,123.24,123.81,2900.0
2018-02-16,09:39:00,123.86,123.93,123.86,123.93,1150.0
2018-02-16,09:40:00,123.9152,123.98,123.31,123.31,10505.0
2018-02-16,09:41:00,123.495,123.495,123.44,123.495,300.0
2018-02-16,09:42:00,123.4323,123.66,123.35,123.53,902.0
2018-02-16,09:43:00,123.59,123.59,123.59,123.59,100.0
2018-02-16,09:44:00,123.53,123.7,123.445,123.48,636.0
2018-02-16,09:45:00,123.58,123.58,123.18,123.36,2475.0
2018-02-16,09:46:00,123.265,123.455,123.2117,123.2117,500.0
2018-02-16,09:47:00,123.47,123.79,123.46,123.79,1669.0
2018-02-16,09:48:00,123.87,123.87,123.531,123.7,800.0
2018-02-16,09:49:00,123.89,123.94,123.81,123.885,1000.0
2018-02-16,09:50:00,123.97,124.16,123.76,123.76,6020.0
2018-02-16,09:51:00,123.93,124.05,123.9,124.01,2400.0
2018-02-16,09:52:00,124.02,124.02,124.02,124.02,100.0
2018-02-16,09:53:00,124.0,124.16,123.77,124.07,6000.0
2018-02-16,09:54:00,123.9347,123.9347,123.9347,123.9347,100.0
2018-02-16,09:55:00,124.06,124.06,123.955,123.955,300.0
2018-02-16,09:56:00,123.955,123.955,123.955,123.955,100.0
2018-02-16,09:57:00,124.07,124.1,123.9,123.99,3550.0
2018-02-16,09:58:00,123.92,124.07,123.92,124.07,1500.0
2018-02-16,09:59:00,123.97,124.0346,123.89,123.89,1402.0
2018-02-16,10:00:00,123.87,123.9,123.78,123.8,800.0
2018-02-16,10:01:00,123.784,123.96,123.67,123.83,1719.0
2018-02-16,10:02:00,123.64,123.72,123.45,123.57,3220.0
2018-02-16,10:03:00,123.58,123.79,123.58,123.61,2512.0
2018-02-16,10:04:00,123.68,123.71,123.51,123.57,3231.0
2018-02-16,10:05:00,123.57,123.65,123.52,123.65,700.0
2018-02-16,10:06:00,123.62,123.65,123.53,123.65,613.0
2018-02-16,10:07:00,123.59,123.71,123.56,123.71,600.0
2018-02-16,10:08:00,123.7,123.7,123.56,123.56,1300.0
2018-02-16,10:09:00,123.64,123.89,123.64,123.89,1292.0
2018-02-16,10:10:00,124.07,124.095,123.99,124.095,1575.0
2018-02-16,10:11:00,124.1,124.11,123.9,123.9,1744.0
2018-02-16,10:12:00,123.98,124.03,123.89,123.99,600.0
2018-02-16,10:13:00,124.029,124.029,123.83,123.83,910.0
