date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,160.85,160.85,160.85,160.85,68011.0
2018-02-16,09:31:00,160.8994,161.24,160.8994,161.24,2750.0
2018-02-16,09:33:00,161.42,161.49,160.9,161.1,1500.0
2018-02-16,09:34:00,161.11,161.47,160.61,160.61,3193.0
2018-02-16,09:35:00,160.826,161.0425,160.826,161.0425,2500.0
2018-02-16,09:36:00,161.07,161.13,161.07,161.13,400.0
2018-02-16,09:37:00,161.13,161.14,160.8,160.8,1051.0
2018-02-16,09:38:00,161.11,161.11,160.58,160.7106,2150.0
2018-02-16,09:39:00,160.86,160.93,160.72,160.72,1000.0
2018-02-16,09:40:00,160.82,160.82,160.58,160.79,1000.0
2018-02-16,09:41:00,160.72,160.73,160.385,160.385,3171.0
2018-02-16,09:42:00,160.38,160.44,160.002,160.002,1700.0
2018-02-16,09:43:00,160.29,160.29,160.02,160.18,400.0
2018-02-16,09:44:00,160.1119,160.1119,160.1119,160.1119,150.0
2018-02-16,09:45:00,160.03,160.3,159.85,160.17,2400.0
2018-02-16,09:46:00,160.4222,160.4222,160.13,160.41,701.0
2018-02-16,09:47:00,160.6,160.6,160.6,160.6,400.0
2018-02-16,09:48:00,160.8,160.8,160.78,160.78,300.0
2018-02-16,09:49:00,160.94,161.05,160.88,161.05,1000.0
2018-02-16,09:50:00,161.2,161.21,160.89,160.94,2768.0
2018-02-16,09:51:00,161.05,161.05,160.88,160.94,1400.0
2018-02-16,09:52:00,161.08,161.08,161.025,161.03,900.0
2018-02-16,09:53:00,161.0,161.07,160.97,161.02,1900.0
2018-02-16,09:54:00,161.07,161.07,160.6,161.02,5900.0
2018-02-16,09:55:00,160.89,160.9,160.71,160.83,3100.0
2018-02-16,09:56:00,160.8302,160.8302,160.61,160.61,900.0
2018-02-16,09:57:00,160.54,160.81,160.51,160.66,7898.0
2018-02-16,09:58:00,160.58,160.58,160.52,160.52,400.0
2018-02-16,09:59:00,160.615,160.615,160.33,160.33,1090.0
2018-02-16,10:01:00,160.02,160.04,159.905,159.905,1100.0
2018-02-16,10:02:00,159.96,160.07,159.92,159.92,3100.0
2018-02-16,10:04:00,159.86,159.965,159.82,159.96,600.0
2018-02-16,10:05:00,160.09,160.185,160.09,160.185,500.0
2018-02-16,10:06:00,160.2,160.2,160.054,160.12,2300.0
2018-02-16,10:07:00,160.15,160.15,160.15,160.15,200.0
2018-02-16,10:08:00,160.2,160.34,160.2,160.31,1300.0
2018-02-16,10:09:00,160.21,160.37,160.21,160.37,600.0
2018-02-16,10:10:00,160.53,160.81,160.53,160.67,700.0
