date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,18.67,18.72,18.65,18.72,67358.0
2018-02-16,09:31:00,18.71,18.73,18.61,18.62,69948.0
2018-02-16,09:32:00,18.62,18.69,18.6101,18.6783,29853.0
2018-02-16,09:33:00,18.68,18.69,18.64,18.67,36832.0
2018-02-16,09:34:00,18.66,18.73,18.66,18.7166,39700.0
2018-02-16,09:35:00,18.72,18.8299,18.71,18.82,34034.0
2018-02-16,09:36:00,18.8299,18.8299,18.648,18.7,40492.0
2018-02-16,09:37:00,18.69,18.695,18.64,18.65,37013.0
2018-02-16,09:38:00,18.645,18.74,18.645,18.725,21828.0
2018-02-16,09:39:00,18.725,18.75,18.66,18.685,24302.0
2018-02-16,09:40:00,18.69,18.71,18.67,18.7,25324.0
2018-02-16,09:41:00,18.7,18.7,18.65,18.66,23216.0
2018-02-16,09:42:00,18.656,18.665,18.61,18.64,38083.0
2018-02-16,09:43:00,18.64,18.66,18.63,18.65,24429.0
2018-02-16,09:44:00,18.66,18.7,18.66,18.66,43198.0
2018-02-16,09:45:00,18.6614,18.6614,18.62,18.65,38051.0
2018-02-16,09:46:00,18.63,18.665,18.6,18.6599,26900.0
2018-02-16,09:47:00,18.66,18.7,18.65,18.6566,25885.0
2018-02-16,09:48:00,18.65,18.68,18.63,18.675,8900.0
2018-02-16,09:49:00,18.6706,18.72,18.67,18.7163,24447.0
2018-02-16,09:50:00,18.71,18.73,18.7099,18.73,14267.0
2018-02-16,09:51:00,18.72,18.7401,18.695,18.7401,22944.0
2018-02-16,09:52:00,18.745,18.77,18.735,18.7595,28411.0
2018-02-16,09:53:00,18.76,18.78,18.74,18.77,18886.0
2018-02-16,09:54:00,18.76,18.7763,18.725,18.7666,22204.0
2018-02-16,09:55:00,18.7666,18.7666,18.73,18.73,8157.0
2018-02-16,09:56:00,18.7201,18.74,18.715,18.725,16434.0
2018-02-16,09:57:00,18.72,18.74,18.72,18.73,17973.0
2018-02-16,09:58:00,18.73,18.75,18.72,18.745,23366.0
2018-02-16,09:59:00,18.74,18.75,18.73,18.74,23557.0
2018-02-16,10:00:00,18.74,18.76,18.73,18.76,26801.0
2018-02-16,10:01:00,18.7526,18.77,18.74,18.7601,219038.0
2018-02-16,10:02:00,18.7699,18.8,18.75,18.7679,34720.0
2018-02-16,10:03:00,18.77,18.8,18.75,18.78,28594.0
2018-02-16,10:04:00,18.7801,18.79,18.7546,18.77,12841.0
2018-02-16,10:05:00,18.7638,18.775,18.75,18.77,18091.0
2018-02-16,10:06:00,18.76,18.76,18.74,18.755,35434.0
2018-02-16,10:07:00,18.75,18.755,18.74,18.74,24769.0
2018-02-16,10:08:00,18.74,18.765,18.74,18.75,15690.0
2018-02-16,10:09:00,18.75,18.77,18.74,18.77,25916.0
2018-02-16,10:10:00,18.77,18.7901,18.77,18.78,15452.0
2018-02-16,10:11:00,18.785,18.81,18.78,18.8,30621.0
2018-02-16,10:12:00,18.8,18.89,18.8,18.8821,144268.0
2018-02-16,10:13:00,18.885,18.89,18.82,18.835,42026.0
2018-02-16,10:14:00,18.8399,18.8401,18.8204,18.84,22365.0
2018-02-16,10:15:00,18.84,18.89,18.84,18.855,32096.0
2018-02-16,10:16:00,18.8534,18.8999,18.8534,18.8993,23392.0
2018-02-16,10:17:00,18.89,18.95,18.8836,18.94,29177.0
