date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,49.69,49.8,49.69,49.8,3200.0
2018-02-16,09:31:00,49.79,49.955,49.75,49.955,924828.0
2018-02-16,09:32:00,49.97,49.98,49.83,49.9001,36860.0
2018-02-16,09:33:00,49.89,49.96,49.87,49.91,55190.0
2018-02-16,09:34:00,49.91,49.95,49.8949,49.9,47506.0
2018-02-16,09:35:00,49.9,49.91,49.865,49.88,33310.0
2018-02-16,09:36:00,49.9,49.9,49.8148,49.885,37652.0
2018-02-16,09:37:00,49.8605,49.9,49.82,49.85,19063.0
2018-02-16,09:38:00,49.85,49.8601,49.82,49.843,16748.0
2018-02-16,09:39:00,49.85,49.905,49.85,49.88,41572.0
2018-02-16,09:40:00,49.88,49.92,49.8733,49.915,40528.0
2018-02-16,09:41:00,49.91,49.92,49.89,49.91,17917.0
2018-02-16,09:42:00,49.91,49.9259,49.89,49.9,14176.0
2018-02-16,09:43:00,49.9,49.935,49.9,49.935,9913.0
2018-02-16,09:44:00,49.935,49.98,49.935,49.96,14812.0
2018-02-16,09:45:00,49.95,49.96,49.9044,49.92,47934.0
2018-02-16,09:46:00,49.915,49.96,49.86,49.945,59923.0
2018-02-16,09:47:00,49.95,49.96,49.91,49.95,44072.0
2018-02-16,09:48:00,49.94,49.95,49.92,49.925,20820.0
2018-02-16,09:49:00,49.92,49.93,49.895,49.92,19447.0
2018-02-16,09:50:00,49.915,49.92,49.89,49.89,25203.0
2018-02-16,09:51:00,49.895,49.91,49.875,49.9,15808.0
2018-02-16,09:52:00,49.9,49.9,49.88,49.88,12826.0
2018-02-16,09:53:00,49.89,49.91,49.875,49.905,10404.0
2018-02-16,09:54:00,49.91,49.92,49.88,49.89,23297.0
2018-02-16,09:55:00,49.885,49.89,49.83,49.8401,17531.0
2018-02-16,09:56:00,49.8419,49.87,49.831,49.835,18220.0
2018-02-16,09:57:00,49.84,49.855,49.8,49.855,16250.0
2018-02-16,09:58:00,49.85,49.85,49.81,49.815,8455.0
2018-02-16,09:59:00,49.815,49.8199,49.77,49.77,35451.0
2018-02-16,10:00:00,49.7689,49.8,49.742,49.795,15880.0
2018-02-16,10:01:00,49.79,49.7938,49.75,49.755,22506.0
2018-02-16,10:02:00,49.76,49.81,49.75,49.81,22745.0
2018-02-16,10:03:00,49.815,49.85,49.81,49.83,10051.0
2018-02-16,10:04:00,49.836,49.85,49.836,49.85,14979.0
2018-02-16,10:05:00,49.845,49.86,49.83,49.83,28123.0
2018-02-16,10:06:00,49.83,49.83,49.795,49.83,9693.0
2018-02-16,10:07:00,49.82,49.825,49.8,49.82,15649.0
2018-02-16,10:08:00,49.81,49.8819,49.8,49.865,18161.0
2018-02-16,10:09:00,49.8638,49.87,49.835,49.85,38152.0
2018-02-16,10:10:00,49.85,49.894,49.83,49.891,23194.0
2018-02-16,10:11:00,49.89,49.91,49.88,49.9,12041.0
2018-02-16,10:12:00,49.905,49.91,49.89,49.89,17940.0
2018-02-16,10:13:00,49.89,49.925,49.85,49.91,23294.0
2018-02-16,10:14:00,49.9,49.92,49.89,49.895,32856.0
2018-02-16,10:15:00,49.9,49.9,49.89,49.9,26362.0
2018-02-16,10:16:00,49.9,49.93,49.9,49.92,35616.0
2018-02-16,10:17:00,49.92,49.935,49.915,49.921,34661.0
2018-02-16,10:18:00,49.9253,49.93,49.92,49.93,15908.0
2018-02-16,10:19:00,49.925,49.94,49.92,49.9399,26767.0
2018-02-16,10:20:00,49.94,49.94,49.91,49.92,18732.0
2018-02-16,10:21:00,49.93,49.94,49.93,49.94,11065.0
2018-02-16,10:22:00,49.94,49.95,49.9264,49.9466,46592.0
2018-02-16,10:23:00,49.945,49.97,49.94,49.965,51165.0
2018-02-16,10:24:00,49.96,49.97,49.96,49.97,25136.0
2018-02-16,10:25:00,49.9681,49.98,49.96,49.966,19579.0
2018-02-16,10:26:00,49.97,49.995,49.96,49.985,23651.0
2018-02-16,10:27:00,49.99,50.0,49.97,49.995,43893.0
2018-02-16,10:28:00,50.0,50.035,49.995,50.03,96542.0
2018-02-16,10:29:00,50.03,50.03,49.985,50.0,28510.0
2018-02-16,10:30:00,49.99,50.0,49.975,49.9941,23604.0
2018-02-16,10:31:00,49.99,50.02,49.975,50.0186,19970.0
2018-02-16,10:32:00,50.0177,50.04,50.01,50.036,14388.0
2018-02-16,10:33:00,50.035,50.06,50.03,50.045,29670.0
2018-02-16,10:34:00,50.05,50.07,50.045,50.07,12948.0
2018-02-16,10:35:00,50.08,50.1,50.075,50.08,15887.0
2018-02-16,10:36:00,50.09,50.18,50.09,50.175,32780.0
2018-02-16,10:37:00,50.175,50.2,50.15,50.2,48264.0
2018-02-16,10:38:00,50.2,50.2063,50.16,50.17,42148.0
2018-02-16,10:39:00,50.17,50.18,50.17,50.1718,14445.0
2018-02-16,10:40:00,50.1767,50.18,50.17,50.175,5924.0
2018-02-16,10:41:00,50.18,50.25,50.18,50.23,151201.0
2018-02-16,10:42:00,50.23,50.24,50.225,50.24,42300.0
2018-02-16,10:43:00,50.24,50.25,50.2,50.22,73359.0
2018-02-16,10:44:00,50.225,50.23,50.195,50.195,19593.0
2018-02-16,10:45:00,50.2,50.205,50.155,50.16,27701.0
2018-02-16,10:46:00,50.16,50.17,50.16,50.1656,6681.0
2018-02-16,10:47:00,50.16,50.21,50.16,50.1942,33537.0
2018-02-16,10:48:00,50.2,50.25,50.2,50.25,27841.0
2018-02-16,10:49:00,50.2437,50.25,50.18,50.184,23756.0
2018-02-16,10:50:00,50.18,50.2,50.18,50.2,21115.0
2018-02-16,10:51:00,50.2,50.21,50.1761,50.21,24777.0
2018-02-16,10:52:00,50.2,50.215,50.175,50.21,20643.0
2018-02-16,10:53:00,50.21,50.23,50.21,50.23,5894.0
2018-02-16,10:54:00,50.23,50.23,50.15,50.15,43209.0
2018-02-16,10:55:00,50.1558,50.2,50.15,50.185,12151.0
2018-02-16,10:56:00,50.182,50.19,50.1599,50.17,8652.0
2018-02-16,10:57:00,50.17,50.19,50.17,50.19,2925.0
2018-02-16,10:58:00,50.189,50.215,50.189,50.2,14231.0
2018-02-16,10:59:00,50.204,50.2094,50.1832,50.2,12036.0
2018-02-16,11:00:00,50.205,50.205,50.135,50.135,44869.0
2018-02-16,11:01:00,50.14,50.21,50.135,50.19,34412.0
2018-02-16,11:02:00,50.185,50.21,50.181,50.21,19369.0
2018-02-16,11:03:00,50.21,50.2199,50.195,50.215,12600.0
2018-02-16,11:04:00,50.22,50.225,50.18,50.19,19677.0
2018-02-16,11:05:00,50.19,50.25,50.185,50.24,44844.0
2018-02-16,11:06:00,50.25,50.28,50.25,50.28,17783.0
2018-02-16,11:07:00,50.28,50.29,50.27,50.275,20140.0
2018-02-16,11:08:00,50.275,50.31,50.2739,50.3,13480.0
2018-02-16,11:09:00,50.2954,50.33,50.2936,50.31,21313.0
2018-02-16,11:10:00,50.32,50.3301,50.31,50.33,29322.0
2018-02-16,11:11:00,50.33,50.35,50.32,50.345,17168.0
2018-02-16,11:12:00,50.34,50.38,50.34,50.38,24777.0
2018-02-16,11:13:00,50.3851,50.3851,50.305,50.32,46724.0
2018-02-16,11:14:00,50.32,50.3358,50.315,50.33,19005.0
2018-02-16,11:15:00,50.33,50.335,50.295,50.32,29677.0
2018-02-16,11:16:00,50.32,50.325,50.3,50.301,5559.0
2018-02-16,11:17:00,50.3,50.3362,50.3,50.3362,6750.0
2018-02-16,11:18:00,50.33,50.33,50.31,50.32,8598.0
2018-02-16,11:19:00,50.32,50.345,50.3,50.3,13243.0
2018-02-16,11:20:00,50.29,50.31,50.28,50.3045,13894.0
2018-02-16,11:21:00,50.3,50.31,50.26,50.265,24544.0
2018-02-16,11:22:00,50.26,50.301,50.26,50.3,12400.0
2018-02-16,11:23:00,50.3,50.315,50.28,50.2838,14404.0
2018-02-16,11:24:00,50.2801,50.3,50.28,50.28,6796.0
2018-02-16,11:25:00,50.28,50.285,50.26,50.271,16604.0
2018-02-16,11:26:00,50.28,50.3,50.27,50.3,6185.0
2018-02-16,11:27:00,50.2999,50.2999,50.27,50.285,8400.0
2018-02-16,11:28:00,50.28,50.285,50.255,50.26,31576.0
2018-02-16,11:29:00,50.2601,50.2843,50.26,50.26,14245.0
2018-02-16,11:30:00,50.26,50.266,50.241,50.25,23997.0
2018-02-16,11:31:00,50.25,50.29,50.25,50.29,26188.0
2018-02-16,11:32:00,50.28,50.2899,50.26,50.2899,13025.0
2018-02-16,11:33:00,50.28,50.31,50.27,50.295,46307.0
2018-02-16,11:34:00,50.295,50.3,50.28,50.295,11662.0
2018-02-16,11:35:00,50.29,50.31,50.28,50.305,13119.0
2018-02-16,11:36:00,50.3,50.3,50.27,50.275,21931.0
2018-02-16,11:37:00,50.27,50.275,50.235,50.25,20145.0
2018-02-16,11:38:00,50.26,50.27,50.245,50.25,20273.0
2018-02-16,11:39:00,50.2568,50.26,50.23,50.246,9787.0
2018-02-16,11:40:00,50.245,50.26,50.24,50.25,11170.0
2018-02-16,11:41:00,50.255,50.26,50.24,50.24,17802.0
2018-02-16,11:42:00,50.24,50.255,50.235,50.25,10190.0
2018-02-16,11:43:00,50.255,50.27,50.24,50.25,9110.0
2018-02-16,11:44:00,50.25,50.2537,50.215,50.215,12532.0
2018-02-16,11:45:00,50.215,50.24,50.19,50.225,15358.0
2018-02-16,11:46:00,50.23,50.2793,50.23,50.265,11109.0
2018-02-16,11:47:00,50.265,50.27,50.245,50.27,12567.0
2018-02-16,11:48:00,50.265,50.265,50.245,50.26,14038.0
2018-02-16,11:49:00,50.26,50.26,50.25,50.25,13405.0
2018-02-16,11:50:00,50.255,50.2656,50.25,50.2536,32459.0
2018-02-16,11:51:00,50.255,50.286,50.255,50.28,41670.0
2018-02-16,11:52:00,50.28,50.31,50.28,50.29,36335.0
2018-02-16,11:53:00,50.2968,50.33,50.295,50.315,39466.0
2018-02-16,11:54:00,50.32,50.33,50.27,50.275,26060.0
2018-02-16,11:55:00,50.2765,50.2765,50.25,50.26,12839.0
2018-02-16,11:56:00,50.2641,50.27,50.24,50.2439,21338.0
2018-02-16,11:57:00,50.25,50.275,50.24,50.241,11985.0
2018-02-16,11:58:00,50.24,50.26,50.23,50.24,16116.0
2018-02-16,11:59:00,50.25,50.28,50.24,50.26,19017.0
2018-02-16,12:00:00,50.26,50.27,50.24,50.2499,20314.0
2018-02-16,12:01:00,50.24,50.27,50.24,50.27,19536.0
2018-02-16,12:02:00,50.275,50.28,50.25,50.2649,11430.0
2018-02-16,12:03:00,50.265,50.28,50.261,50.275,6321.0
2018-02-16,12:04:00,50.27,50.29,50.27,50.29,5701.0
2018-02-16,12:05:00,50.2873,50.305,50.27,50.29,24769.0
2018-02-16,12:06:00,50.296,50.32,50.295,50.315,23028.0
2018-02-16,12:07:00,50.3121,50.315,50.3,50.3,30484.0
2018-02-16,12:08:00,50.2939,50.2952,50.255,50.27,8467.0
2018-02-16,12:09:00,50.2799,50.3,50.27,50.295,16642.0
2018-02-16,12:10:00,50.28,50.2888,50.27,50.2736,7917.0
2018-02-16,12:11:00,50.28,50.3,50.28,50.295,13445.0
2018-02-16,12:12:00,50.3,50.3,50.27,50.3,14559.0
2018-02-16,12:13:00,50.3,50.3,50.28,50.296,12271.0
2018-02-16,12:14:00,50.295,50.3,50.28,50.28,9481.0
2018-02-16,12:15:00,50.28,50.281,50.27,50.278,7998.0
2018-02-16,12:16:00,50.2765,50.28,50.26,50.2765,13989.0
2018-02-16,12:17:00,50.275,50.3,50.275,50.3,10575.0
2018-02-16,12:18:00,50.295,50.3,50.29,50.3,7120.0
2018-02-16,12:19:00,50.3,50.305,50.29,50.295,7105.0
2018-02-16,12:20:00,50.29,50.295,50.28,50.2926,9291.0
2018-02-16,12:21:00,50.295,50.3,50.29,50.3,2817.0
2018-02-16,12:22:00,50.295,50.31,50.295,50.3,8710.0
2018-02-16,12:23:00,50.305,50.305,50.28,50.285,5519.0
2018-02-16,12:24:00,50.285,50.29,50.26,50.26,19342.0
2018-02-16,12:25:00,50.2636,50.286,50.2636,50.2799,12059.0
2018-02-16,12:26:00,50.275,50.2901,50.27,50.28,21146.0
2018-02-16,12:27:00,50.28,50.2899,50.275,50.275,3364.0
2018-02-16,12:28:00,50.275,50.295,50.27,50.295,7962.0
2018-02-16,12:29:00,50.3,50.3,50.2738,50.285,26304.0
2018-02-16,12:30:00,50.286,50.3,50.28,50.2832,8825.0
2018-02-16,12:31:00,50.29,50.32,50.285,50.32,13722.0
2018-02-16,12:32:00,50.315,50.3634,50.315,50.32,58945.0
