date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,69.99,70.14,69.99,70.09,266759.0
2018-02-16,09:31:00,70.09,70.15,69.94,70.0054,3887.0
2018-02-16,09:32:00,69.9484,70.055,69.9484,70.055,900.0
2018-02-16,09:33:00,70.03,70.14,69.951,70.08,10811.0
2018-02-16,09:34:00,70.11,70.11,70.0,70.0,5506.0
2018-02-16,09:35:00,70.0517,70.17,70.02,70.12,4146.0
2018-02-16,09:36:00,70.0942,70.28,70.0544,70.0544,7122.0
2018-02-16,09:37:00,70.1095,70.1834,70.1095,70.13,2900.0
2018-02-16,09:38:00,70.13,70.24,70.089,70.24,5901.0
2018-02-16,09:39:00,70.24,70.32,70.23,70.27,15074.0
2018-02-16,09:40:00,70.28,70.43,70.28,70.35,31869.0
2018-02-16,09:41:00,70.34,70.43,70.33,70.43,10700.0
2018-02-16,09:42:00,70.43,70.52,70.37,70.46,22963.0
2018-02-16,09:43:00,70.4645,70.52,70.43,70.52,16014.0
2018-02-16,09:44:00,70.51,70.57,70.5,70.5,7873.0
2018-02-16,09:45:00,70.51,70.59,70.42,70.56,11765.0
2018-02-16,09:46:00,70.58,70.75,70.53,70.75,18232.0
2018-02-16,09:47:00,70.76,70.78,70.7373,70.75,6704.0
2018-02-16,09:48:00,70.7805,70.7805,70.73,70.7435,11506.0
2018-02-16,09:49:00,70.75,70.79,70.6801,70.72,22830.0
2018-02-16,09:50:00,70.74,70.77,70.69,70.75,10323.0
2018-02-16,09:51:00,70.73,70.8,70.69,70.775,31657.0
2018-02-16,09:52:00,70.799,70.915,70.78,70.902,13796.0
2018-02-16,09:53:00,70.9,70.9,70.7691,70.85,9660.0
2018-02-16,09:54:00,70.845,70.95,70.77,70.94,46216.0
2018-02-16,09:55:00,70.92,70.92,70.88,70.89,3200.0
2018-02-16,09:56:00,70.91,70.94,70.9,70.9263,6339.0
2018-02-16,09:57:00,70.9,70.9,70.81,70.83,8800.0
2018-02-16,09:58:00,70.82,70.82,70.78,70.8,9190.0
2018-02-16,09:59:00,70.785,70.79,70.7,70.7,9277.0
2018-02-16,10:00:00,70.7,70.75,70.68,70.74,15415.0
2018-02-16,10:01:00,70.725,70.75,70.66,70.67,11291.0
2018-02-16,10:02:00,70.66,70.75,70.66,70.75,8095.0
2018-02-16,10:03:00,70.73,70.77,70.72,70.72,5000.0
2018-02-16,10:04:00,70.72,70.75,70.64,70.65,7024.0
2018-02-16,10:05:00,70.65,70.69,70.64,70.66,9066.0
2018-02-16,10:06:00,70.65,70.655,70.57,70.58,8559.0
2018-02-16,10:07:00,70.5799,70.59,70.51,70.525,8668.0
2018-02-16,10:08:00,70.52,70.57,70.5,70.55,7531.0
2018-02-16,10:09:00,70.55,70.64,70.5402,70.615,14205.0
2018-02-16,10:10:00,70.62,70.7,70.61,70.7,9828.0
2018-02-16,10:11:00,70.67,70.71,70.59,70.6,15977.0
2018-02-16,10:12:00,70.61,70.61,70.45,70.49,14044.0
2018-02-16,10:13:00,70.48,70.68,70.48,70.67,8089.0
2018-02-16,10:14:00,70.67,70.675,70.63,70.63,6679.0
2018-02-16,10:15:00,70.649,70.82,70.636,70.81,7442.0
2018-02-16,10:16:00,70.79,70.85,70.77,70.8,7553.0
2018-02-16,10:17:00,70.81,70.92,70.81,70.87,10793.0
2018-02-16,10:18:00,70.84,70.91,70.84,70.91,3000.0
2018-02-16,10:19:00,70.909,70.91,70.8515,70.9,4330.0
2018-02-16,10:20:00,70.89,70.92,70.85,70.85,11394.0
2018-02-16,10:21:00,70.85,70.91,70.85,70.89,4848.0
2018-02-16,10:22:00,70.91,71.02,70.91,70.99,10996.0
2018-02-16,10:23:00,71.0,71.01,70.95,71.01,8026.0
2018-02-16,10:24:00,71.0023,71.0023,70.92,70.96,4945.0
2018-02-16,10:25:00,70.9804,71.01,70.93,70.945,5181.0
2018-02-16,10:26:00,70.96,70.98,70.904,70.911,10807.0
2018-02-16,10:27:00,70.91,70.94,70.8714,70.9105,9457.0
2018-02-16,10:28:00,70.91,70.98,70.91,70.98,5972.0
2018-02-16,10:29:00,70.95,71.04,70.92,70.97,20460.0
2018-02-16,10:30:00,70.95,70.98,70.92,70.98,6659.0
2018-02-16,10:31:00,70.97,71.0789,70.96,71.045,14365.0
2018-02-16,10:32:00,71.0468,71.0468,70.96,70.99,7840.0
2018-02-16,10:33:00,71.0,71.05,70.995,71.04,11670.0
2018-02-16,10:34:00,71.04,71.05,71.03,71.03,6313.0
2018-02-16,10:35:00,71.02,71.12,70.99,71.11,20052.0
2018-02-16,10:36:00,71.11,71.25,71.11,71.23,30909.0
2018-02-16,10:37:00,71.25,71.28,71.24,71.27,9180.0
2018-02-16,10:38:00,71.27,71.27,71.2,71.23,11448.0
2018-02-16,10:39:00,71.23,71.28,71.23,71.26,10661.0
2018-02-16,10:40:00,71.25,71.28,71.24,71.255,9315.0
2018-02-16,10:41:00,71.26,71.27,71.249,71.255,14882.0
2018-02-16,10:42:00,71.25,71.28,71.25,71.265,16584.0
2018-02-16,10:43:00,71.26,71.28,71.21,71.23,29876.0
2018-02-16,10:44:00,71.235,71.2399,71.15,71.15,13820.0
2018-02-16,10:45:00,71.15,71.16,71.13,71.15,9500.0
2018-02-16,10:46:00,71.13,71.199,71.1,71.199,7996.0
2018-02-16,10:47:00,71.19,71.24,71.19,71.22,5600.0
2018-02-16,10:48:00,71.23,71.3,71.23,71.3,5240.0
2018-02-16,10:49:00,71.3,71.349,71.29,71.34,7908.0
2018-02-16,10:50:00,71.34,71.37,71.3,71.32,6618.0
2018-02-16,10:51:00,71.3399,71.34,71.27,71.31,7847.0
2018-02-16,10:52:00,71.32,71.32,71.27,71.31,4770.0
2018-02-16,10:53:00,71.3,71.31,71.28,71.29,4320.0
2018-02-16,10:54:00,71.27,71.32,71.27,71.3,6241.0
2018-02-16,10:55:00,71.29,71.3,71.27,71.29,5636.0
2018-02-16,10:56:00,71.28,71.2914,71.26,71.26,1588.0
2018-02-16,10:57:00,71.269,71.29,71.265,71.28,4150.0
2018-02-16,10:58:00,71.28,71.34,71.28,71.31,7774.0
2018-02-16,10:59:00,71.31,71.33,71.31,71.3299,2599.0
2018-02-16,11:00:00,71.31,71.31,71.14,71.14,9170.0
2018-02-16,11:01:00,71.14,71.2,71.14,71.1968,4774.0
2018-02-16,11:02:00,71.21,71.24,71.21,71.24,823.0
2018-02-16,11:03:00,71.24,71.27,71.21,71.22,4500.0
2018-02-16,11:04:00,71.2176,71.2176,71.13,71.16,4775.0
2018-02-16,11:05:00,71.169,71.24,71.14,71.18,7100.0
2018-02-16,11:06:00,71.16,71.17,71.13,71.151,2643.0
2018-02-16,11:07:00,71.18,71.19,71.17,71.17,2400.0
2018-02-16,11:08:00,71.17,71.21,71.1681,71.21,8551.0
2018-02-16,11:09:00,71.21,71.24,71.21,71.24,1261.0
2018-02-16,11:10:00,71.23,71.27,71.23,71.26,6559.0
2018-02-16,11:11:00,71.24,71.24,71.22,71.2244,1825.0
2018-02-16,11:12:00,71.23,71.25,71.2,71.22,4999.0
2018-02-16,11:13:00,71.22,71.22,71.18,71.18,2095.0
2018-02-16,11:14:00,71.2099,71.22,71.18,71.21,2158.0
2018-02-16,11:15:00,71.22,71.25,71.21,71.23,4015.0
2018-02-16,11:16:00,71.21,71.21,71.17,71.189,5034.0
2018-02-16,11:17:00,71.17,71.18,71.15,71.18,6100.0
2018-02-16,11:18:00,71.16,71.189,71.16,71.1798,1905.0
2018-02-16,11:19:00,71.182,71.21,71.16,71.16,5999.0
2018-02-16,11:20:00,71.17,71.2,71.17,71.2,2747.0
2018-02-16,11:21:00,71.21,71.22,71.185,71.19,3348.0
2018-02-16,11:22:00,71.19,71.21,71.17,71.2012,4000.0
2018-02-16,11:23:00,71.2,71.2,71.14,71.16,5600.0
2018-02-16,11:24:00,71.16,71.16,71.085,71.085,7953.0
2018-02-16,11:25:00,71.08,71.08,71.03,71.05,5375.0
2018-02-16,11:26:00,71.05,71.07,71.04,71.0601,2700.0
2018-02-16,11:27:00,71.06,71.06,71.0057,71.01,4300.0
2018-02-16,11:28:00,71.0166,71.06,71.0,71.05,7940.0
2018-02-16,11:29:00,71.055,71.055,71.03,71.03,2300.0
2018-02-16,11:30:00,71.03,71.05,71.02,71.03,4500.0
2018-02-16,11:31:00,71.0,71.02,70.9946,71.002,3337.0
2018-02-16,11:32:00,71.0,71.01,70.96,70.9619,10900.0
2018-02-16,11:33:00,70.9605,70.98,70.95,70.96,2887.0
2018-02-16,11:34:00,70.941,70.97,70.941,70.9675,2402.0
2018-02-16,11:35:00,70.96,70.98,70.96,70.96,4618.0
2018-02-16,11:36:00,70.94,70.94,70.919,70.92,2600.0
2018-02-16,11:37:00,70.91,70.91,70.88,70.88,2007.0
2018-02-16,11:38:00,70.87,70.9,70.87,70.9,3300.0
2018-02-16,11:39:00,70.9001,70.9001,70.88,70.88,6817.0
2018-02-16,11:40:00,70.8834,70.94,70.8834,70.925,10240.0
2018-02-16,11:41:00,70.94,71.09,70.94,71.05,23336.0
2018-02-16,11:42:00,71.05,71.06,71.04,71.05,3934.0
2018-02-16,11:43:00,71.04,71.07,71.04,71.07,5100.0
2018-02-16,11:44:00,71.07,71.1238,71.06,71.12,3250.0
2018-02-16,11:45:00,71.12,71.12,71.08,71.1,3300.0
2018-02-16,11:46:00,71.09,71.1158,71.09,71.1,464.0
2018-02-16,11:47:00,71.1,71.1128,71.1,71.11,5341.0
2018-02-16,11:48:00,71.11,71.1502,71.11,71.1502,4204.0
2018-02-16,11:49:00,71.16,71.18,71.16,71.18,953.0
2018-02-16,11:50:00,71.19,71.19,71.17,71.18,6446.0
2018-02-16,11:51:00,71.18,71.223,71.18,71.223,2650.0
2018-02-16,11:52:00,71.21,71.255,71.21,71.255,3148.0
2018-02-16,11:53:00,71.255,71.28,71.25,71.28,6110.0
2018-02-16,11:54:00,71.29,71.29,71.245,71.27,10130.0
2018-02-16,11:55:00,71.259,71.275,71.25,71.274,3879.0
2018-02-16,11:56:00,71.275,71.29,71.27,71.28,4600.0
2018-02-16,11:57:00,71.29,71.33,71.265,71.27,5720.0
2018-02-16,11:58:00,71.265,71.28,71.26,71.265,5000.0
2018-02-16,11:59:00,71.269,71.28,71.2516,71.27,2786.0
2018-02-16,12:00:00,71.27,71.2718,71.24,71.24,5750.0
2018-02-16,12:01:00,71.23,71.235,71.205,71.2101,5550.0
2018-02-16,12:02:00,71.21,71.21,71.16,71.19,22786.0
2018-02-16,12:03:00,71.18,71.19,71.18,71.18,969.0
2018-02-16,12:04:00,71.18,71.18,71.14,71.14,2593.0
2018-02-16,12:05:00,71.1066,71.13,71.1,71.13,6522.0
2018-02-16,12:06:00,71.13,71.14,71.1184,71.12,1200.0
2018-02-16,12:07:00,71.12,71.13,71.11,71.13,2023.0
2018-02-16,12:08:00,71.13,71.13,71.05,71.06,6160.0
2018-02-16,12:09:00,71.0588,71.0613,71.041,71.05,9013.0
2018-02-16,12:10:00,71.05,71.05,71.0,71.04,3154.0
2018-02-16,12:11:00,71.05,71.07,71.04,71.05,4100.0
2018-02-16,12:12:00,71.05,71.08,71.0468,71.07,3719.0
2018-02-16,12:13:00,71.07,71.07,71.0501,71.07,1930.0
2018-02-16,12:14:00,71.07,71.08,71.07,71.08,3407.0
2018-02-16,12:15:00,71.07,71.07,71.05,71.06,1900.0
2018-02-16,12:16:00,71.05,71.05,71.02,71.0242,3800.0
2018-02-16,12:17:00,71.03,71.08,71.03,71.08,4904.0
2018-02-16,12:18:00,71.08,71.09,71.08,71.09,3321.0
2018-02-16,12:19:00,71.09,71.11,71.0801,71.1002,6742.0
2018-02-16,12:20:00,71.1,71.1,71.07,71.07,1400.0
2018-02-16,12:21:00,71.06,71.09,71.06,71.08,3300.0
2018-02-16,12:22:00,71.07,71.08,71.04,71.04,2500.0
2018-02-16,12:23:00,71.029,71.029,71.02,71.02,1100.0
2018-02-16,12:24:00,71.0,71.0,70.97,70.98,4600.0
2018-02-16,12:25:00,70.99,71.0,70.99,71.0,2160.0
2018-02-16,12:26:00,71.01,71.04,71.0,71.0,3060.0
2018-02-16,12:27:00,71.0,71.0,70.96,70.97,2100.0
2018-02-16,12:28:00,70.97,71.01,70.97,71.01,3761.0
2018-02-16,12:29:00,71.01,71.02,71.0,71.0,2600.0
2018-02-16,12:30:00,71.0,71.0341,71.0,71.03,3736.0
2018-02-16,12:31:00,71.04,71.07,71.04,71.057,2500.0
2018-02-16,12:32:00,71.06,71.17,71.06,71.14,9743.0
