date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,59.67,59.8001,59.67,59.74,1084871.0
2018-02-16,09:32:00,59.71,59.84,59.708,59.84,47101.0
2018-02-16,09:33:00,59.84,59.84,59.74,59.83,33068.0
2018-02-16,09:34:00,59.83,59.875,59.8,59.83,26539.0
2018-02-16,09:35:00,59.825,59.925,59.8021,59.91,26360.0
2018-02-16,09:36:00,59.93,59.95,59.87,59.94,40038.0
2018-02-16,09:37:00,59.941,60.03,59.93,60.02,58339.0
2018-02-16,09:38:00,60.01,60.015,59.97,59.9924,29384.0
2018-02-16,09:39:00,59.99,60.03,59.985,60.01,38674.0
2018-02-16,09:40:00,60.0,60.02,59.97,59.98,66595.0
2018-02-16,09:41:00,59.98,59.98,59.93,59.94,87401.0
2018-02-16,09:42:00,59.945,59.97,59.89,59.89,139548.0
2018-02-16,09:43:00,59.9,59.91,59.82,59.84,34601.0
2018-02-16,09:44:00,59.84,59.87,59.78,59.8,50684.0
2018-02-16,09:45:00,59.79,59.86,59.74,59.84,66290.0
2018-02-16,09:46:00,59.84,59.92,59.78,59.91,47697.0
2018-02-16,09:47:00,59.915,59.92,59.885,59.89,49000.0
2018-02-16,09:48:00,59.89,59.91,59.85,59.9,39858.0
2018-02-16,09:49:00,59.9,59.91,59.88,59.91,38014.0
2018-02-16,09:50:00,59.905,59.9701,59.9,59.97,43395.0
2018-02-16,09:51:00,59.97,59.98,59.9,59.965,73922.0
2018-02-16,09:52:00,59.965,59.98,59.92,59.98,80813.0
2018-02-16,09:53:00,59.97,60.0,59.94,59.955,82341.0
2018-02-16,09:54:00,59.955,59.955,59.9,59.92,40834.0
2018-02-16,09:55:00,59.93,59.96,59.925,59.94,29571.0
2018-02-16,09:56:00,59.93,59.96,59.91,59.91,32061.0
2018-02-16,09:57:00,59.905,59.91,59.87,59.9,26397.0
2018-02-16,09:58:00,59.9,59.91,59.89,59.9,16219.0
2018-02-16,09:59:00,59.905,59.91,59.87,59.87,30366.0
2018-02-16,10:00:00,59.87,59.93,59.87,59.91,49271.0
2018-02-16,10:01:00,59.91,59.92,59.845,59.85,35884.0
2018-02-16,10:02:00,59.84,59.89,59.83,59.861,37192.0
2018-02-16,10:03:00,59.86,59.91,59.85,59.895,20816.0
2018-02-16,10:04:00,59.9,59.91,59.86,59.8736,27981.0
2018-02-16,10:05:00,59.88,59.9,59.87,59.875,29281.0
2018-02-16,10:06:00,59.87,59.875,59.82,59.84,26418.0
2018-02-16,10:07:00,59.84,59.86,59.825,59.84,18448.0
2018-02-16,10:08:00,59.84,59.85,59.8108,59.83,21088.0
2018-02-16,10:09:00,59.825,59.89,59.825,59.89,36631.0
2018-02-16,10:10:00,59.89,59.94,59.89,59.91,32036.0
2018-02-16,10:11:00,59.9001,59.9299,59.89,59.89,34948.0
2018-02-16,10:12:00,59.89,59.89,59.82,59.82,23811.0
2018-02-16,10:13:00,59.82,59.88,59.81,59.87,67599.0
2018-02-16,10:14:00,59.86,59.87,59.82,59.83,42151.0
2018-02-16,10:15:00,59.8248,59.885,59.8248,59.88,30862.0
2018-02-16,10:16:00,59.89,59.95,59.89,59.91,22950.0
2018-02-16,10:17:00,59.92,59.98,59.915,59.97,28775.0
2018-02-16,10:18:00,59.9701,60.025,59.965,59.995,24953.0
2018-02-16,10:19:00,59.995,60.03,59.98,60.005,26475.0
2018-02-16,10:20:00,60.005,60.02,59.9699,59.98,41784.0
2018-02-16,10:21:00,59.98,60.0101,59.98,60.0101,31564.0
2018-02-16,10:22:00,60.02,60.03,60.0,60.0033,15201.0
2018-02-16,10:23:00,60.01,60.06,60.005,60.05,30396.0
2018-02-16,10:24:00,60.05,60.05,59.99,60.01,36335.0
2018-02-16,10:25:00,60.01,60.07,60.01,60.03,16422.0
2018-02-16,10:26:00,60.0345,60.08,60.03,60.0447,43208.0
2018-02-16,10:27:00,60.05,60.05,59.98,59.99,51209.0
2018-02-16,10:28:00,59.99,60.0,59.99,60.0,40441.0
2018-02-16,10:29:00,59.99,60.03,59.99,60.01,52590.0
2018-02-16,10:30:00,60.01,60.03,59.98,60.03,47514.0
2018-02-16,10:31:00,60.03,60.04,60.005,60.0139,25240.0
2018-02-16,10:32:00,60.0125,60.055,60.0125,60.04,40075.0
2018-02-16,10:33:00,60.03,60.05,60.02,60.02,34173.0
2018-02-16,10:34:00,60.02,60.035,60.01,60.025,23395.0
2018-02-16,10:35:00,60.02,60.03,60.01,60.0199,16024.0
2018-02-16,10:36:00,60.02,60.07,60.02,60.04,37162.0
2018-02-16,10:37:00,60.03,60.055,60.03,60.05,34508.0
2018-02-16,10:38:00,60.05,60.06,60.03,60.03,28881.0
2018-02-16,10:39:00,60.025,60.05,60.0232,60.0369,27591.0
2018-02-16,10:40:00,60.03,60.04,60.01,60.01,13832.0
2018-02-16,10:41:00,60.02,60.03,60.0,60.01,36960.0
2018-02-16,10:42:00,60.02,60.04,60.0,60.04,28145.0
2018-02-16,10:43:00,60.0361,60.045,59.98,59.98,64551.0
2018-02-16,10:44:00,59.99,60.01,59.98,59.98,19613.0
2018-02-16,10:45:00,59.985,59.99,59.975,59.98,26193.0
2018-02-16,10:46:00,59.97,59.97,59.9447,59.945,31381.0
2018-02-16,10:47:00,59.942,60.01,59.94,59.99,58414.0
2018-02-16,10:48:00,60.0,60.01,59.96,60.0,30876.0
2018-02-16,10:49:00,60.005,60.005,59.96,59.97,10907.0
2018-02-16,10:50:00,59.97,60.03,59.97,60.02,40100.0
2018-02-16,10:51:00,60.03,60.03,59.99,60.0,21979.0
2018-02-16,10:52:00,60.005,60.02,59.98,59.99,26173.0
2018-02-16,10:53:00,59.9941,60.0,59.985,59.995,11118.0
2018-02-16,10:54:00,59.9925,60.01,59.9925,60.0,11808.0
2018-02-16,10:55:00,60.0,60.03,60.0,60.02,26598.0
2018-02-16,10:56:00,60.02,60.02,59.99,60.0101,22450.0
2018-02-16,10:57:00,60.015,60.03,59.98,59.98,21867.0
2018-02-16,10:58:00,59.985,59.9969,59.96,59.97,33064.0
2018-02-16,10:59:00,59.98,59.98,59.95,59.955,15436.0
2018-02-16,11:00:00,59.95,59.96,59.895,59.93,75317.0
2018-02-16,11:01:00,59.93,59.99,59.93,59.98,23463.0
2018-02-16,11:02:00,59.98,60.03,59.98,60.025,59878.0
2018-02-16,11:03:00,60.02,60.03,60.01,60.015,13521.0
2018-02-16,11:04:00,60.01,60.01,59.98,60.01,24489.0
2018-02-16,11:05:00,60.0052,60.06,59.98,60.01,82709.0
2018-02-16,11:06:00,60.02,60.03,59.99,60.01,20308.0
2018-02-16,11:07:00,60.02,60.035,60.0,60.0,19254.0
2018-02-16,11:08:00,60.01,60.0139,59.99,59.99,26382.0
2018-02-16,11:09:00,59.9967,60.0,59.98,60.0,49737.0
2018-02-16,11:10:00,60.0085,60.02,59.9901,60.01,26583.0
2018-02-16,11:11:00,60.01,60.03,60.0,60.025,21100.0
2018-02-16,11:12:00,60.02,60.06,60.02,60.045,39318.0
2018-02-16,11:13:00,60.04,60.04,60.01,60.015,32636.0
2018-02-16,11:14:00,60.02,60.03,60.01,60.0115,11658.0
2018-02-16,11:15:00,60.015,60.0601,60.01,60.04,35903.0
2018-02-16,11:16:00,60.0407,60.045,60.005,60.015,18041.0
2018-02-16,11:17:00,60.01,60.02,60.0,60.01,11439.0
2018-02-16,11:18:00,60.01,60.05,60.01,60.05,50251.0
2018-02-16,11:19:00,60.05,60.06,60.03,60.05,30931.0
2018-02-16,11:20:00,60.05,60.09,60.045,60.09,35444.0
2018-02-16,11:21:00,60.085,60.09,60.07,60.07,24665.0
2018-02-16,11:22:00,60.07,60.1,60.07,60.1,54691.0
2018-02-16,11:23:00,60.105,60.11,60.0825,60.1,29460.0
2018-02-16,11:24:00,60.095,60.1157,60.09,60.1157,21599.0
2018-02-16,11:25:00,60.11,60.13,60.095,60.119,29822.0
2018-02-16,11:26:00,60.12,60.15,60.12,60.15,15477.0
2018-02-16,11:27:00,60.145,60.15,60.09,60.135,48665.0
2018-02-16,11:28:00,60.135,60.15,60.12,60.1451,69315.0
2018-02-16,11:29:00,60.15,60.15,60.12,60.145,65693.0
2018-02-16,11:30:00,60.14,60.15,60.11,60.125,37945.0
2018-02-16,11:31:00,60.13,60.13,60.1,60.11,81325.0
2018-02-16,11:32:00,60.11,60.11,60.09,60.09,28472.0
2018-02-16,11:33:00,60.095,60.1,60.05,60.055,76994.0
2018-02-16,11:34:00,60.055,60.065,60.045,60.05,28998.0
2018-02-16,11:35:00,60.055,60.055,60.01,60.01,41989.0
2018-02-16,11:36:00,60.01,60.025,59.99,60.01,35729.0
2018-02-16,11:37:00,60.01,60.02,59.98,60.02,28635.0
2018-02-16,11:38:00,60.02,60.04,60.01,60.03,31734.0
2018-02-16,11:39:00,60.035,60.07,60.03,60.07,19879.0
2018-02-16,11:40:00,60.065,60.07,60.04,60.06,32592.0
2018-02-16,11:41:00,60.06,60.09,60.055,60.07,15440.0
2018-02-16,11:42:00,60.07,60.1,60.07,60.1,12855.0
2018-02-16,11:43:00,60.09,60.11,60.09,60.0901,41504.0
2018-02-16,11:44:00,60.09,60.1,60.07,60.0941,36094.0
2018-02-16,11:45:00,60.1,60.12,60.09,60.115,87033.0
2018-02-16,11:46:00,60.12,60.13,60.09,60.12,34026.0
2018-02-16,11:47:00,60.125,60.13,60.09,60.1,13409.0
2018-02-16,11:48:00,60.09,60.09,60.07,60.085,10773.0
2018-02-16,11:49:00,60.0848,60.1,60.08,60.1,15793.0
2018-02-16,11:50:00,60.0905,60.115,60.09,60.115,39834.0
2018-02-16,11:51:00,60.11,60.15,60.105,60.14,29997.0
2018-02-16,11:52:00,60.14,60.145,60.13,60.13,9802.0
2018-02-16,11:53:00,60.13,60.16,60.12,60.15,55797.0
2018-02-16,11:54:00,60.15,60.16,60.1246,60.13,19930.0
2018-02-16,11:55:00,60.1332,60.16,60.12,60.16,21314.0
2018-02-16,11:56:00,60.155,60.18,60.15,60.175,26095.0
2018-02-16,11:57:00,60.185,60.1901,60.17,60.19,29716.0
2018-02-16,11:58:00,60.19,60.2,60.18,60.2,9009.0
2018-02-16,11:59:00,60.2,60.23,60.19,60.22,29842.0
2018-02-16,12:00:00,60.2201,60.24,60.19,60.2,24680.0
2018-02-16,12:01:00,60.2,60.24,60.2,60.2301,10144.0
2018-02-16,12:02:00,60.24,60.24,60.18,60.185,24750.0
2018-02-16,12:03:00,60.18,60.21,60.18,60.21,9359.0
2018-02-16,12:04:00,60.21,60.21,60.2,60.205,5010.0
2018-02-16,12:05:00,60.205,60.21,60.17,60.195,34578.0
2018-02-16,12:06:00,60.19,60.2,60.181,60.1855,19694.0
2018-02-16,12:07:00,60.18,60.22,60.18,60.22,14115.0
2018-02-16,12:08:00,60.215,60.215,60.18,60.2,22292.0
2018-02-16,12:09:00,60.2,60.22,60.185,60.195,22096.0
2018-02-16,12:10:00,60.195,60.205,60.181,60.185,44323.0
2018-02-16,12:11:00,60.19,60.21,60.19,60.205,25667.0
2018-02-16,12:12:00,60.21,60.22,60.195,60.22,32140.0
2018-02-16,12:13:00,60.22,60.24,60.22,60.24,15942.0
