date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,2.75,2.75,2.75,2.75,81872.0
2018-02-16,09:31:00,2.75,2.75,2.73,2.74,12132.0
2018-02-16,09:32:00,2.75,2.75,2.75,2.75,600.0
2018-02-16,09:33:00,2.74,2.74,2.74,2.74,4280.0
2018-02-16,09:34:00,2.74,2.76,2.74,2.75,38734.0
2018-02-16,09:35:00,2.7499,2.76,2.74,2.76,9800.0
2018-02-16,09:36:00,2.75,2.755,2.74,2.75,70376.0
2018-02-16,09:37:00,2.74,2.745,2.73,2.73,23368.0
2018-02-16,09:38:00,2.735,2.735,2.73,2.735,17200.0
2018-02-16,09:39:00,2.735,2.74,2.73,2.735,19040.0
2018-02-16,09:40:00,2.74,2.75,2.73,2.745,70071.0
2018-02-16,09:41:00,2.745,2.745,2.735,2.74,31100.0
2018-02-16,09:42:00,2.73,2.749,2.73,2.745,25600.0
2018-02-16,09:43:00,2.75,2.75,2.74,2.74,5378.0
2018-02-16,09:44:00,2.745,2.75,2.74,2.74,5309.0
2018-02-16,09:45:00,2.75,2.75,2.73,2.73,17731.0
2018-02-16,09:46:00,2.735,2.74,2.735,2.74,9069.0
2018-02-16,09:47:00,2.74,2.74,2.73,2.74,6039.0
2018-02-16,09:48:00,2.74,2.745,2.7341,2.745,30050.0
2018-02-16,09:49:00,2.75,2.75,2.74,2.745,32000.0
2018-02-16,09:50:00,2.75,2.76,2.741,2.755,14500.0
2018-02-16,09:51:00,2.755,2.76,2.75,2.755,10100.0
2018-02-16,09:52:00,2.755,2.76,2.755,2.755,9600.0
2018-02-16,09:53:00,2.76,2.77,2.755,2.76,137386.0
2018-02-16,09:54:00,2.76,2.76,2.75,2.76,186102.0
2018-02-16,09:55:00,2.76,2.76,2.755,2.755,4600.0
2018-02-16,09:56:00,2.755,2.76,2.75,2.755,25440.0
2018-02-16,09:57:00,2.75,2.755,2.75,2.755,60113.0
2018-02-16,09:58:00,2.755,2.76,2.75,2.755,3600.0
2018-02-16,09:59:00,2.755,2.755,2.74,2.745,70876.0
2018-02-16,10:00:00,2.745,2.76,2.74,2.76,47122.0
2018-02-16,10:01:00,2.755,2.76,2.75,2.755,7800.0
2018-02-16,10:02:00,2.76,2.76,2.75,2.755,2200.0
2018-02-16,10:03:00,2.755,2.755,2.75,2.755,2100.0
2018-02-16,10:04:00,2.76,2.76,2.75,2.755,6590.0
2018-02-16,10:05:00,2.755,2.76,2.755,2.76,16290.0
2018-02-16,10:06:00,2.75,2.759,2.74,2.745,66719.0
2018-02-16,10:07:00,2.745,2.7499,2.74,2.745,19705.0
2018-02-16,10:08:00,2.74,2.745,2.735,2.74,35985.0
2018-02-16,10:09:00,2.735,2.74,2.7337,2.74,8650.0
2018-02-16,10:10:00,2.74,2.76,2.735,2.755,46274.0
2018-02-16,10:11:00,2.75,2.755,2.75,2.75,10625.0
2018-02-16,10:12:00,2.75,2.76,2.75,2.755,1300.0
2018-02-16,10:13:00,2.75,2.755,2.74,2.745,20245.0
2018-02-16,10:14:00,2.7401,2.745,2.74,2.74,3253.0
2018-02-16,10:15:00,2.74,2.745,2.74,2.745,2600.0
2018-02-16,10:16:00,2.74,2.755,2.74,2.755,24007.0
2018-02-16,10:17:00,2.75,2.755,2.75,2.751,1632.0
2018-02-16,10:18:00,2.76,2.76,2.75,2.755,24696.0
2018-02-16,10:19:00,2.76,2.77,2.755,2.77,32405.0
2018-02-16,10:20:00,2.77,2.77,2.765,2.765,15944.0
2018-02-16,10:21:00,2.765,2.77,2.765,2.765,1500.0
2018-02-16,10:22:00,2.77,2.78,2.7644,2.7731,42966.0
2018-02-16,10:23:00,2.78,2.78,2.773,2.773,4952.0
2018-02-16,10:24:00,2.78,2.78,2.7701,2.775,14324.0
2018-02-16,10:25:00,2.78,2.78,2.76,2.765,107221.0
2018-02-16,10:26:00,2.765,2.765,2.76,2.76,4185.0
2018-02-16,10:27:00,2.76,2.765,2.75,2.755,62398.0
2018-02-16,10:28:00,2.755,2.759,2.75,2.7507,26750.0
2018-02-16,10:29:00,2.755,2.76,2.75,2.755,63691.0
2018-02-16,10:30:00,2.755,2.76,2.755,2.76,127278.0
2018-02-16,10:31:00,2.756,2.76,2.75,2.755,33996.0
2018-02-16,10:32:00,2.76,2.77,2.755,2.77,94392.0
2018-02-16,10:33:00,2.77,2.77,2.76,2.766,7350.0
2018-02-16,10:34:00,2.77,2.77,2.7604,2.765,6464.0
2018-02-16,10:35:00,2.77,2.77,2.76,2.765,2730.0
2018-02-16,10:36:00,2.77,2.77,2.76,2.77,24512.0
2018-02-16,10:37:00,2.765,2.77,2.76,2.76,10535.0
2018-02-16,10:38:00,2.765,2.77,2.7617,2.765,26254.0
2018-02-16,10:39:00,2.765,2.77,2.76,2.765,23231.0
2018-02-16,10:40:00,2.77,2.77,2.76,2.76,4100.0
2018-02-16,10:41:00,2.77,2.77,2.76,2.7668,227142.0
2018-02-16,10:42:00,2.77,2.79,2.76,2.76,741410.0
2018-02-16,10:43:00,2.765,2.766,2.76,2.76,4506.0
2018-02-16,10:44:00,2.76,2.765,2.755,2.755,69973.0
2018-02-16,10:45:00,2.75,2.76,2.75,2.7517,45209.0
2018-02-16,10:46:00,2.7558,2.76,2.75,2.7517,71331.0
2018-02-16,10:47:00,2.76,2.7667,2.755,2.755,345641.0
2018-02-16,10:48:00,2.76,2.76,2.7433,2.745,139115.0
2018-02-16,10:49:00,2.74,2.75,2.74,2.745,77443.0
2018-02-16,10:50:00,2.745,2.7593,2.745,2.7583,67528.0
2018-02-16,10:51:00,2.7533,2.7595,2.73,2.735,219570.0
2018-02-16,10:52:00,2.735,2.74,2.73,2.74,113009.0
2018-02-16,10:53:00,2.74,2.74,2.735,2.735,18700.0
2018-02-16,10:54:00,2.73,2.7399,2.73,2.73,11250.0
2018-02-16,10:55:00,2.735,2.735,2.73,2.73,9300.0
2018-02-16,10:56:00,2.73,2.74,2.73,2.74,90750.0
2018-02-16,10:57:00,2.74,2.75,2.735,2.745,34190.0
2018-02-16,10:58:00,2.74,2.75,2.74,2.745,37465.0
2018-02-16,10:59:00,2.75,2.75,2.74,2.745,7500.0
2018-02-16,11:00:00,2.745,2.75,2.7434,2.75,12205.0
2018-02-16,11:01:00,2.75,2.75,2.74,2.75,3100.0
2018-02-16,11:02:00,2.74,2.76,2.74,2.755,28626.0
2018-02-16,11:03:00,2.755,2.76,2.75,2.7541,11831.0
2018-02-16,11:04:00,2.755,2.76,2.755,2.76,8060.0
2018-02-16,11:05:00,2.755,2.76,2.7507,2.76,53109.0
2018-02-16,11:06:00,2.76,2.76,2.7517,2.7567,34400.0
2018-02-16,11:07:00,2.76,2.77,2.7517,2.77,61298.0
2018-02-16,11:08:00,2.77,2.77,2.7601,2.77,30700.0
2018-02-16,11:09:00,2.7601,2.7893,2.7601,2.7826,98792.0
2018-02-16,11:10:00,2.7842,2.79,2.7807,2.7842,33499.0
2018-02-16,11:11:00,2.7893,2.79,2.7807,2.79,26763.0
2018-02-16,11:12:00,2.79,2.79,2.7816,2.79,30649.0
2018-02-16,11:13:00,2.785,2.79,2.78,2.79,17650.0
2018-02-16,11:14:00,2.785,2.79,2.7827,2.785,8788.0
2018-02-16,11:15:00,2.79,2.79,2.78,2.785,13100.0
2018-02-16,11:16:00,2.7858,2.79,2.775,2.775,121897.0
2018-02-16,11:17:00,2.775,2.785,2.775,2.78,44873.0
2018-02-16,11:18:00,2.7884,2.8,2.78,2.8,83768.0
2018-02-16,11:19:00,2.8,2.8,2.7927,2.795,18164.0
2018-02-16,11:20:00,2.8,2.8,2.7901,2.8,30159.0
2018-02-16,11:21:00,2.8,2.8,2.795,2.795,4000.0
2018-02-16,11:22:00,2.8,2.8,2.7923,2.795,14285.0
2018-02-16,11:23:00,2.8,2.8,2.795,2.795,3000.0
2018-02-16,11:24:00,2.795,2.81,2.795,2.8,154037.0
2018-02-16,11:25:00,2.8,2.8,2.795,2.795,5584.0
2018-02-16,11:26:00,2.795,2.8,2.79,2.79,3900.0
2018-02-16,11:27:00,2.795,2.795,2.79,2.79,18044.0
2018-02-16,11:28:00,2.795,2.8,2.79,2.795,13973.0
2018-02-16,11:29:00,2.795,2.795,2.79,2.79,2200.0
2018-02-16,11:30:00,2.795,2.8,2.79,2.7958,13015.0
2018-02-16,11:31:00,2.7916,2.8,2.79,2.8,27700.0
2018-02-16,11:32:00,2.8,2.8,2.79,2.79,53692.0
2018-02-16,11:33:00,2.79,2.8,2.79,2.795,32631.0
2018-02-16,11:34:00,2.795,2.8,2.79,2.795,13522.0
2018-02-16,11:35:00,2.795,2.8,2.79,2.795,5960.0
2018-02-16,11:36:00,2.7967,2.8,2.79,2.79,13385.0
2018-02-16,11:37:00,2.79,2.8,2.79,2.79,27716.0
2018-02-16,11:38:00,2.8,2.8,2.79,2.8,9141.0
2018-02-16,11:39:00,2.7968,2.8,2.79,2.7967,6690.0
2018-02-16,11:40:00,2.79,2.8,2.79,2.795,30557.0
2018-02-16,11:41:00,2.79,2.81,2.79,2.81,103130.0
2018-02-16,11:42:00,2.8033,2.81,2.8,2.8,18800.0
2018-02-16,11:43:00,2.81,2.81,2.8007,2.8093,43295.0
2018-02-16,11:44:00,2.81,2.81,2.805,2.81,5900.0
2018-02-16,11:45:00,2.81,2.81,2.8,2.8084,58066.0
2018-02-16,11:46:00,2.8,2.81,2.8,2.805,5082.0
2018-02-16,11:47:00,2.8028,2.81,2.8,2.805,12650.0
2018-02-16,11:48:00,2.8,2.81,2.8,2.81,6151.0
2018-02-16,11:49:00,2.81,2.82,2.8016,2.82,97257.0
2018-02-16,11:50:00,2.8193,2.82,2.811,2.82,30024.0
2018-02-16,11:51:00,2.82,2.83,2.8107,2.8241,90122.0
2018-02-16,11:52:00,2.8293,2.83,2.8201,2.825,56562.0
2018-02-16,11:53:00,2.825,2.83,2.825,2.83,2700.0
2018-02-16,11:54:00,2.83,2.83,2.82,2.83,14662.0
2018-02-16,11:55:00,2.825,2.83,2.82,2.8267,24693.0
2018-02-16,11:56:00,2.83,2.83,2.82,2.825,15346.0
2018-02-16,11:57:00,2.8241,2.83,2.82,2.8293,20700.0
2018-02-16,11:58:00,2.8233,2.83,2.815,2.815,89183.0
2018-02-16,11:59:00,2.81,2.82,2.81,2.82,32900.0
2018-02-16,12:00:00,2.81,2.82,2.81,2.815,20432.0
2018-02-16,12:01:00,2.815,2.815,2.81,2.815,1400.0
2018-02-16,12:02:00,2.815,2.84,2.815,2.84,182554.0
2018-02-16,12:03:00,2.8367,2.85,2.8301,2.84,77477.0
2018-02-16,12:04:00,2.84,2.85,2.83,2.83,35703.0
2018-02-16,12:05:00,2.84,2.8493,2.83,2.84,52585.0
2018-02-16,12:06:00,2.84,2.846,2.84,2.8433,31473.0
2018-02-16,12:07:00,2.84,2.85,2.84,2.84,35700.0
2018-02-16,12:08:00,2.845,2.849,2.84,2.849,14320.0
2018-02-16,12:09:00,2.845,2.8486,2.835,2.8486,67972.0
2018-02-16,12:10:00,2.844,2.844,2.83,2.84,62779.0
2018-02-16,12:11:00,2.8315,2.85,2.8315,2.845,34016.0
2018-02-16,12:12:00,2.845,2.8486,2.84,2.8433,13766.0
2018-02-16,12:13:00,2.84,2.845,2.84,2.84,9302.0
2018-02-16,12:14:00,2.84,2.8486,2.83,2.835,42407.0
2018-02-16,12:15:00,2.83,2.84,2.83,2.8376,3800.0
