date,ToD,open,high,low,close,volume
2018-02-16,09:31:00,29.83,29.89,29.82,29.88,248086.0
2018-02-16,09:32:00,29.88,29.9,29.82,29.82,11859.0
2018-02-16,09:33:00,29.82,29.84,29.805,29.81,19581.0
2018-02-16,09:34:00,29.81,29.82,29.715,29.74,36479.0
2018-02-16,09:35:00,29.74,29.76,29.7,29.72,35703.0
2018-02-16,09:36:00,29.7199,29.72,29.63,29.63,34882.0
2018-02-16,09:37:00,29.63,29.68,29.63,29.65,24157.0
2018-02-16,09:38:00,29.64,29.66,29.64,29.64,13948.0
2018-02-16,09:39:00,29.64,29.66,29.64,29.64,25690.0
2018-02-16,09:40:00,29.64,29.64,29.61,29.61,19171.0
2018-02-16,09:41:00,29.605,29.605,29.55,29.56,17212.0
2018-02-16,09:42:00,29.56,29.57,29.55,29.56,11193.0
2018-02-16,09:43:00,29.56,29.57,29.56,29.565,7153.0
2018-02-16,09:44:00,29.57,29.58,29.52,29.525,23813.0
2018-02-16,09:45:00,29.52,29.52,29.45,29.45,45120.0
2018-02-16,09:46:00,29.45,29.45,29.39,29.45,29997.0
2018-02-16,09:47:00,29.45,29.45,29.3836,29.395,25519.0
2018-02-16,09:48:00,29.39,29.4,29.385,29.4,41307.0
2018-02-16,09:49:00,29.4,29.42,29.39,29.405,21841.0
2018-02-16,09:50:00,29.41,29.42,29.4,29.4,10888.0
2018-02-16,09:51:00,29.39,29.39,29.3652,29.37,10523.0
2018-02-16,09:52:00,29.36,29.38,29.36,29.375,7026.0
2018-02-16,09:53:00,29.39,29.4,29.35,29.375,18949.0
2018-02-16,09:54:00,29.37,29.4,29.365,29.4,9181.0
2018-02-16,09:55:00,29.415,29.43,29.4,29.43,16101.0
2018-02-16,09:56:00,29.42,29.44,29.42,29.43,13464.0
2018-02-16,09:57:00,29.42,29.44,29.41,29.415,14563.0
2018-02-16,09:58:00,29.41,29.47,29.41,29.47,14850.0
2018-02-16,09:59:00,29.46,29.47,29.44,29.44,9300.0
2018-02-16,10:00:00,29.45,29.505,29.45,29.5,86139.0
2018-02-16,10:01:00,29.495,29.5,29.46,29.485,31769.0
2018-02-16,10:02:00,29.49,29.5,29.475,29.5,14242.0
2018-02-16,10:03:00,29.49,29.505,29.48,29.49,9145.0
2018-02-16,10:04:00,29.5,29.52,29.5,29.515,10000.0
2018-02-16,10:05:00,29.51,29.525,29.48,29.49,16718.0
2018-02-16,10:06:00,29.49,29.49,29.44,29.4464,9713.0
2018-02-16,10:07:00,29.45,29.465,29.44,29.45,21371.0
2018-02-16,10:08:00,29.44,29.45,29.42,29.42,8703.0
2018-02-16,10:09:00,29.41,29.46,29.41,29.46,7900.0
2018-02-16,10:10:00,29.47,29.4825,29.47,29.47,7610.0
2018-02-16,10:11:00,29.46,29.465,29.45,29.45,6285.0
2018-02-16,10:12:00,29.44,29.45,29.435,29.44,8501.0
2018-02-16,10:13:00,29.44,29.44,29.41,29.42,16184.0
2018-02-16,10:14:00,29.42,29.42,29.36,29.36,15900.0
2018-02-16,10:15:00,29.36,29.39,29.36,29.36,21810.0
2018-02-16,10:16:00,29.37,29.38,29.36,29.38,11154.0
2018-02-16,10:17:00,29.37,29.41,29.37,29.4,7836.0
2018-02-16,10:18:00,29.4,29.4,29.39,29.4,8620.0
2018-02-16,10:19:00,29.39,29.41,29.39,29.405,6912.0
2018-02-16,10:20:00,29.42,29.42,29.4,29.41,12169.0
2018-02-16,10:21:00,29.41,29.41,29.4,29.4,2767.0
2018-02-16,10:22:00,29.41,29.425,29.4,29.425,10264.0
2018-02-16,10:23:00,29.42,29.465,29.42,29.465,26451.0
2018-02-16,10:24:00,29.46,29.47,29.46,29.46,14600.0
2018-02-16,10:25:00,29.46,29.49,29.46,29.485,44912.0
2018-02-16,10:26:00,29.49,29.52,29.49,29.5,33078.0
2018-02-16,10:27:00,29.5,29.51,29.495,29.495,19971.0
2018-02-16,10:28:00,29.49,29.49,29.47,29.47,4038.0
2018-02-16,10:29:00,29.48,29.48,29.45,29.455,7331.0
2018-02-16,10:30:00,29.455,29.46,29.45,29.45,1500.0
2018-02-16,10:31:00,29.45,29.46,29.44,29.445,31917.0
2018-02-16,10:32:00,29.4468,29.46,29.43,29.455,13762.0
2018-02-16,10:33:00,29.455,29.4669,29.45,29.455,8343.0
2018-02-16,10:34:00,29.46,29.46,29.45,29.4569,6786.0
2018-02-16,10:35:00,29.46,29.46,29.435,29.44,36798.0
2018-02-16,10:36:00,29.44,29.46,29.44,29.46,3802.0
2018-02-16,10:37:00,29.45,29.47,29.44,29.44,11051.0
2018-02-16,10:38:00,29.44,29.465,29.435,29.45,14413.0
2018-02-16,10:39:00,29.455,29.47,29.45,29.47,12491.0
2018-02-16,10:40:00,29.48,29.4901,29.46,29.46,17414.0
2018-02-16,10:41:00,29.46,29.5,29.455,29.49,14167.0
2018-02-16,10:42:00,29.485,29.49,29.465,29.49,14059.0
2018-02-16,10:43:00,29.485,29.5,29.46,29.47,39207.0
2018-02-16,10:44:00,29.47,29.47,29.46,29.46,3302.0
2018-02-16,10:45:00,29.45,29.47,29.45,29.45,10810.0
2018-02-16,10:46:00,29.45,29.458,29.44,29.45,8133.0
2018-02-16,10:47:00,29.45,29.47,29.45,29.46,14232.0
2018-02-16,10:48:00,29.47,29.4849,29.45,29.475,20634.0
2018-02-16,10:49:00,29.475,29.48,29.45,29.45,6059.0
2018-02-16,10:50:00,29.46,29.46,29.44,29.45,12350.0
2018-02-16,10:51:00,29.45,29.46,29.44,29.445,13965.0
2018-02-16,10:52:00,29.44,29.46,29.44,29.46,11450.0
2018-02-16,10:53:00,29.455,29.455,29.43,29.43,8113.0
2018-02-16,10:54:00,29.44,29.445,29.43,29.44,6760.0
2018-02-16,10:55:00,29.435,29.45,29.435,29.445,6200.0
2018-02-16,10:56:00,29.4466,29.4466,29.42,29.43,6404.0
2018-02-16,10:57:00,29.43,29.44,29.42,29.43,10245.0
2018-02-16,10:58:00,29.42,29.42,29.39,29.405,9947.0
2018-02-16,10:59:00,29.4049,29.42,29.4049,29.42,5235.0
2018-02-16,11:00:00,29.41,29.41,29.38,29.39,19945.0
2018-02-16,11:01:00,29.4,29.43,29.4,29.4244,13027.0
2018-02-16,11:02:00,29.43,29.45,29.43,29.44,6203.0
2018-02-16,11:03:00,29.44,29.44,29.43,29.44,2149.0
2018-02-16,11:04:00,29.44,29.44,29.41,29.415,4100.0
2018-02-16,11:05:00,29.42,29.47,29.42,29.45,20736.0
2018-02-16,11:06:00,29.46,29.475,29.46,29.47,2236.0
2018-02-16,11:07:00,29.475,29.485,29.46,29.46,8414.0
2018-02-16,11:08:00,29.46,29.49,29.46,29.48,7354.0
2018-02-16,11:09:00,29.485,29.495,29.48,29.49,13609.0
2018-02-16,11:10:00,29.5,29.52,29.5,29.52,5950.0
2018-02-16,11:11:00,29.52,29.53,29.51,29.52,4343.0
2018-02-16,11:12:00,29.525,29.539,29.505,29.52,9598.0
2018-02-16,11:13:00,29.52,29.52,29.515,29.52,5000.0
2018-02-16,11:14:00,29.52,29.53,29.51,29.515,7882.0
2018-02-16,11:15:00,29.51,29.595,29.505,29.59,31860.0
2018-02-16,11:16:00,29.59,29.605,29.59,29.6,10247.0
2018-02-16,11:17:00,29.61,29.64,29.61,29.64,8275.0
2018-02-16,11:18:00,29.64,29.645,29.62,29.63,10179.0
2018-02-16,11:19:00,29.62,29.6241,29.6,29.61,16890.0
2018-02-16,11:20:00,29.615,29.64,29.615,29.64,3995.0
