date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,164.11,164.43,164.03,164.43,41901.0
2018-02-16,09:31:00,164.12,164.52,164.0801,164.0801,2450.0
2018-02-16,09:32:00,164.16,164.83,164.0801,164.83,4305.0
2018-02-16,09:33:00,164.7195,165.21,164.5601,165.04,10981.0
2018-02-16,09:34:00,165.02,165.02,164.7,164.7025,5237.0
2018-02-16,09:35:00,164.5354,164.6455,164.5354,164.54,500.0
2018-02-16,09:36:00,164.72,164.88,164.64,164.82,4300.0
2018-02-16,09:37:00,164.7583,164.96,164.6801,164.96,1000.0
2018-02-16,09:38:00,164.95,164.979,164.81,164.88,5701.0
2018-02-16,09:39:00,164.9399,164.9399,164.8,164.82,3688.0
2018-02-16,09:40:00,164.86,164.86,164.38,164.38,14297.0
2018-02-16,09:41:00,164.37,164.38,164.16,164.35,4980.0
2018-02-16,09:42:00,164.38,164.45,164.12,164.12,4299.0
2018-02-16,09:43:00,164.24,164.4,164.24,164.3156,2500.0
2018-02-16,09:44:00,164.3,164.3,164.08,164.08,1309.0
2018-02-16,09:45:00,164.08,164.08,163.63,163.85,11749.0
2018-02-16,09:46:00,163.73,164.09,163.4398,164.06,9184.0
2018-02-16,09:47:00,163.83,163.99,163.7434,163.85,4030.0
2018-02-16,09:48:00,163.86,163.93,163.73,163.88,3700.0
2018-02-16,09:49:00,163.912,164.13,163.75,164.13,3989.0
2018-02-16,09:50:00,164.0,164.09,163.791,163.87,4100.0
2018-02-16,09:51:00,163.79,164.04,163.71,164.0308,12606.0
2018-02-16,09:52:00,163.95,164.14,163.95,163.965,500.0
2018-02-16,09:53:00,164.0,164.019,163.85,164.019,4000.0
2018-02-16,09:54:00,163.9899,163.9899,163.9064,163.9064,1600.0
2018-02-16,09:55:00,163.98,164.0,163.66,163.66,8935.0
2018-02-16,09:56:00,163.8,163.8,163.565,163.565,3454.0
2018-02-16,09:57:00,163.62,163.675,163.54,163.58,2590.0
2018-02-16,09:58:00,163.66,163.68,163.33,163.35,3686.0
2018-02-16,09:59:00,163.39,163.39,163.24,163.24,9747.0
2018-02-16,10:00:00,163.23,163.37,163.145,163.2448,2900.0
2018-02-16,10:01:00,163.24,163.39,163.24,163.305,3305.0
2018-02-16,10:02:00,163.25,163.35,163.0,163.14,27951.0
2018-02-16,10:03:00,163.1005,163.1082,163.02,163.1082,600.0
2018-02-16,10:04:00,163.1405,163.1405,162.93,162.95,5986.0
2018-02-16,10:05:00,163.08,163.09,162.84,162.84,8266.0
2018-02-16,10:06:00,162.8,162.86,162.61,162.71,11066.0
2018-02-16,10:07:00,162.65,162.7599,162.51,162.6,9714.0
2018-02-16,10:08:00,162.6577,162.6577,162.6,162.6,1235.0
2018-02-16,10:09:00,162.69,162.959,162.69,162.82,7733.0
2018-02-16,10:10:00,162.81,162.99,162.81,162.8932,11690.0
2018-02-16,10:11:00,162.86,162.98,162.79,162.9499,3500.0
2018-02-16,10:12:00,162.84,162.9,162.73,162.742,6700.0
2018-02-16,10:13:00,162.7358,162.86,162.69,162.81,4398.0
2018-02-16,10:15:00,162.91,162.99,162.77,162.77,5916.0
2018-02-16,10:16:00,162.8195,162.99,162.8195,162.98,14763.0
2018-02-16,10:17:00,162.91,163.34,162.82,163.335,20978.0
2018-02-16,10:18:00,163.35,163.35,163.081,163.349,6221.0
2018-02-16,10:19:00,163.39,163.39,163.25,163.26,6297.0
2018-02-16,10:20:00,163.285,163.5,163.285,163.48,14422.0
2018-02-16,10:21:00,163.43,163.57,163.43,163.48,3100.0
2018-02-16,10:22:00,163.5,163.66,163.48,163.48,4723.0
2018-02-16,10:23:00,163.54,163.68,163.54,163.61,1200.0
2018-02-16,10:24:00,163.62,163.62,163.42,163.47,4060.0
2018-02-16,10:25:00,163.45,163.45,163.45,163.45,500.0
2018-02-16,10:26:00,163.455,163.69,163.455,163.68,2583.0
2018-02-16,10:27:00,163.5,163.62,163.45,163.62,3273.0
2018-02-16,10:28:00,163.547,163.67,163.48,163.495,5400.0
2018-02-16,10:29:00,163.52,163.5635,163.31,163.44,6283.0
2018-02-16,10:30:00,163.45,163.88,163.45,163.85,14544.0
2018-02-16,10:31:00,163.58,163.6,163.48,163.6,2164.0
2018-02-16,10:32:00,163.65,163.65,163.48,163.49,1779.0
2018-02-16,10:33:00,163.44,163.49,163.41,163.47,2700.0
2018-02-16,10:34:00,163.4952,163.6,163.4952,163.5032,2316.0
2018-02-16,10:35:00,163.48,163.53,163.4504,163.51,5151.0
2018-02-16,10:36:00,163.5,163.51,163.4201,163.4321,1687.0
2018-02-16,10:37:00,163.42,163.48,163.34,163.48,2880.0
2018-02-16,10:38:00,163.45,163.45,163.35,163.4,2657.0
2018-02-16,10:39:00,163.39,163.43,163.2,163.4,13711.0
2018-02-16,10:40:00,163.38,163.4,163.21,163.25,2550.0
2018-02-16,10:41:00,163.2353,163.2353,163.224,163.224,1450.0
