date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,76.15,76.15,76.15,76.15,100.0
2018-02-16,09:31:00,76.12,76.22,76.12,76.21,1834.0
2018-02-16,09:32:00,76.21,76.52,76.15,76.4,1017045.0
2018-02-16,09:33:00,76.41,76.43,76.34,76.42,34977.0
2018-02-16,09:34:00,76.41,76.43,76.3,76.38,30896.0
2018-02-16,09:35:00,76.35,76.4,76.3,76.37,13555.0
2018-02-16,09:36:00,76.36,76.37,76.24,76.24,32613.0
2018-02-16,09:37:00,76.21,76.23,76.12,76.13,21479.0
2018-02-16,09:38:00,76.11,76.16,76.0929,76.13,17167.0
2018-02-16,09:39:00,76.14,76.27,76.13,76.26,28667.0
2018-02-16,09:40:00,76.27,76.35,76.27,76.35,30383.0
2018-02-16,09:41:00,76.331,76.37,76.3072,76.326,19613.0
2018-02-16,09:42:00,76.33,76.35,76.31,76.35,12155.0
2018-02-16,09:43:00,76.36,76.38,76.3372,76.37,14041.0
2018-02-16,09:44:00,76.38,76.41,76.37,76.37,16954.0
2018-02-16,09:45:00,76.37,76.37,76.27,76.27,27772.0
2018-02-16,09:46:00,76.2607,76.29,76.2,76.27,35338.0
2018-02-16,09:47:00,76.2899,76.2901,76.21,76.2901,21854.0
2018-02-16,09:48:00,76.29,76.3361,76.275,76.3361,15922.0
2018-02-16,09:49:00,76.3369,76.34,76.29,76.32,16874.0
2018-02-16,09:50:00,76.32,76.376,76.295,76.33,26280.0
2018-02-16,09:51:00,76.31,76.34,76.28,76.33,9199.0
2018-02-16,09:52:00,76.32,76.33,76.2548,76.2556,9154.0
2018-02-16,09:53:00,76.26,76.28,76.18,76.18,222993.0
2018-02-16,09:54:00,76.2466,76.25,76.21,76.24,17895.0
2018-02-16,09:55:00,76.2434,76.26,76.204,76.25,28685.0
2018-02-16,09:56:00,76.25,76.279,76.205,76.205,13730.0
2018-02-16,09:57:00,76.2,76.21,76.17,76.2,16491.0
2018-02-16,09:58:00,76.205,76.205,76.125,76.13,24188.0
2018-02-16,09:59:00,76.13,76.13,76.0241,76.025,43336.0
2018-02-16,10:00:00,76.03,76.09,76.01,76.09,35570.0
2018-02-16,10:01:00,76.095,76.1,76.03,76.07,35017.0
2018-02-16,10:02:00,76.08,76.12,76.06,76.1,32160.0
2018-02-16,10:03:00,76.1,76.14,76.09,76.12,30432.0
2018-02-16,10:04:00,76.125,76.15,76.06,76.08,30264.0
2018-02-16,10:05:00,76.085,76.09,76.0,76.02,25860.0
2018-02-16,10:06:00,76.025,76.025,75.95,75.99,48581.0
2018-02-16,10:07:00,75.985,76.0157,75.98,75.995,15669.0
2018-02-16,10:08:00,75.99,76.0,75.94,75.945,34388.0
2018-02-16,10:09:00,75.9453,76.01,75.93,76.01,23987.0
2018-02-16,10:10:00,76.0,76.02,75.99,75.99,20756.0
2018-02-16,10:11:00,75.98,75.99,75.93,75.93,15847.0
2018-02-16,10:12:00,75.92,75.931,75.85,75.8651,48958.0
2018-02-16,10:13:00,75.86,75.92,75.85,75.9,30905.0
2018-02-16,10:14:00,75.9,75.94,75.892,75.91,28029.0
2018-02-16,10:15:00,75.91,75.995,75.9001,75.985,34762.0
2018-02-16,10:16:00,75.985,76.0187,75.975,75.98,79518.0
2018-02-16,10:17:00,75.99,76.03,75.98,76.01,52051.0
2018-02-16,10:18:00,76.0,76.03,75.99,76.02,22759.0
2018-02-16,10:19:00,76.025,76.07,76.025,76.07,32091.0
2018-02-16,10:20:00,76.07,76.09,76.03,76.045,15269.0
2018-02-16,10:21:00,76.0401,76.06,76.0378,76.06,13531.0
2018-02-16,10:22:00,76.06,76.09,76.06,76.075,24154.0
2018-02-16,10:23:00,76.0797,76.08,76.03,76.08,16181.0
2018-02-16,10:24:00,76.07,76.08,76.025,76.025,18091.0
2018-02-16,10:25:00,76.03,76.035,75.94,75.95,35697.0
2018-02-16,10:26:00,75.96,76.03,75.9545,75.98,29162.0
2018-02-16,10:27:00,75.97,76.0,75.96,75.9838,16275.0
2018-02-16,10:28:00,75.99,76.06,75.99,76.04,61152.0
2018-02-16,10:29:00,76.05,76.08,76.05,76.055,32529.0
2018-02-16,10:30:00,76.055,76.11,76.04,76.11,31605.0
2018-02-16,10:31:00,76.11,76.209,76.08,76.2,22756.0
2018-02-16,10:32:00,76.2095,76.2631,76.19,76.23,12574.0
2018-02-16,10:33:00,76.23,76.28,76.22,76.26,9046.0
2018-02-16,10:34:00,76.27,76.3,76.26,76.3,12580.0
2018-02-16,10:35:00,76.3,76.32,76.27,76.28,25754.0
2018-02-16,10:36:00,76.29,76.33,76.29,76.3,19569.0
2018-02-16,10:37:00,76.29,76.32,76.27,76.32,12334.0
2018-02-16,10:38:00,76.32,76.351,76.3,76.3,21741.0
2018-02-16,10:39:00,76.2904,76.3,76.28,76.2858,20146.0
2018-02-16,10:40:00,76.28,76.28,76.21,76.215,16061.0
2018-02-16,10:41:00,76.22,76.25,76.22,76.25,13443.0
2018-02-16,10:42:00,76.2449,76.245,76.2,76.24,13686.0
2018-02-16,10:43:00,76.236,76.2551,76.18,76.22,21765.0
2018-02-16,10:44:00,76.2199,76.25,76.21,76.2267,12800.0
2018-02-16,10:45:00,76.23,76.29,76.23,76.25,16977.0
2018-02-16,10:46:00,76.2449,76.2699,76.23,76.25,9356.0
2018-02-16,10:47:00,76.25,76.28,76.25,76.2785,19910.0
2018-02-16,10:48:00,76.28,76.29,76.24,76.25,34012.0
2018-02-16,10:49:00,76.247,76.25,76.23,76.24,8334.0
2018-02-16,10:50:00,76.23,76.26,76.23,76.24,28363.0
2018-02-16,10:51:00,76.25,76.27,76.2449,76.27,18755.0
2018-02-16,10:52:00,76.27,76.27,76.24,76.255,15732.0
2018-02-16,10:53:00,76.25,76.27,76.24,76.25,10996.0
2018-02-16,10:54:00,76.2499,76.279,76.2468,76.259,9630.0
2018-02-16,10:55:00,76.255,76.27,76.2436,76.247,15840.0
2018-02-16,10:56:00,76.24,76.24,76.2,76.22,8548.0
2018-02-16,10:57:00,76.2139,76.2499,76.2139,76.23,22554.0
2018-02-16,10:58:00,76.23,76.24,76.1999,76.205,19073.0
2018-02-16,10:59:00,76.2,76.26,76.19,76.259,13329.0
2018-02-16,11:00:00,76.2531,76.2531,76.19,76.21,21913.0
2018-02-16,11:01:00,76.21,76.2901,76.2073,76.28,13556.0
