date,ToD,open,high,low,close,volume
2018-02-16,09:30:00,13.55,13.55,13.55,13.55,9586.0
2018-02-16,09:31:00,13.51,13.62,13.5,13.591,1800.0
2018-02-16,09:32:00,13.5,13.5,13.47,13.4952,1200.0
2018-02-16,09:33:00,13.56,13.56,13.42,13.42,200.0
2018-02-16,09:34:00,13.549,13.55,13.43,13.53,1200.0
2018-02-16,09:35:00,13.49,13.57,13.49,13.57,2395.0
2018-02-16,09:36:00,13.59,13.6499,13.52,13.58,1800.0
2018-02-16,09:37:00,13.42,13.58,13.42,13.58,300.0
2018-02-16,09:40:00,13.58,13.58,13.58,13.58,100.0
2018-02-16,09:41:00,13.57,13.58,13.52,13.52,1475.0
2018-02-16,09:42:00,13.49,13.52,13.47,13.52,660.0
2018-02-16,09:43:00,13.51,13.53,13.51,13.53,1800.0
2018-02-16,09:45:00,13.5299,13.5299,13.52,13.52,200.0
2018-02-16,09:46:00,13.53,13.56,13.53,13.55,2700.0
2018-02-16,09:47:00,13.545,13.56,13.545,13.5483,500.0
2018-02-16,09:48:00,13.56,13.57,13.55,13.55,1908.0
2018-02-16,09:49:00,13.57,13.57,13.57,13.57,718.0
2018-02-16,09:50:00,13.57,13.57,13.56,13.56,200.0
2018-02-16,09:51:00,13.54,13.54,13.49,13.53,3423.0
2018-02-16,09:52:00,13.529,13.529,13.529,13.529,1000.0
2018-02-16,09:53:00,13.53,13.5399,13.49,13.5399,1100.0
2018-02-16,09:54:00,13.52,13.52,13.5,13.5,674.0
2018-02-16,09:55:00,13.51,13.51,13.49,13.49,1200.0
2018-02-16,09:56:00,13.48,13.48,13.44,13.459,500.0
2018-02-16,09:57:00,13.45,13.45,13.45,13.45,100.0
2018-02-16,09:59:00,13.44,13.45,13.37,13.38,5582.0
2018-02-16,10:00:00,13.3999,13.4,13.38,13.39,1300.0
2018-02-16,10:01:00,13.38,13.41,13.34,13.34,2000.0
2018-02-16,10:02:00,13.361,13.4,13.35,13.4,1300.0
2018-02-16,10:03:00,13.4,13.42,13.33,13.42,4700.0
2018-02-16,10:04:00,13.4096,13.42,13.36,13.42,1200.0
2018-02-16,10:05:00,13.4199,13.4199,13.4196,13.4196,400.0
2018-02-16,10:06:00,13.4002,13.4002,13.38,13.4,3683.0
2018-02-16,10:07:00,13.4,13.4198,13.4,13.4,2300.0
2018-02-16,10:08:00,13.41,13.425,13.41,13.42,1300.0
2018-02-16,10:09:00,13.43,13.45,13.43,13.44,4090.0
2018-02-16,10:10:00,13.47,13.57,13.47,13.525,6960.0
2018-02-16,10:11:00,13.51,13.54,13.51,13.54,3750.0
2018-02-16,10:12:00,13.55,13.56,13.53,13.53,2100.0
2018-02-16,10:13:00,13.52,13.55,13.52,13.53,1640.0
