DATE,DTWEXB
2008-02-25,97.6823
2008-02-26,97.2437
2008-02-27,96.4472
2008-02-28,96.1142
2008-02-29,96.2463
2008-03-03,96.3108
2008-03-04,96.3556
2008-03-05,96.2049
2008-03-06,95.9838
2008-03-07,96.1980
2008-03-10,96.2207
2008-03-11,96.2437
2008-03-12,95.8072
2008-03-13,95.4641
2008-03-14,95.5097
2008-03-17,95.3837
2008-03-18,95.1578
2008-03-19,95.5937
2008-03-20,96.3193
2008-03-21,96.1977
2008-03-24,96.3138
2008-03-25,95.8168
2008-03-26,95.5194
2008-03-27,95.4174
2008-03-28,95.5844
2008-03-31,95.6180
2008-04-01,95.9567
2008-04-02,95.8506
2008-04-03,95.6213
2008-04-04,95.4768
2008-04-07,95.5514
2008-04-08,95.6744
2008-04-09,95.5054
2008-04-10,95.4125
2008-04-11,95.4136
2008-04-14,95.2658
2008-04-15,95.3946
2008-04-16,94.8368
2008-04-17,95.0419
2008-04-18,95.5241
2008-04-21,95.2624
2008-04-22,94.8838
2008-04-23,95.3093
2008-04-24,95.6675
2008-04-25,95.8088
2008-04-28,95.7402
2008-04-29,95.8269
2008-04-30,95.8716
2008-05-01,96.0894
2008-05-02,96.2039
2008-05-05,96.0290
2008-05-06,95.8274
2008-05-07,96.3432
2008-05-08,96.4597
2008-05-09,96.2480
2008-05-12,96.0509
2008-05-13,96.1530
2008-05-14,96.4109
2008-05-15,96.2170
2008-05-16,95.7949
2008-05-19,95.8250
2008-05-20,95.5811
2008-05-21,95.1528
2008-05-22,95.3158
2008-05-23,95.1835
2008-05-26,95.1842
2008-05-27,95.4470
2008-05-28,95.4969
2008-05-29,95.5691
2008-05-30,95.5460
2008-06-02,95.5903
2008-06-03,95.7988
2008-06-04,96.0794
2008-06-05,96.0649
2008-06-06,95.7722
2008-06-09,95.8822
2008-06-10,96.4379
2008-06-11,96.1665
2008-06-12,96.5805
2008-06-13,96.7274
2008-06-16,96.3552
2008-06-17,96.1432
2008-06-18,96.1242
2008-06-19,96.0285
2008-06-20,95.8477
2008-06-23,96.1627
2008-06-24,95.9142
2008-06-25,96.0051
2008-06-26,95.6373
2008-06-27,95.5967
2008-06-30,95.7067
2008-07-01,95.7894
2008-07-02,95.4099
2008-07-03,95.8105
2008-07-04,95.8046
2008-07-07,95.8957
2008-07-08,95.8836
2008-07-09,95.4364
2008-07-10,95.3930
2008-07-11,95.0963
2008-07-14,94.9932
2008-07-15,94.7307
2008-07-16,94.7750
2008-07-17,94.8096
2008-07-18,94.9485
2008-07-21,94.9127
2008-07-22,95.0738
2008-07-23,95.1654
2008-07-24,95.2830
2008-07-25,95.2692
2008-07-28,95.3444
2008-07-29,95.6845
2008-07-30,95.6982
2008-07-31,95.7437
2008-08-01,95.7152
2008-08-04,95.9451
2008-08-05,96.2103
2008-08-06,96.4862
2008-08-07,96.7696
2008-08-08,97.8007
2008-08-11,97.9442
2008-08-12,98.0951
2008-08-13,98.1834
2008-08-14,98.2496
2008-08-15,98.6276
2008-08-18,98.4967
2008-08-19,98.5519
2008-08-20,98.5828
2008-08-21,97.7997
2008-08-22,98.1248
2008-08-25,98.2278
2008-08-26,98.5711
2008-08-27,98.5207
2008-08-28,98.7205
2008-08-29,98.9213
2008-09-01,98.9461
2008-09-02,99.7202
2008-09-03,99.7551
2008-09-04,100.0726
2008-09-05,100.2366
2008-09-08,100.5080
2008-09-09,100.4484
2008-09-10,100.9868
2008-09-11,101.3669
2008-09-12,100.3276
2008-09-15,100.6663
2008-09-16,100.9731
2008-09-17,100.9787
2008-09-18,100.6613
2008-09-19,99.9859
2008-09-22,99.0844
2008-09-23,99.0884
2008-09-24,99.4498
2008-09-25,99.4431
2008-09-26,99.7041
2008-09-29,100.4117
2008-09-30,101.3187
2008-10-01,101.5044
2008-10-02,102.3529
2008-10-03,102.5307
2008-10-06,104.1110
2008-10-07,104.4729
2008-10-08,105.9456
2008-10-09,105.4452
2008-10-10,106.8422
2008-10-13,106.7927
2008-10-14,105.0914
2008-10-15,106.0387
2008-10-16,107.2678
2008-10-17,106.6205
2008-10-20,106.9987
2008-10-21,108.2138
2008-10-22,109.9725
2008-10-23,109.8424
2008-10-24,110.4953
2008-10-27,111.0031
2008-10-28,111.1277
2008-10-29,108.9556
2008-10-30,108.1531
2008-10-31,108.5093
2008-11-03,108.1724
2008-11-04,106.8336
2008-11-05,106.8913
2008-11-06,108.3123
2008-11-07,108.1512
2008-11-10,108.3149
2008-11-11,108.3149
2008-11-12,109.8499
2008-11-13,110.4521
