DATE,IURSA
2008-02-16,2.1
2008-02-23,2.2
2008-03-01,2.2
2008-03-08,2.2
2008-03-15,2.2
2008-03-22,2.2
2008-03-29,2.2
2008-04-05,2.2
2008-04-12,2.2
2008-04-19,2.2
2008-04-26,2.2
2008-05-03,2.2
2008-05-10,2.2
2008-05-17,2.3
2008-05-24,2.3
2008-05-31,2.3
2008-06-07,2.3
2008-06-14,2.3
2008-06-21,2.3
2008-06-28,2.3
2008-07-05,2.3
2008-07-12,2.3
2008-07-19,2.4
2008-07-26,2.4
2008-08-02,2.5
2008-08-09,2.5
2008-08-16,2.5
2008-08-23,2.5
2008-08-30,2.6
2008-09-06,2.6
2008-09-13,2.6
2008-09-20,2.7
2008-09-27,2.7
2008-10-04,2.7
2008-10-11,2.8
2008-10-18,2.8
2008-10-25,2.9
2008-11-01,2.9
2008-11-08,3.0
2008-11-15,3.0
2008-11-22,3.1
2008-11-29,3.3
2008-12-06,3.3
2008-12-13,3.3
2008-12-20,3.4
2008-12-27,3.5
2009-01-03,3.5
2009-01-10,3.6
2009-01-17,3.6
2009-01-24,3.7
2009-01-31,3.7
2009-02-07,3.9
2009-02-14,3.9
2009-02-21,4.0
2009-02-28,4.1
2009-03-07,4.2
2009-03-14,4.3
2009-03-21,4.4
2009-03-28,4.4
2009-04-04,4.5
2009-04-11,4.6
2009-04-18,4.7
2009-04-25,4.7
2009-05-02,4.8
2009-05-09,4.9
2009-05-16,4.9
2009-05-23,4.9
2009-05-30,5.0
2009-06-06,4.9
2009-06-13,4.9
2009-06-20,4.9
2009-06-27,5.0
2009-07-04,4.6
2009-07-11,4.6
2009-07-18,4.6
2009-07-25,4.6
2009-08-01,4.6
2009-08-08,4.6
2009-08-15,4.5
2009-08-22,4.6
2009-08-29,4.5
2009-09-05,4.6
2009-09-12,4.5
2009-09-19,4.5
2009-09-26,4.4
2009-10-03,4.5
2009-10-10,4.4
2009-10-17,4.4
2009-10-24,4.3
2009-10-31,4.3
2009-11-07,4.2
2009-11-14,4.1
2009-11-21,4.2
2009-11-28,4.0
2009-12-05,4.0
2009-12-12,3.9
2009-12-19,3.9
2009-12-26,3.8
2010-01-02,3.7
2010-01-09,3.7
2010-01-16,3.7
2010-01-23,3.7
2010-01-30,3.7
2010-02-06,3.7
2010-02-13,3.7
2010-02-20,3.7
2010-02-27,3.7
2010-03-06,3.7
2010-03-13,3.7
2010-03-20,3.6
2010-03-27,3.6
2010-04-03,3.7
2010-04-10,3.7
2010-04-17,3.7
2010-04-24,3.7
2010-05-01,3.7
2010-05-08,3.7
2010-05-15,3.7
2010-05-22,3.7
2010-05-29,3.5
2010-06-05,3.6
2010-06-12,3.6
2010-06-19,3.6
2010-06-26,3.5
2010-07-03,3.6
2010-07-10,3.5
2010-07-17,3.6
2010-07-24,3.6
2010-07-31,3.5
2010-08-07,3.5
2010-08-14,3.5
2010-08-21,3.5
2010-08-28,3.6
2010-09-04,3.6
2010-09-11,3.5
2010-09-18,3.5
2010-09-25,3.5
2010-10-02,3.5
2010-10-09,3.5
2010-10-16,3.5
2010-10-23,3.4
2010-10-30,3.4
2010-11-06,3.4
2010-11-13,3.3
2010-11-20,3.4
2010-11-27,3.3
2010-12-04,3.3
2010-12-11,3.2
2010-12-18,3.3
2010-12-25,3.2
2011-01-01,3.1
2011-01-08,3.1
2011-01-15,3.2
2011-01-22,3.1
2011-01-29,3.1
2011-02-05,3.1
2011-02-12,3.1
2011-02-19,3.0
2011-02-26,3.0
2011-03-05,3.0
2011-03-12,3.0
2011-03-19,3.0
2011-03-26,3.0
2011-04-02,3.0
2011-04-09,3.0
2011-04-16,3.0
2011-04-23,3.0
2011-04-30,3.1
2011-05-07,3.0
2011-05-14,3.0
2011-05-21,3.0
2011-05-28,3.0
2011-06-04,3.0
2011-06-11,3.0
2011-06-18,3.0
2011-06-25,3.0
2011-07-02,3.0
2011-07-09,3.0
2011-07-16,3.0
2011-07-23,3.0
2011-07-30,2.9
2011-08-06,2.9
2011-08-13,3.0
2011-08-20,3.0
2011-08-27,3.0
2011-09-03,3.0
2011-09-10,3.0
2011-09-17,3.0
2011-09-24,2.9
2011-10-01,2.9
2011-10-08,3.0
2011-10-15,2.9
2011-10-22,2.9
2011-10-29,2.9
2011-11-05,2.9
2011-11-12,2.9
2011-11-19,3.0
2011-11-26,2.8
2011-12-03,2.8
2011-12-10,2.8
2011-12-17,2.8
2011-12-24,2.8
2011-12-31,2.8
2012-01-07,2.7
2012-01-14,2.8
2012-01-21,2.7
2012-01-28,2.7
2012-02-04,2.7
2012-02-11,2.7
2012-02-18,2.7
2012-02-25,2.7
2012-03-03,2.7
2012-03-10,2.6
2012-03-17,2.6
2012-03-24,2.6
2012-03-31,2.6
2012-04-07,2.6
2012-04-14,2.6
2012-04-21,2.6
2012-04-28,2.6
2012-05-05,2.6
2012-05-12,2.6
2012-05-19,2.6
2012-05-26,2.6
2012-06-02,2.6
2012-06-09,2.6
2012-06-16,2.6
2012-06-23,2.6
2012-06-30,2.6
2012-07-07,2.6
2012-07-14,2.6
2012-07-21,2.6
2012-07-28,2.6
2012-08-04,2.6
2012-08-11,2.6
2012-08-18,2.6
2012-08-25,2.6
2012-09-01,2.6
2012-09-08,2.6
2012-09-15,2.6
2012-09-22,2.6
2012-09-29,2.6
2012-10-06,2.6
2012-10-13,2.6
2012-10-20,2.6
2012-10-27,2.5
2012-11-03,2.6
2012-11-10,2.6
2012-11-17,2.6
2012-11-24,2.5
2012-12-01,2.5
2012-12-08,2.5
2012-12-15,2.5
2012-12-22,2.5
2012-12-29,2.4
2013-01-05,2.5
2013-01-12,2.4
2013-01-19,2.4
2013-01-26,2.4
2013-02-02,2.4
2013-02-09,2.4
2013-02-16,2.4
2013-02-23,2.4
2013-03-02,2.3
2013-03-09,2.3
2013-03-16,2.4
2013-03-23,2.4
2013-03-30,2.4
2013-04-06,2.4
2013-04-13,2.3
2013-04-20,2.3
2013-04-27,2.3
2013-05-04,2.3
2013-05-11,2.3
2013-05-18,2.3
2013-05-25,2.3
2013-06-01,2.3
2013-06-08,2.3
2013-06-15,2.3
2013-06-22,2.3
2013-06-29,2.3
2013-07-06,2.4
2013-07-13,2.3
2013-07-20,2.3
2013-07-27,2.3
2013-08-03,2.3
2013-08-10,2.3
2013-08-17,2.3
2013-08-24,2.3
2013-08-31,2.2
2013-09-07,2.2
2013-09-14,2.2
2013-09-21,2.3
2013-09-28,2.3
2013-10-05,2.2
2013-10-12,2.2
2013-10-19,2.2
2013-10-26,2.2
2013-11-02,2.2
2013-11-09,2.2
2013-11-16,2.2
2013-11-23,2.2
2013-11-30,2.2
2013-12-07,2.2
2013-12-14,2.2
2013-12-21,2.2
2013-12-28,2.2
2014-01-04,2.2
2014-01-11,2.2
2014-01-18,2.2
2014-01-25,2.2
2014-02-01,2.2
2014-02-08,2.2
2014-02-15,2.2
2014-02-22,2.2
2014-03-01,2.1
2014-03-08,2.2
2014-03-15,2.1
2014-03-22,2.1
2014-03-29,2.1
2014-04-05,2.1
2014-04-12,2.0
2014-04-19,2.1
2014-04-26,2.1
2014-05-03,2.0
2014-05-10,2.0
2014-05-17,2.0
2014-05-24,2.0
2014-05-31,2.0
2014-06-07,2.0
2014-06-14,2.0
2014-06-21,2.0
2014-06-28,2.0
2014-07-05,1.9
2014-07-12,1.9
2014-07-19,1.9
2014-07-26,1.9
2014-08-02,1.9
2014-08-09,1.9
2014-08-16,1.9
2014-08-23,1.9
2014-08-30,1.9
2014-09-06,1.9
2014-09-13,1.9
2014-09-20,1.8
2014-09-27,1.8
2014-10-04,1.8
2014-10-11,1.8
2014-10-18,1.8
2014-10-25,1.8
2014-11-01,1.8
2014-11-08,1.8
2014-11-15,1.8
2014-11-22,1.8
2014-11-29,1.9
2014-12-06,1.8
2014-12-13,1.8
2014-12-20,1.8
2014-12-27,1.8
2015-01-03,1.8
2015-01-10,1.8
2015-01-17,1.8
2015-01-24,1.8
2015-01-31,1.7
2015-02-07,1.8
2015-02-14,1.8
2015-02-21,1.8
2015-02-28,1.8
2015-03-07,1.8
2015-03-14,1.8
2015-03-21,1.7
2015-03-28,1.7
2015-04-04,1.7
2015-04-11,1.7
2015-04-18,1.7
2015-04-25,1.7
2015-05-02,1.7
2015-05-09,1.7
2015-05-16,1.7
2015-05-23,1.7
2015-05-30,1.7
2015-06-06,1.7
2015-06-13,1.7
2015-06-20,1.7
2015-06-27,1.7
2015-07-04,1.7
2015-07-11,1.7
2015-07-18,1.7
2015-07-25,1.7
2015-08-01,1.7
2015-08-08,1.7
2015-08-15,1.7
2015-08-22,1.7
2015-08-29,1.7
