DATE,RU2000PR
2008-02-27,1780.54
2008-02-28,1753.88
2008-02-29,1705.33
2008-03-03,1700.45
2008-03-04,1692.41
2008-03-05,1699.27
2008-03-06,1647.16
2008-03-07,1640.54
2008-03-10,1600.42
2008-03-11,1674.59
2008-03-12,1658.46
2008-03-13,1689.29
2008-03-14,1647.52
2008-03-17,1616.60
2008-03-18,1694.78
2008-03-19,1650.52
2008-03-20,1693.50
2008-03-21,.
2008-03-24,1742.85
2008-03-25,1752.78
2008-03-26,1744.93
2008-03-27,1720.75
2008-03-28,1697.88
2008-03-31,1709.77
2008-04-01,1766.14
2008-04-02,1770.16
2008-04-03,1773.41
2008-04-04,1773.80
2008-04-07,1771.19
2008-04-08,1769.30
2008-04-09,1735.64
2008-04-10,1758.12
2008-04-11,1710.26
2008-04-14,1705.06
2008-04-15,1719.95
2008-04-16,1772.94
2008-04-17,1759.56
2008-04-18,1792.03
2008-04-21,1784.42
2008-04-22,1748.90
2008-04-23,1759.83
2008-04-24,1782.11
2008-04-25,1794.06
2008-04-28,1802.73
2008-04-29,1786.71
2008-04-30,1779.88
2008-05-01,1813.60
2008-05-02,1803.65
2008-05-05,1800.19
2008-05-06,1813.70
2008-05-07,1779.97
2008-05-08,1788.26
2008-05-09,1789.50
2008-05-12,1822.27
2008-05-13,1831.27
2008-05-14,1829.31
2008-05-15,1847.49
2008-05-16,1842.01
2008-05-19,1835.24
2008-05-20,1828.26
2008-05-21,1807.04
2008-05-22,1821.71
2008-05-23,1799.57
2008-05-26,.
2008-05-27,1825.14
2008-05-28,1835.26
2008-05-29,1852.88
2008-05-30,1859.67
2008-06-02,1841.61
2008-06-03,1836.61
2008-06-04,1848.31
2008-06-05,1896.91
2008-06-06,1840.00
2008-06-09,1827.29
2008-06-10,1820.75
2008-06-11,1784.12
2008-06-12,1788.98
2008-06-13,1823.21
2008-06-16,1840.92
2008-06-17,1830.56
2008-06-18,1816.01
2008-06-19,1833.69
2008-06-20,1803.62
2008-06-23,1788.92
2008-06-24,1759.36
2008-06-25,1780.19
2008-06-26,1735.76
2008-06-27,1735.05
2008-06-30,1713.98
2008-07-01,1718.77
2008-07-02,1670.93
2008-07-03,1654.62
2008-07-04,.
2008-07-07,1635.95
2008-07-08,1696.74
2008-07-09,1649.59
2008-07-10,1666.20
2008-07-11,1677.41
2008-07-14,1651.45
2008-07-15,1646.12
2008-07-16,1706.74
2008-07-17,1731.29
2008-07-18,1722.48
2008-07-21,1733.80
2008-07-22,1781.49
2008-07-23,1787.36
2008-07-24,1745.61
2008-07-25,1765.37
2008-07-28,1730.01
2008-07-29,1775.84
2008-07-30,1786.56
2008-07-31,1775.77
2008-08-01,1779.83
2008-08-04,1749.97
2008-08-05,1791.97
2008-08-06,1804.03
2008-08-07,1773.01
2008-08-08,1824.91
2008-08-11,1866.57
2008-08-12,1851.36
2008-08-13,1858.20
2008-08-14,1874.82
2008-08-15,1872.31
2008-08-18,1843.98
2008-08-19,1814.38
2008-08-20,1818.20
2008-08-21,1802.43
2008-08-22,1833.13
2008-08-25,1790.73
2008-08-26,1798.10
2008-08-27,1821.56
2008-08-28,1858.45
2008-08-29,1837.84
2008-09-01,.
2008-09-02,1835.38
2008-09-03,1843.83
2008-09-04,1785.95
2008-09-05,1786.52
2008-09-08,1821.34
2008-09-09,1757.80
2008-09-10,1782.33
2008-09-11,1786.89
2008-09-12,1790.03
2008-09-15,1714.22
2008-09-16,1766.14
2008-09-17,1680.97
2008-09-18,1798.52
2008-09-19,1873.24
2008-09-22,1790.48
2008-09-23,1762.52
2008-09-24,1734.14
2008-09-25,1753.95
2008-09-26,1751.58
2008-09-29,1634.59
2008-09-30,1688.94
2008-10-01,1669.07
2008-10-02,1584.77
2008-10-03,1539.37
2008-10-06,1480.99
2008-10-07,1389.14
2008-10-08,1358.35
2008-10-09,1240.64
2008-10-10,1298.50
2008-10-13,1418.80
2008-10-14,1378.44
2008-10-15,1247.87
2008-10-16,1333.50
2008-10-17,1308.73
2008-10-20,1359.45
2008-10-21,1319.20
2008-10-22,1247.51
2008-10-23,1217.57
2008-10-24,1170.85
2008-10-27,1114.39
2008-10-28,1199.26
2008-10-29,1219.96
2008-10-30,1277.86
2008-10-31,1335.88
2008-11-03,1338.30
2008-11-04,1356.83
2008-11-05,1279.00
2008-11-06,1232.29
2008-11-07,1257.02
2008-11-10,1225.49
2008-11-11,1198.61
2008-11-12,1125.31
2008-11-13,1220.84
2008-11-14,1134.58
2008-11-17,1121.59
2008-11-18,1112.18
2008-11-19,1024.87
2008-11-20,957.59
2008-11-21,1010.34
2008-11-24,1085.55
2008-11-25,1101.42
2008-11-26,1165.24
2008-11-27,.
2008-11-28,1175.87
2008-12-01,1036.53
2008-12-02,1098.04
2008-12-03,1127.70
2008-12-04,1092.34
2008-12-05,1145.93
2008-12-08,1196.35
2008-12-09,1157.40
2008-12-10,1183.97
2008-12-11,1121.38
2008-12-12,1164.17
2008-12-15,1124.74
2008-12-16,1200.00
2008-12-17,1209.31
2008-12-18,1190.86
2008-12-19,1208.47
2008-12-22,1180.68
2008-12-23,1164.68
2008-12-24,1169.28
2008-12-25,.
2008-12-26,1184.89
2008-12-29,1158.51
2008-12-30,1199.80
2008-12-31,1241.27
2009-01-01,.
2009-01-02,1257.15
2009-01-05,1255.13
2009-01-06,1279.18
2009-01-07,1235.41
2009-01-08,1247.62
2009-01-09,1196.15
2009-01-12,1165.09
2009-01-13,1177.48
2009-01-14,1126.24
2009-01-15,1149.74
2009-01-16,1159.24
2009-01-19,.
2009-01-20,1077.72
2009-01-21,1135.17
2009-01-22,1100.59
2009-01-23,1104.35
2009-01-26,1118.51
2009-01-27,1132.24
2009-01-28,1175.58
2009-01-29,1126.42
2009-01-30,1102.27
2009-02-02,1117.40
2009-02-03,1125.56
2009-02-04,1114.58
2009-02-05,1130.98
2009-02-06,1169.82
2009-02-09,1162.95
2009-02-10,1107.84
2009-02-11,1113.26
2009-02-12,1119.41
